aback: aback
abandon: abandon,abandoned
abandonment: abandonment
abashed: abashed
abdication: abdication
abhorrence: abhorrence
abide: abide
abnormal: abnormal
abolish: abolish
abolition: abolition
abortion: abortion
abram: abram
abrasion: abrasions
abrupt: abrupt
absence: absence
absolute: absolute
absolutely: absolutely
abstemious: abstemious
abstract: abstract
abstraction: abstraction
absurd: absurd
absurdity: absurdities
absurdly: absurdly
academic: academic
acceleration: acceleration
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accidie: accidie
accommodate: accommodated
accompaniment: accompaniment
accompany: accompanied
accomplish: accomplished
accomplished: accomplished
accomplishment: accomplishment,accomplishments
account: account,accounted
accumulation: accumulations
accuracy: accuracy
accuse: accuse
accustom: accustomed
acetylene: acetylene
ache: ached
achieve: achieved
achieved: achieved
achievement: achievement,achievements
acquaint: acquainted
acquaintance: acquaintance
acquiesce: acquiesce
acquire: acquired,acquiring
acrid: acrid
acrobat: acrobats
acroceraunian: acroceraunian
action: action
active: active
activity: activities,activity
actual: actual
acute: acute
acutely: acutely
adam: adam
adapt: adapt
adaptation: adaptations
add: add,adding
addict: addicted
addio: addio
addition: addition,additions
additional: additional
address: address,addressed,addresses
adduce: adduced
adherence: adherence
adjective: adjective
adjourn: adjourned
adjunct: adjunct
administer: administered
admirable: admirable
admiration: admiration
admire: admire,admired,admiring
admit: admit,admitted
adolescence: adolescence
adolescent: adolescents
adorable: adorable
adore: adored
adult: adult,adults
advance: advanced,advances,advancing
advantage: advantage
advent: advent
adventure: adventure,adventures,adventuring
adventurous: adventurous
advertisement: advertisement,advertisements
advice: advice
advisable: advisable
advise: advise,advised,advising
aesthetic: aesthetic
aesthetically: aesthetically
aesthetics: aesthetics
affair: affair
affaire: affaire
affection: affection,affections
affectionate: affectionate
affectionately: affectionately
affirm: affirming
affluence: affluence
afford: afford
affront: affronting,affronts
afraid: afraid
afternoon: afternoon
age: age,ages
aged: aged
ageless: ageless
agency: agency
agent: agent
aggressively: aggressively
agile: agile
agility: agility
agitate: agitated
agitation: agitation
agonising: agonising
agonizingly: agonizingly
agony: agony
agree: agree,agreed
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aim: aim
aimlessly: aimlessly
air: air,airs
airily: airily
airing: airing
airy: airy
ajar: ajar
ak: ak
alacrity: alacrity
alarming: alarming
alarmingly: alarmingly
alarum: alarum
alas: alas
alchemical: alchemical
alcohol: alcohol
alcove: alcove
alert: alert
alight: alight,alighted
alive: alive
alley: alleys
allies: allies
alliteration: alliteration
allure: allure
almond: almonds
aloof: aloof
aloofness: aloofness
aloud: aloud
alt: alt
alteration: alteration
alternate: alternate
alternative: alternatives
alternatively: alternatively
altogether: altogether
amateur: amateur
amazed: amazed
amazement: amazement
amazon: amazon
ambassador: ambassador
amber: amber
ambition: ambition,ambitions
america: america
american: americans
amiable: amiable
amor: amor
amorous: amorous
amorously: amorously
amour: amour
amphitheatre: amphitheatre
ample: ample
ampleness: ampleness
amuse: amuse,amused,amuses,amusing
amused: amused
amusement: amusement,amusements
amusing: amusing
anatomical: anatomical
ancestor: ancestors
anchorite: anchorite
ancient: ancient
anecdote: anecdote,anecdotes
angel: angel
angelic: angelic
anger: anger
angle: angle
anglican: anglican
angrily: angrily
angry: angry
animal: animal,animals
ankle: ankle
anna: anna
anne: anne
annex: annexed
anniversary: anniversary
annoyance: annoyance
annoyed: annoyed
anonymous: anonymous
answer: answer,answered,answers
anthropologist: anthropologist,anthropologists
anticipate: anticipating
antiquarian: antiquarian
antique: antique,antiques
antiquity: antiquities,antiquity
anxiety: anxiety
anxious: anxious
apartment: apartment
aphorism: aphorism,aphorisms
aphorismic: aphorismic
apologize: apologized
apophthegm: apophthegm
apoplexy: apoplexy
appal: appalled
appalling: appalling
apparatus: apparatus
apparent: apparent
apparition: apparition
appeal: appealed,appeals
appearance: appearance
appetite: appetite,appetites
applause: applause
apple: apple
applicable: applicable
applied: applied
apply: applied,apply
appreciation: appreciation
appreciative: appreciative
approach: approach,approached,approaching
approvingly: approvingly
apt: apt
aptitude: aptitude,aptitudes
aptly: aptly
aptness: aptness
aquiline: aquiline
arch: arch
archbishop: archbishop
archery: archery
architect: architect
architecture: architecture
archive: archive
ardour: ardour
arduous: arduous
argal: argal
argue: argues,arguing
argument: argument
argyll: argyll
aristocracy: aristocracies,aristocracy
aristocrat: aristocrat,aristocrats
aristocratic: aristocratic
arm: arm,arms
armageddon: armageddon
armed: armed
armistice: armistice
army: army
aromatically: aromatically
arrange: arranged,arranging
arrangement: arrangement,arrangements
array: array
arrest: arrested,arresting
arrival: arrival,arrivals
arrive: arrive,arrived,arriving
arrow: arrow
art: art,arts
arterial: arterial
artery: arteries,artery
article: articles
articulate: articulate,articulated
artificial: artificial
artificially: artificially
artist: artist,artists
artistic: artistic
ascend: ascend
ascetic: ascetic
ascii: ascii
ash: ashes
ashamed: ashamed
asleep: asleep
aspect: aspect
ass: ass
assault: assault,assaults
assemble: assembled
assent: assent,assented
assert: assert,asserted
assertion: assertion
assign: assign,assigned
assistance: assistance
associate: associate
association: associations
assonance: assonance
assortment: assortment
assume: assume,assumed
assure: assure,assured,assuring
assuredly: assuredly
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astral: astral
atmosphere: atmosphere
atrociously: atrociously
attach: attached
attack: attack,attacked
attain: attain,attained
attainment: attainment
attempt: attempt,attempts
attend: attend,attended
attention: attention,attentions
attentive: attentive
attentively: attentively
attitude: attitude
attract: attracted
attraction: attraction
attribute: attributed
audible: audible
august: august
augustus: augustus
aunt: aunt
aura: aura
auras: auras
aurelius: aurelius
auricular: auricular
austere: austere
austria: austria
author: author,authors
authority: authorities,authority
automatic: automatic
automatically: automatically
automaton: automaton
autumn: autumn
avail: avail
avarice: avarice
avaricious: avaricious
avert: averted,averting
avoid: avoid,avoided,avoids
await: awaiting
awake: awake,awoke
awaken: awakened
aware: aware
awe: awe
awful: awful
axiomatic: axiomatic
baa: baa
baby: baby
babylonian: babylonian
bacchanal: bacchanal
bacchus: bacchus
background: background
bacon: bacon
bad: bad,worse,worst
badly: badly,worse
bag: bag
baggage: baggage
bait: baited
bake: baked
balance: balance,balances,balancing
balanced: balanced
bald: bald
baldly: baldly
baleful: baleful
balister: balister
ball: ball,balls
ballet: ballet
balloon: balloon,balloons
baluster: balusters
balustrade: balustrade
band: band,bands
bandage: bandaging
bandana: bandana
bandit: bandit
bang: bang
banish: banished
bank: bank
banner: banner
banquet: banquet
bar: barred,bars
barbarously: barbarously
barbary: barbary
barbecue: barbecue
bard: bard
bare: bare
bark: bark
barn: barns
barometer: barometer
baronet: baronet
baronial: baronial
baroque: baroque
barrier: barrier,barriers
bartholomew: bartholomew
base: base,based
bask: basked
basket: basket
bass: bass
bastion: bastion
batch: batch
bath: bath,bathing
bathe: bathe
bathing: bathing
bazaar: bazaar
beady: beady
beagle: beagles
beak: beak,beaked,beaks
beam: beam
bean: beans
bear: bear,bears,born,borne
beard: beard
bearer: bearers
beast: beast,beasts
beat: beat,beating
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
bed: bed,beds
bedroom: bedroom
bedside: bedside
bee: bee,bees
beget: begetting
behave: behave,behaved,behaving
behold: behold
belgium: belgium
belief: belief,beliefs
believer: believer
believing: believing
bell: bell,bells
bellow: bellow
belly: bellies,belly
belong: belong,belonged,belonging
belt: belt
bench: bench
bend: bent
beneath: beneath
bengal: bengal
benignly: benignly
bent: bent
berger: berger
bergere: bergere
berkeley: berkeley
berkshire: berkshire
besant: besant
bet: betted,betting
betray: betrayed
betters: betters
bewilderment: bewilderment
bewitchingly: bewitchingly
bianchi: bianchi
bias: bias
bible: bible
bicycle: bicycle
bid: bade,bidden,bidding
billiards: billiards
binary: binary
bind: bound
biographer: biographer
biographical: biographical
biographies: biographies
biography: biographies,biography
bird: bird,birds
birmingham: birmingham
birth: birth
birthday: birthday
bis: bis
bishop: bishop
bit: bit
bite: bit,bites,biting
bitter: bitter
bitterly: bitterly
black: black
blackamoor: blackamoors
blacken: blackened
blacker: blacker
blackfellow: blackfellow
blackmail: blackmail
blackness: blackness
blacksmith: blacksmith
bladder: bladder,bladders
blade: blades
blame: blame
blank: blank
blanket: blankets
blast: blast
blaze: blazed
bleed: bled
blessed: blessed
blight: blight
blind: blind,blinded,blinding
blindly: blindly
blink: blinked,blinking
bliss: bliss
block: block,blocks
blood: blood
bloodless: bloodless
bloody: bloody
bloom: bloomed
bloomsbury: bloomsbury
blossom: blossom,blossoming
blot: blot,blots
blotting: blotting
blow: blow,blowing,blown
bludgeon: bludgeon
blue: blue
blunt: blunt
blush: blush,blushed,blushing
boar: boar
board: board
boast: boast
boat: boat
bob: bob,bobbed,bobbing
bobbing: bobbing
bodice: bodice
bodily: bodily
body: bodies,body
bog: bogged
bohemian: bohemian
boisterous: boisterous
bold: bold
bole: bole
bolt: bolt
bombinate: bombinating
bon: bon,bons
bond: bond,bonds
bondage: bondage
bone: bone,bones
bony: bony
book: book,books
bookseller: booksellers
bookshelf: bookshelves
boom: boomed
booming: booming
boot: booted,boots
booth: booth,booths
border: borders
bore: bore,bored
bored: bored
boredom: boredom
boring: boring
borough: borough
borrow: borrowed
bosh: bosh
bottle: bottle,bottles
boudoir: boudoir
bounce: bouncing
bound: bounded
boundary: boundaries
boundless: boundless
bourbons: bourbons
bourgeois: bourgeois
bow: bow,bowed
bowl: bowl,bowls
bowler: bowler
box: box,boxes
boxroom: boxroom
boy: boy,boys
boycott: boycott
boys: boys
brain: brain
brainless: brainless
brake: brakes
branch: branches
brandy: brandy
brass: brass
brawn: brawn
brawny: brawny
bray: bray
brazen: brazen
breach: breach
break: break,breaking,broke,broken
breakfast: breakfast
breaking: breaking
breast: breast
breath: breath
breathe: breathed,breathing
breathing: breathing
breathless: breathless
breathlessly: breathlessly
breeches: breeches
breed: bred,breed,breeding,breeds
breeder: breeder
brew: brew
bribe: bribe,bribed
brick: brick
bride: bride
bright: bright,brighter
brighten: brightened
brightly: brightly
brightness: brightness
brilliance: brilliance
brilliant: brilliant
brim: brimmed
bring: bring,bringing,brings,brought
brink: brink
briskly: briskly
bristly: bristly
broad: broad
broadsheet: broadsheet
broadsword: broadsword
broken: broken
bronze: bronze
brood: brood,brooded
brooding: brooding
brook: brooks
brother: brothers
brow: brow
brown: brown
brownish: brownish
bruise: bruised
brush: brushed,brushes,brushing
brutally: brutally
brute: brute
brutish: brutish
bubble: bubble,bubbling
buckle: buckles
bud: buds
budge: budge
budget: budget
buffet: buffeted
buffoonish: buffoonish
build: build,building,builds,built
builder: builder
building: building,buildings
bulk: bulk
bull: bull
bulwark: bulwark
bump: bump
bumpingly: bumpingly
bun: buns
bunch: bunch
bundle: bundled
bunt: bunting
buoy: buoy
burden: burden
burgeon: burgeoning
burgess: burgesses
burgundy: burgundy
burn: burned,burning
burnished: burnished
burns: burns
burst: burst,bursting
bus: bus
bush: bushes
busily: busily
business: business
bust: bust
bustle: bustles
busy: busiest,busy
butler: butler
butter: butter
butterfly: butterfly
button: button
buttonhole: buttonhole,buttonholes
buzzing: buzzing
bye: bye
byre: byres
byron: byron
byronic: byronic
cabinet: cabinet
cackle: cackled,cackling
caesar: caesar
caesarean: caesarean
cage: cage
cake: cake
calash: calash
calculate: calculate,calculated
calculation: calculations
calendar: calendar
calf: calves
calling: calling
calm: calm
calmly: calmly
camlet: camlet
canalise: canalise,canalised
candid: candid
candle: candle,candles
cannon: cannon
canopy: canopy
cantata: cantatas
cantatrice: cantatrice
canvas: canvas,canvases
cap: caps
capable: capable
capital: capital
capri: capri
captain: captains
capture: capture
car: car
carcase: carcase
card: card
cardboard: cardboard
care: care,cared
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
careme: careme
caress: caress,caressed,caressing
caricature: caricature,caricatures
carmen: carmen
carminative: carminative
carnation: carnation
carnival: carnival
caro: caro
caroline: caroline
carpet: carpet
carriage: carriage,carriages
carry: carried,carries,carry,carrying
cart: cart,carted
cartoon: cartoon
carve: carved
casing: casing
cassock: cassock
cassocks: cassocks
cast: cast,casting
castle: castle
casual: casual
casually: casually
cat: cat,cats
cataclysm: cataclysms
catalogue: catalogue
catch: catch,catching,caught
catechism: catechism
category: category
catholic: catholic
cauldron: cauldron
causerie: causerie
caution: caution
cautious: cautious
cautiously: cautiously
cavendish: cavendish
cavern: caverns
cavernous: cavernous
ce: ce
cease: cease,ceased
cedar: cedar
ceiling: ceiling
celebrate: celebrated,celebrating
celebration: celebration
cell: cell
cellar: cellars
central: central
centralised: centralised
centre: centre
century: centuries,century
certainty: certainty
chain: chained
chair: chair,chairs
chamber: chamber,chambers
champagne: champagne
champing: champing
championship: championship
chance: chance
change: change,changed,changing
channel: channels
chaos: chaos
chapter: chapter,chapters
char: charred
character: character,characters
characterise: characterised
characteristic: characteristics
charge: charge,charges
charitable: charitable
charity: charities,charity
charles: charles
charm: charm,charmed,charms
charmer: charmer,charmers
charming: charming
chase: chase
chasm: chasm
chastisement: chastisement
chasuble: chasubles
chattel: chattels
chaucer: chaucer
check: check,checked,checks
cheek: cheek,cheeks
cheer: cheer,cheered
cheerful: cheerful
chequer: chequered
cherub: cherubs
chestnut: chestnut
chew: chewed,chewing
chez: chez
chiaroscuro: chiaroscuro
chicken: chicken
chief: chief
chien: chien
child: child,children
childe: childe
childhood: childhood
childish: childish
childlike: childlike
chilly: chilly
chimney: chimney
chin: chin
china: china
chinese: chinese
chink: chinks
chintz: chintz
choice: choice,choicest
choke: choking
choose: choose,chose,chosen
chord: chord
christ: christ
christen: christened
christian: christian,christians
christophe: christophe
chronic: chronic
chronicle: chronicle
chuckle: chuckled
church: church,churches
churchyard: churchyard
cigar: cigar
cigarette: cigarette,cigarettes
cinema: cinema
cinnamon: cinnamon
circle: circle
circular: circular
circulate: circulating
circulation: circulation
circumstance: circumstance,circumstances
circus: circus
city: cities,city
civilisation: civilisation
civilised: civilised
claim: claim,claims
clairvoyance: clairvoyance
clamber: clambered
clamorously: clamorously
clamour: clamour
clap: clap
clapping: clapping
claptrap: claptrap
claret: claret
clarify: clarified
clash: clashing
class: class,classes
classical: classical
classicist: classicist
classification: classification
classified: classified
classify: classified
clatter: clattered
claudius: claudius
clavichord: clavichord
claw: claw
clay: clay
clean: clean,cleaning
clergy: clergy
clergyman: clergyman
clerical: clerical
clerk: clerk
clever: clever
client: clients
climate: climates
climb: climb,climbed,climbing
clinch: clinched
cling: cling
clip: clipped
cloak: cloak
clock: clock
clockwork: clockwork
clod: clods
cloddish: cloddish
cloister: cloister
close: close,closed,closer,closing
closely: closely
closet: closet
cloth: cloth
clothe: clad,clothed
clothes: clothes
clothing: clothing
cloud: cloud,clouds
clown: clowns
club: club
cluck: cluck
clucking: clucking
clueless: clueless
cluster: clustered,clustering
coach: coach,coaches
coarse: coarse
coat: coat,coats
cobalt: cobalt
cobwebs: cobwebs
cockade: cockade
cocoa: cocoa
cocoanut: cocoanut
code: codes
coffee: coffee
coffin: coffin
cogent: cogent
cognisance: cognisance
coiffure: coiffure
coil: coiled
coincidence: coincidence
cold: cold
coldly: coldly
collapse: collapsed
collar: collar,collars
collection: collection
colonial: colonials
colour: colour,coloured,colours
coloured: coloured
colourless: colourless
column: column
combe: combes
combine: combine
combiner: combiner
comedy: comedy
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
comforting: comforting
comic: comic
command: commanded,commanding
commemorate: commemorated
comment: comment,commented
commentary: commentary
commercial: commercial
commiserate: commiserated
commit: commit,committed
committee: committee
common: common
commonality: commonality
commonly: commonly
commotion: commotion
communication: communication
community: community
companion: companion,companions
company: company
comparative: comparative
compare: compared,compares
compass: compass
compel: compel,compelled
compelling: compelling
compendiously: compendiously
compensate: compensated
compilation: compilation
compile: compile
complain: complain,complained
complaisant: complaisant
complementary: complementary
complete: complete
completely: completely
completion: completion
complexion: complexion
compliance: compliance
complicate: complicated
complicated: complicated
comply: comply,complying
compose: compose,composed
composition: composition,compositions
comprehend: comprehend
comprehensible: comprehensible
comprehensive: comprehensive
compress: compressed
compromise: compromise
conceal: concealed
conceive: conceived
concentrate: concentrate
concentrated: concentrated
concept: concept
concern: concern
concerned: concerned
concert: concert,concerts
concerted: concerted
conclude: concluded
conclusion: conclusion,conclusions
