abandon: abandoned
emancipation: emancipation
embark: embarked
embarrassed: embarrassed
embarrassment: embarrassments
embrace: embraced
eminent: eminent
emotion: emotion
emotional: emotional
emperor: emperor
empirical: empirical
employ: employed
employee: employee,employees
employment: employment
en: en
enable: enable,enabled,enables
enamel: enamel
enamour: enamoured
encampment: encampment
enchanted: enchanted
enchanting: enchanting
encode: encoding
encore: encore
encounter: encountered
encourage: encouraged
encumber: encumbered
endeavour: endeavour,endeavoured
endless: endless
endow: endow,endowed
endure: endure,enduring
enemy: enemy
energy: energy
enfield: enfield
enforce: enforced,enforcing
engage: engage,engaged
engagement: engagement,engagements
engaging: engaging
engine: engine,engines
engineer: engineer,engineering,engineers
engineering: engineering
england: england
english: english
englishman: englishmen
engrain: engrained
engraving: engraving
enjoy: enjoy,enjoyed,enjoying
enjoyment: enjoyment
enlighten: enlightened
enlist: enlist
enormous: enormous
enquiring: enquiring
enquiry: enquiry
enrich: enriched
enrol: enrolled
ensemble: ensemble
ensue: ensue,ensuing
ensure: ensure,ensuring
entendre: entendre
enter: enter,entered,entering
enterprise: enterprise
entertain: entertained
entertaining: entertaining
entertainment: entertainment
enthusiasm: enthusiasm
enthusiastic: enthusiastic
entire: entire
entitle: entitled
entity: entity
entrance: entrance
envelope: envelope
epic: epic
epidemic: epidemic
epilogue: epilogue
episode: episode
epoch: epoch
equal: equal,equalled,equals
equally: equally
equipment: equipment
ere: ere
erect: erected
err: erring
erratic: erratic
error: error,errors
escape: escape,escaped,escaping
escort: escorting
essay: essay,essays
essence: essence
essential: essential
essentially: essentially
est: est
establish: establish,established
estate: estate
esteem: esteem
estimate: estimate,estimated
estrange: estranged
eternal: eternal
ethereal: ethereal
ethic: ethics
etiquette: etiquette
eu: eu
euclid: euclid
europe: europe
evening: evening,evenings
event: event,events
eventful: eventful
eventless: eventless
evergreen: evergreens
everyday: everyday
evidence: evidence
evident: evident
evidently: evidently
evil: evil,evils
evolution: evolutions
ewing: ewing
exaggerate: exaggerate,exaggerating
examination: examination,examinations
examine: examined,examines,examining
examiner: examiners
exasperated: exasperated
exceedingly: exceedingly
excel: excel,excelled
excellence: excellence
excellent: excellent
excellently: excellently
exception: exception
exceptional: exceptional
exceptionally: exceptionally
excessive: excessive
exchange: exchange
excited: excited
excitement: excitement
exciting: exciting
exclude: excluded
exclusion: exclusion
exclusively: exclusively
excursion: excursion,excursions
excuse: excuse
executive: executive
exempt: exempt
exercise: exercise,exercised,exercises
exertion: exertion
exhibit: exhibit
exigency: exigency
exile: exile,exiles
exist: exist,existed,existing,exists
existence: existence
expand: expanded
expect: expect,expected
expectant: expectant
expectation: expectation
expedition: expedition
expend: expend
expenditure: expenditure
expense: expense,expenses
expensive: expensive
experience: experience,experienced
experiment: experiment,experimented,experiments
experimental: experimental
expert: expert,experts
explain: explain,explained
explanation: explanation
explore: explore
export: exporting
expose: exposed
exposition: exposition
exposure: exposure
expound: expound,expounded
express: express,expressed,expresses,expressing
expression: expression,expressions
expurgate: expurgated
exquisite: exquisite
extend: extend,extended
extent: extent
external: external
externe: externes
extort: extort
extract: extracting,extracts
extraordinary: extraordinary
extravagance: extravagances
extravagant: extravagant
extreme: extreme,extremes
extremely: extremely
extremity: extremities
exuberant: exuberant
eye: eye,eyes
eyesight: eyesight
fable: fables
facile: facile
facility: facility
factory: factory
faculty: faculties
fad: fad
fade: fade,faded,fading
fail: fail,failed,failing
failing: failings
failure: failure,failures
faint: faint
faintly: faintly
fair: fair
fairbanks: fairbanks
faire: faire
fairy: fairy
fait: fait
faith: faith
faithful: faithful
fall: fall,fallen,falling,falls,fell
fallacious: fallacious
false: false,falsest
fame: fame
familiar: familiar
famille: famille
family: families,family
famine: famine
famous: famous
fan: fan
fancy: fancied,fancy
fantastic: fantastic
faraday: faraday
farce: farce
fare: fared
farm: farm
farmer: farmer
farming: farming
farrago: farrago
fashion: fashion,fashions
fashioned: fashioned
fast: fast,faster
fastidious: fastidious
fastness: fastnesses
fat: fat
fatal: fatal
fate: fate
father: father,fathers
fathom: fathoms
fault: fault,faults
faulty: faulty
faut: faut
favour: favour,favoured
favourable: favourable
favourably: favourably
favourite: favourite
fear: fear,feared,fearing
feast: feast
feat: feat
feature: feature,features
february: february
fecundity: fecundity
federal: federal
fee: fee,fees
feeble: feeble
feel: feel,feels
feeling: feeling,feelings
feign: feign
fellow: fellow,fellows
feminine: feminine
ferment: ferments
fertile: fertile
fertility: fertility
fervent: fervent
fester: fester
fetch: fetch,fetched
fever: fever
feverish: feverish
fez: fez,fezzes
fibre: fibre
fiddle: fiddle
field: field
fierce: fierce
fiercely: fiercely
fiery: fiery
fig: fig
fight: fight,fighting,fought
fighting: fighting
figment: figments
figure: figure,figured,figures
fil: fils
file: file,files
filial: filial
fils: fils
filth: filth
final: final
finally: finally
finances: finances
financial: financial
fine: fine,finest
finely: finely
finesse: finesse
finger: finger,fingers
finish: finish,finished,finishing
finished: finished
firing: firing
firm: firm
firmament: firmament
firmness: firmness
fish: fish
fisher: fishers
fishing: fishing
fishy: fishy
fit: fit,fits,fitted,fitting
fitness: fitness
fitting: fittings
flag: flag,flags
flagship: flagship
flame: flames
flamingo: flamingoes
flank: flanked
flap: flapping
flash: flashed,flashes
flat: flat
flatter: flatters
flattery: flattery
flavour: flavour
fleet: fleet
flick: flick,flicks
flicker: flicker
flight: flight
fling: flung
float: floated
flog: flogged
flogging: floggings
floor: floor,floors
flourish: flourish
flow: flow
flower: flower,flowers
fly: flew,flown,fly,flying
fog: fog
fold: folds
folk: folk
follow: follow
fond: fond
fondateur: fondateur
food: food
fool: fool,fools
foolishly: foolishly
foot: feet,foot
footing: footing
footnotes: footnotes
forbid: forbade
force: force,forced,forces,forcing
forcible: forcible
fore: fore
forecastle: forecastle
foreign: foreign
foreigner: foreigner,foreigners
foreman: foreman
foresee: foreseen
forest: forest
forge: forged,forges
forget: forget,forgotten
forgetful: forgetful
forgive: forgive,forgiven
fork: forks
form: form,formed,forming,forms
formal: formal
formally: formally
format: format,formats
formation: formation
formative: formative
forme: forme
formidable: formidable
formula: formula
formulate: formulated
fort: fort,forts
forte: forte,fortes
forthcoming: forthcoming
forthwith: forthwith
fortitude: fortitude
fortnight: fortnight
fortress: fortress
fortunate: fortunate
fortune: fortune
forwardness: forwardness
fossil: fossil,fossils
foster: fostering
foul: foul
foundation: foundation,foundations
founder: founder
fourth: fourth
fowl: fowl,fowls
fowling: fowling
fox: fox
fragile: fragile
fragment: fragments
frail: frail
frame: frame,framed
framework: framework
france: france
frank: frank
frankfort: frankfort
frankness: frankness
frau: frau
fraud: fraud
freak: freak
frederick: frederick
freedom: freedom,freedoms
freely: freely
french: french
frenchman: frenchman,frenchmen
frenchmen: frenchmen
frenchwoman: frenchwoman
frenzy: frenzy
frequent: frequent
frequently: frequently
frere: frere
fresh: fresh
freshen: freshened,freshening
fret: fret,fretting
friar: friar
friday: friday
friend: friend,friends
friendly: friendly
friendship: friendship,friendships
frigate: frigates
fright: fright
frighten: frighten,frightened
frightened: frightened
fro: fro
frugality: frugality
fruit: fruit,fruits
fruition: fruition
frustrate: frustrated
fry: fried
fulfil: fulfil
fume: fume,fumes
fun: fun
function: functions
fund: fund,funds
fundamental: fundamental
funnel: funnels
furbish: furbished
furious: furious
furiously: furiously
furnish: furnish
furtherance: furtherance
fury: fury
fussy: fussy
fusty: fusty
fut: fut
futile: futile
future: future
gabble: gabbling
gaelic: gaelic
gaiety: gaiety
gain: gain,gained
gale: gale
gallant: gallant
gallantly: gallantly
gallantry: gallantry
gallery: gallery
galley: galley,galleys
gallop: gallop,galloping
gallows: gallows
game: game
gar: gar
garden: garden,gardens
gardener: gardener
gardening: gardening
garibaldi: garibaldi
garland: garland
gas: gas
gate: gate,gates
gather: gather,gathered,gathering
gaul: gaul
gauss: gauss
gay: gay
gear: gear
gem: gems
gen: gens
genealogical: genealogical
genealogist: genealogist
genealogy: genealogy
generation: generation,generations
generic: generic
generous: generous
generously: generously
geneva: geneva
genial: genial
genius: genius
genoa: genoa
genoese: genoese
gentle: gentle
gentleman: gentleman,gentlemen
gentleness: gentleness
gently: gently
genuine: genuine
geometrical: geometrical
geometry: geometry
george: george
germ: germ,germs
german: german,germans
germany: germany
gesture: gesture
ghent: ghent
giant: giants
giddy: giddy
gift: gift,gifts
gig: gig
giggle: giggle
gillie: gillie
gipsy: gipsy
gird: gird
girdle: girdles
girl: girl,girls
girlish: girlish
girls: girls
girth: girths
glad: glad
gladly: gladly
gladness: gladness
glance: glance
glaring: glaring
glasgow: glasgow
glass: glass
gleam: gleam,gleaming
glean: glean
glib: glib
glimpse: glimpses
glisten: glistening
glitter: glittering
globe: globes
gloomy: gloomy
glorious: glorious
glory: glory
glow: glowing
glowing: glowing
goal: goal,goals
goat: goat,goats
god: god
goddam: goddam
goddess: goddesses
godwin: godwin
gold: gold
golden: golden
golf: golf
golfer: golfer
goodness: goodness
gordon: gordon
gossip: gossip
govern: govern
government: government
gowan: gowans
gowans: gowans
grace: grace,graces
graceful: graceful
gradual: gradual
gradually: gradually
graduation: graduation
graft: grafting
grand: grand
grandchild: grandchildren
granddaughter: granddaughter
grandeur: grandeur
grandfather: grandfather
grandmother: grandmother
grandniece: grandniece
grandson: grandson
grant: grant,granted
graphic: graphic
graphically: graphically
grapnel: grapnel,grapnels
grapple: grapple,grappled,grappling
grappling: grappling
grasp: grasp,grasped
grass: grass
grasshopper: grasshoppers
grateful: grateful
gratefully: gratefully
gratification: gratification,gratifications
gratitude: gratitude
grave: grave
gravely: gravely
gray: gray
grazie: grazie
greatcoat: greatcoat
greatly: greatly
greatness: greatness
grecian: grecian
greece: greece
greed: greed
greek: greek,greeks
green: green
greenwich: greenwich
gregory: gregory
grey: grey
grief: grief
griffon: griffon
grilling: grilling
grimly: grimly
grin: grin
grind: grind,grinding
griselda: griselda
groan: groan,groaning,groans
groom: groom
grooved: grooved
grope: groping
gross: gross
ground: ground
groundless: groundless
grounds: grounds
grow: grew,grow,growing,grown,grows
grown: grown
growth: growth
grub: grubbing
grudge: grudge
grunt: grunt
guano: guano
guarantee: guarantee
guard: guard,guarded,guards
guardian: guardians
guards: guards
guess: guess
guest: guest,guests
guide: guide,guiding
guild: guild
guilt: guilt
guiltless: guiltless
guilty: guilty
guinea: guinea
gull: gull
gully: gullies
gulp: gulped
gummy: gummy
gun: gun,guns
gunner: gunner
gunshot: gunshot
gunsmith: gunsmiths
gust: gusts
gusto: gusto
gut: gut
gutta: gutta
gutter: gutter
gymnastic: gymnastic
habit: habit
habitually: habitually
habitudes: habitudes
hail: hail
hailes: hailes
hair: hair
haired: haired
hall: hall
ham: ham
hamilton: hamilton
hamlet: hamlet
hand: hand,handed,hands
handed: handed
handicraft: handicraft
handle: handle
handsome: handsome
handsomer: handsomer
handy: handy
hang: hang,hanging,hangs,hung
happen: happen,happened
happily: happily
happiness: happiness
happy: happier,happiest,happy
harass: harassed
harbour: harbour,harbours
hard: hard,harder,hardest
harden: hardened
hardship: hardships
hardy: hardy
harm: harm
harmful: harmful
harmless: harmless
harmony: harmony
harness: harnessed
harp: harp
harrowing: harrowing
harry: harry
harsh: harsh
harshly: harshly
hart: hart
hartshorn: hartshorn
hasty: hasty
hat: hat
hatch: hatches
hatchway: hatchway
hate: hate,hated
hateful: hateful
hatred: hatred
haul: hauled,hauling
hauling: hauling
haunt: haunt,haunted
haute: haute
havoc: havoc
hawk: hawk,hawks
hawser: hawser
hay: hay
hazard: hazard
head: head,heads
headland: headland
headless: headless
headlong: headlong
health: health
healthful: healthful
healthy: healthy
heap: heaps
hear: hear,heard,hearing,hears
hearer: hearer
hearing: hearing
hearkening: hearkening
heart: heart,hearts
hearted: hearted
heartily: heartily
hearty: heartiest,hearty
heat: heat
heather: heather
heaven: heaven
heavenly: heavenly
heavily: heavily
heaving: heaving
heavy: heavy
hebrew: hebrew
hedge: hedges
hedgerow: hedgerows
heed: heed
heel: heels
height: height
heir: heir
heirless: heirless
helena: helena
helper: helper
helpful: helpful
helpless: helpless
hempseed: hempseed
henrietta: henrietta
henry: henry
herald: herald
herd: herds
herdsman: herdsmen
hereditary: hereditary
heresy: heresy
hero: hero,heroes
heroic: heroic
heroism: heroism
heron: herons
herr: herr
hesitate: hesitate,hesitated,hesitates
hesitation: hesitation
hew: hewn
hide: hidden
hideous: hideous
highland: highland
highlanders: highlanders
highlands: highlands
highly: highly
highness: highness
hill: hill,hills
hint: hint,hints
hire: hired
historic: historic
history: histories,history
hit: hit
hitch: hitches
hitherto: hitherto
ho: ho
hobby: hobbies
hold: held,hold,holding,holds
holder: holder
hole: hole,holes
holiday: holiday,holidays
homesick: homesick
honest: honest
honestly: honestly
honesty: honesty
honeymoon: honeymoon
honour: honour,honoured,honours
honourable: honourable
hook: hook,hooked,hooks
hooked: hooked
hooper: hooper
hope: hope,hoped,hopes,hoping
hopeless: hopeless
hopelessly: hopelessly
horace: horace
horizon: horizon
horrid: horrid
horror: horror,horrors
horse: horse,horses
horsehair: horsehair
horsewhip: horsewhipped
hospital: hospital
hospitality: hospitality
host: host,hosts
hot: hot
hotel: hotel
hour: hour,hours
hourly: hourly
house: house,houses
household: household
householder: householder
houses: houses
hovel: hovels
hover: hover,hovered,hovering
hug: hugged,hugging
huge: huge
hulk: hulk
hullo: hullo
hum: hum,humming
human: human
humanity: humanity
humble: humble
humbly: humbly
humility: humility
humorous: humorous
humorously: humorously
humour: humour
hundredth: hundredth
hungry: hungry
hunt: hunt,hunted,hunting
hunter: hunter
hurl: hurled
hurly: hurly
hurrah: hurrah,hurrahs
hurrahing: hurrahing
hurriedly: hurriedly
hurry: hurry
hurt: hurt,hurting
husband: husband
hut: hut
hymn: hymn
hypothetical: hypothetical
iago: iago
idea: idea,ideas
ideal: ideal
identification: identification
identify: identify
idiotic: idiotic
idle: idle
idleness: idleness
idly: idly
ignorance: ignorance
ignorant: ignorant
iii: iii
illness: illness
illuminate: illuminate
illumination: illumination
illusion: illusion,illusions
illustrate: illustrate,illustrated,illustrates
image: image
imagination: imagination,imaginations
imagine: imagine,imagined
imbecility: imbecility
imbed: imbedded
imbibe: imbibed
imitate: imitated
imitation: imitation
immense: immense
immerse: immersed
immigration: immigration
immortalise: immortalised
impatient: impatient
impending: impending
imperfect: imperfect
imperfection: imperfection
imperial: imperial
imperious: imperious
impersonal: impersonal
impertinent: impertinent
imperturbable: imperturbable
impetuous: impetuous
imply: implied
impolicy: impolicy
import: import
impose: imposed,imposing
imposing: imposing
impossible: impossible
impotent: impotent
impress: impressed,impresses
impressive: impressive
imprisonment: imprisonment
improve: improve,improved,improving
improvement: improvement,improvements
improvise: improvised
imprudent: imprudent
imprudently: imprudently
impudent: impudent
impudently: impudently
inaccurate: inaccurate
inaction: inaction
inactive: inactive
inarticulate: inarticulate
inaugurate: inaugurated
inboard: inboard
incapacity: incapacity
incessant: incessant
inch: inch,inches
incident: incident,incidents
incidental: incidental
incipient: incipient
inclination: inclination
incline: inclined
include: include,included,includes,including
including: including
income: income
incompetent: incompetent
incomplete: incomplete
incongruously: incongruously
inconspicuous: inconspicuous
increase: increased,increasing
incredible: incredible
incrustation: incrustation
inculcate: inculcated
incur: incurred
indecorum: indecorum
indefatigable: indefatigable
indefinable: indefinable
indemnify: indemnify
indemnity: indemnity
independence: independence
india: india
indian: indian
indies: indies
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indignant: indignant
indignantly: indignantly
indignation: indignation
indirect: indirect
indirectly: indirectly
indite: inditing
inditing: inditing
individual: individual,individuals
indomitable: indomitable
indubitable: indubitable
induce: induced
inductive: inductive
indulge: indulged
indulgence: indulgence
indulgent: indulgent
indulgently: indulgently
ineffectual: ineffectual
inert: inert
inertia: inertia
inevitable: inevitable
inexhaustible: inexhaustible
inexorable: inexorable
inexpressible: inexpressible
inexpressive: inexpressive
inextinguishable: inextinguishable
infernal: infernal
infernally: infernally
infinite: infinite
infinitesimal: infinitesimal
infirmary: infirmary
infirmity: infirmities,infirmity
inflict: inflicted
influence: influence
influential: influential
inform: informed
informed: informed
infraction: infraction
infringement: infringement
ingenious: ingenious
ingenuity: ingenuity
inglorious: inglorious
inhabit: inhabited
inhabitant: inhabitants
inherent: inherent
inherit: inherited
inheritance: inheritance
inhuman: inhuman
inimitable: inimitable
initial: initial
injurious: injurious
injury: injury
injustice: injustice
inkling: inkling
inn: inn
innate: innate
innocence: innocence
innocent: innocent
innocuously: innocuously
innumerable: innumerable
inquire: inquire
inquiry: inquiries
insane: insane
insect: insects
insensible: insensible
inseparable: inseparable
insist: insist
insoluble: insoluble
insomuch: insomuch
inspect: inspect,inspected
inspection: inspection
inspector: inspector,inspectors
inspire: inspire,inspired
inspirit: inspiriting
instance: instance,instanced,instances
instant: instant,instants
instantly: instantly
instinct: instinct
instinctively: instinctively
institution: institution,institutions
instruction: instruction,instructions
instructive: instructive
instrument: instrument,instruments
insubordinate: insubordinate
insulate: insulating
insulation: insulation
insulator: insulators
insult: insult,insulted,insults
insurgent: insurgents
insurrection: insurrection
intellect: intellect
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intend: intended,intends
intendente: intendente
intense: intense
intensity: intensity
intent: intent
intention: intention,intentions
interchangeable: interchangeable
interfere: interfere
interference: interference
intermarry: intermarrying
intermission: intermission
intermix: intermixed
internal: internal
international: international
interpret: interpreted
interpreter: interpreter
interrupt: interrupt
intersection: intersections
interval: intervals
intervene: intervened
interview: interview
intimacy: intimacy
intimate: intimate
intonation: intonation
intricacy: intricacies
introduce: introduce,introduced
introduction: introduction,introductions
intuition: intuition
invalidity: invalidity
invent: inventing
inventive: inventive
inventor: inventor
inventory: inventories
investigate: investigating
investigation: investigation
investment: investment
invidious: invidious
invincibly: invincibly
inviter: inviter
invoke: invoke
involve: involved
invulnerable: invulnerable
ionian: ionian
irish: irish
irksome: irksome
iron: iron
irredeemably: irredeemably
irregular: irregular
irrepressible: irrepressible
irresponsible: irresponsible
irritating: irritating
irritation: irritations
irs: irs
isaiah: isaiah
island: island,islands
islands: islands
isle: isles
islet: islet
iso: iso
isolate: isolated
israel: israel
issue: issue,issued
italian: italian,italians
italy: italy
item: item
iv: iv
jack: jack
jacket: jacket
jackson: jackson
jade: jade
jagged: jagged
jam: jam,jamming
jamaica: jamaica
james: james
january: january
japan: japan
japanese: japanese
jargon: jargon
jaunt: jaunt
jealous: jealous
jedburgh: jedburgh
jeer: jeer
jehu: jehu
jenkin: jenkin
jerk: jerk
jest: jest
jesting: jesting
job: job
jocular: jocular
john: john
johnnie: johnnie
johnny: johnny
johnson: johnson
joint: joint,joints
jointure: jointures
joke: joke,jokes
jolly: jolly
jolting: jolting
joseph: joseph
jour: jour
journal: journal
journalism: journalism
journey: journeys
jours: jours
jovial: jovial
joy: joy
joyful: joyful
joyous: joyous
jubilant: jubilant
judge: judge,judged,judging
judges: judges
judging: judging
judgment: judgment
judicious: judicious
jug: jugs
july: july
jumble: jumbling
jump: jumped
june: june
jury: jury
justice: justice
justification: justification
justify: justified,justifies,justify
keats: keats
keel: keel
keen: keen
keener: keener
keeper: keeper
keeping: keeping
keith: keith
kenneth: kenneth
kent: kent
kentish: kentish
key: key
khartoum: khartoum
kick: kicked
kill: kill,killed,killing
kilt: kilts
kindly: kindlier,kindly
kindness: kindness
kinematic: kinematic
king: king
kings: kings
kingston: kingston
kink: kink,kinks
kinks: kinks
kinsfolk: kinsfolk
kinship: kinship
kinsman: kinsman
kiss: kiss,kissed
kitchen: kitchen
knack: knack
knee: knees
knife: knife,knives
knock: knocked
knot: knot
knowledge: knowledge
laboratory: laboratory
laborious: laborious
laboriously: laboriously
labour: labour,labours
lack: lack,lacking
lad: lad,lads
ladder: ladder
laden: laden
lady: ladies,lady
lagoon: lagoons
laid: laid
lake: lake
lame: lame
lament: lament,lamented
lamp: lamp,lamps
lancashire: lancashire
land: land,landed,landing
landing: landing
lane: lane,lanes
language: language,languages
languish: languished
lantern: lanterns
lapse: lapses
lash: lash
lastly: lastly
late: late
lateen: lateen
lathe: lathe
latimer: latimer
latin: latin
laugh: laugh,laughed,laughing,laughs
laughter: laughter
launch: launch,launched
law: law,laws
laws: laws
lawyer: lawyers
lay: laid,lay,laying
layer: layer
lazily: lazily
lazy: lazy
le: le
lead: lead,leading,led
leader: leaders
leaf: leaves
leakage: leakage
leaky: leaky
lean: leaned,leaning
leaning: leaning
leap: leaped
leapt: leapt
learn: learn,learned,learning
learner: learner
lease: lease
leather: leather
leave: leave,leaves,leaving,left
lecture: lecture,lectures
lecturer: lecturer
lectures: lectures
ledge: ledges
lee: lee
leech: leeches
leet: leet
leeward: leeward
leeway: leeway
left: left
leg: legs
legal: legal
legally: legally
legend: legend,legends
leggings: leggings
legion: legion
legitimate: legitimate
leisure: leisure
lend: lent
lengthy: lengthy
leonardo: leonardo
les: les
leslie: leslie
lessen: lessen
lesson: lesson,lessons
letter: letter,lettered,letters
levantine: levantine
level: level,levelled,levels
lever: lever
levity: levities
lewis: lewis
liability: liability
liable: liable
liar: liar
liberal: liberal,liberals
liberty: liberty
library: library
license: license
licensed: licensed
lick: licking
lie: lie,lies,lying
liens: liens
lieu: lieu
lieutenant: lieutenant
life: life,lives
lifelong: lifelong
lifetime: lifetime
lift: lift,lifted,lifting,lifts
lifting: lifting
light: light,lighted,lighter,lights
lighten: lightens
lighter: lighters
lighthouse: lighthouse
lightly: lightly
lightness: lightness
likelihood: likelihood
likes: likes
lime: lime
limit: limit,limited,limits
limitation: limitation
limited: limited
linen: linen
linger: lingers
link: linked,links
lion: lion
lip: lips
list: list
listen: listen,listened,listens
listener: listener
literary: literary
literature: literature
litter: litter
live: live,lived,lives,living
lived: lived
livelihood: livelihood
lively: lively
liverpool: liverpool
living: living
lo: lo
load: load,loaded
local: local
locate: located
location: locations
loch: loch
lock: lock
locomotion: locomotion
locomotive: locomotives
locust: locusts
lodge: lodge
lodgings: lodgings
loft: loft
logic: logic
london: london
lonely: lonely
longing: longing
looker: looker
loop: loop
loose: loose
loosely: loosely
loosen: loosened
lord: lord
lordly: lordly
lords: lords
lose: lose,losing,lost
loser: loser
loss: loss
lot: lot,lots
loud: loud,louder
louis: louis
lounge: lounge,lounging
lovable: lovable
love: love,loved,loving
lovely: lovelier,lovely
lover: lover,lovers
loving: loving
loyalty: loyalty
luck: luck
luckily: luckily
lucretius: lucretius
lucy: lucy
lui: lui
lump: lump,lumps
lumpkin: lumpkin
lunch: lunch,lunched
luncheon: luncheon
luther: luther
luxury: luxuries,luxury
macbeth: macbeth
machine: machine,machines
machinery: machinery
mad: mad
madam: madam
madame: madame
madeira: madeira
madeleine: madeleine
madonna: madonna
madrigal: madrigal
maggie: maggie
magic: magic
magistrate: magistrate
magnanimity: magnanimity
magnate: magnates
magnetism: magnetism
magnificent: magnificent
mahomet: mahomet
maid: maid,maids
maiden: maidens
mail: mail
main: main,mains
maintain: maintaining
maire: maire
majesty: majesty
major: major
maker: maker
mal: mal
malaria: malaria
malcolm: malcolm
malevolent: malevolent
malice: malice
malicious: malicious
maltese: maltese
mamma: mamma
manage: manage,managed,managing
manager: manager
manchester: manchester
manfully: manfully
mango: mangoes
manhood: manhood
manifold: manifold
mankind: mankind
manlike: manlike
manly: manly
manner: manner
mannered: mannered
manners: manners
manor: manor
mansion: mansions
manufacture: manufacture,manufactured
manuscript: manuscript
marble: marble
march: march,marched,marching
marine: marine
marines: marines
mark: mark,marked,marks
marked: marked
markedly: markedly
market: market
marmalade: marmalade
marquis: marquis
marriage: marriage,marriages
married: married
marry: married,marry
marseillaise: marseillaise
marsh: marsh,marshes
marshal: marshal
martin: martin
marvel: marvel,marvelled,marvelling
mary: mary
mask: masking
mass: mass
massacre: massacre
mast: mast,masts
master: master,mastered,masters
mastic: mastic
mat: mats
match: match
mate: mate,mates
material: material
materially: materially
mathematical: mathematical
mathematics: mathematics
matin: matin
matter: matter,matters
mature: maturing
maturity: maturity
mawkish: mawkish
maximum: maximum
maxwell: maxwell
mayor: mayor
meagre: meagre
meal: meal
meaning: meaning
measure: measure,measured,measures
measurement: measurement,measurements
meat: meat
mechanical: mechanical
mechanism: mechanism
medal: medal,medals
medical: medical
medicine: medicine
medico: medico
mediterranean: mediterranean
medium: medium
meet: meet,meets,met
meeting: meeting,meetings
melancholy: melancholy
mell: mell
melodious: melodious
melt: melted
membership: membership
memoir: memoir
memory: memories,memory
mend: mend,mended
mental: mental
mention: mention,mentioned,mentioning,mentions
merchant: merchant,merchants
merchantability: merchantability
merchantman: merchantman
mercifully: mercifully
mercy: mercy
mere: mere
merit: merit,merited
meritorious: meritorious
meritoriously: meritoriously
merrily: merrily
merry: merry
mes: mes
mess: mess
message: message,messages
metal: metal
metallic: metallic
metaphysics: metaphysics
method: method,methods
methods: methods
metre: metre
metropolis: metropolis
metropolitan: metropolitan
mettle: mettle
mexican: mexican
michael: michael
microfarad: microfarad
mid: mid
midday: midday
middle: middle
middling: middling
midi: midi
midnight: midnight
midshipman: midshipman
midst: midst
mighty: mighty
mild: mild,milder
mildness: mildness
mile: mile,miles
milk: milk
miller: millers
mills: mills
milo: milo
mimetic: mimetic
mimic: mimic
minaret: minarets
mind: mind,minds
minded: minded
mindedly: mindedly
mingle: mingled,mingling
minister: minister
ministers: ministers
ministration: ministrations
minority: minority
minotaur: minotaur
mint: mint
minute: minute,minutes
mirage: mirage
mirror: mirror,mirrors
mirthful: mirthful
mis: mis
misbehave: misbehaved
mischief: mischief
misconceive: misconceived
misconception: misconception
misconduct: misconduct
misconstrue: misconstrued
misery: miseries,misery
misfortune: misfortune,misfortunes
mishap: mishap
misrate: misrated
mission: mission
mississippi: mississippi
mist: mist
mistake: mistake
mistaken: mistaken
mister: mister
mistress: mistress
mistrust: mistrusted
mitigate: mitigate
mix: mixed
mixed: mixed
mixing: mixing
mixture: mixture,mixtures
mob: mob
mode: mode
model: model
moderate: moderate,moderating
modern: modern
modest: modest
modesty: modesty
modification: modification
modify: modified
moi: moi
moist: moist
mole: mole
moleskin: moleskin
moment: moment,moments
momentary: momentary
momentous: momentous
mon: mon
monastery: monastery
monday: monday
monde: monde
money: money
monger: monger
monk: monks
monsieur: monsieur
monstrous: monstrous
month: month,months
montreal: montreal
monument: monuments
mood: mood
moonlight: moonlight
moor: moor,moored,moors
moral: moral,morals
morale: morale
morality: morality
morning: morning
morrow: morrow
mortal: mortal
mortally: mortally
mortification: mortification
mortified: mortified
mosque: mosque,mosques
mother: mother,mothers
motion: motion
motive: motive
motto: motto
mouldering: mouldering
mount: mounted
mountain: mountain,mountains
mountaineer: mountaineer,mountaineers
mourn: mourned
mournfully: mournfully
mouth: mouth
movement: movement,movements
mud: mud
muddy: muddy
muff: muff
mule: mules
multiply: multiply
multitude: multitudes
mumchance: mumchance
municipal: municipal
murder: murder
murderous: murderous
murray: murray
muscular: muscular
muse: muse
museum: museum
music: music
musket: muskets
musketry: musketry
mustard: mustard
muster: mustered
mutandis: mutandis
mute: mute
mutual: mutual
myrtle: myrtle
mysterious: mysterious
mystery: mystery
mystic: mystic
mysticism: mysticism
nail: nail,nailed
nameless: nameless
napoleon: napoleon
narration: narration
narrative: narrative
narrow: narrow
narrowness: narrowness
nation: nation
national: national
native: native,natives
natural: natural
naturally: naturally
nature: nature,natures
natured: natured
naught: naught
nautical: nautical
nautically: nautically
naval: naval
navigation: navigation
navy: navy
nearer: nearer
necessity: necessity
needful: needful
needless: needless
negative: negatived
neglect: neglect,neglected
negligence: negligence
negro: negroes
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nephew: nephew,nephews
nervous: nervous
network: network
newcastle: newcastle
newfoundland: newfoundland
newport: newport
news: news
newsletter: newsletter
newspaper: newspaper,newspapers
nibble: nibble
nicaragua: nicaragua
nice: nice,nicest
niece: niece
night: night,nights
