abandon: abandoned
abashed: abashed
abatement: abatement
abdicate: abdicated
abhorrent: abhorrent
abide: abide,abiding
ability: ability
aboard: aboard
abomination: abominations
abound: abound
abreast: abreast
abruptness: abruptness
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbing,absorbs
abstract: abstract
abstraction: abstractions
abundance: abundance
abuse: abused,abusing
academical: academical
academy: academy
accent: accent
accentuate: accentuated
accept: accept,accepted,accepting
acceptance: acceptance
accepted: accepted
access: access,accessed
accessible: accessible
accession: accession
accident: accident
accidental: accidental
accidentally: accidentally
accompany: accompanied,accompany,accompanying
accomplishment: accomplishment,accomplishments
account: account
accumulate: accumulated
accurate: accurate
accurately: accurately
accustom: accustomed
ache: ached
achieve: achieved
achievement: achievements
acknowledge: acknowledging
acknowledgment: acknowledgment
acquaint: acquainted
acquaintance: acquaintance,acquaintances
acquiesce: acquiesce
acquiescence: acquiescence
acquire: acquired,acquiring
acquirement: acquirements
acquisition: acquisitions
acquist: acquist
acre: acres
acting: acting
action: action,actions
active: active
activity: activities,activity
actor: actor,actors
actress: actress
actual: actual
acute: acute
adam: adam
adamant: adamant
adapt: adapted
add: add,adding,adds
addition: addition,additions
additional: additional
address: address,addressed,addresses
adhere: adhering
adherent: adherents
adjoining: adjoining
adjuration: adjurations
admirable: admirable
admirably: admirably
admiral: admiral,admirals
admiralty: admiralty
admiration: admiration
admire: admire,admired,admiring
admirer: admirer,admirers
admission: admission
admit: admit
admonition: admonitions
adore: adored
adorn: adorn
advance: advanced
advantage: advantage,advantages
adventure: adventure,adventures
adventurer: adventurers
adversary: adversaries,adversary
advertisement: advertisement
advice: advice
advisable: advisable
advise: advise,advised
adviser: adviser
advocate: advocate
affair: affair,affairs
affairs: affairs
affect: affect
affection: affection,affections
affectionate: affectionate
affliction: affliction
afford: afford
afloat: afloat
afraid: afraid
afresh: afresh
africa: africa
african: african
aft: aft
afternoon: afternoon
afterpiece: afterpiece
agamemnon: agamemnon
age: age
aged: aged
agency: agency
agent: agent
aggressive: aggressive
agitation: agitation
agonising: agonising
agony: agonies,agony
agree: agree,agreed
agreeable: agreeable
agreement: agreement
aground: aground
aid: aid,aiding
aide: aide
aim: aim,aims
air: air
airy: airy
ak: ak
alarm: alarm
alarming: alarming
alarmingly: alarmingly
alas: alas
albanian: albanians
albert: albert
alert: alert
alexander: alexander
alexandria: alexandria
alfred: alfred
algebra: algebra
algiers: algiers
alice: alice
alike: alike
alive: alive
allege: allege
alleviate: alleviated
alleviation: alleviations
allied: allied
allowance: allowance
ally: allies
alnaschar: alnaschar
aloof: aloof
aloud: aloud
alp: alp
alps: alps
alt: alt
alteration: alteration,alterations
alternate: alternate
alternation: alternations
altogether: altogether
amateur: amateur
amaze: amazed
amazed: amazed
amazingly: amazingly
ambiguity: ambiguity
ambition: ambition
ambitious: ambitious
amend: amending
america: america
american: american,americans
ami: ami
amiability: amiability
amiable: amiable
amis: amis
amply: amply
amuse: amuse,amused
amusement: amusement
amusing: amusing
amusingly: amusingly
analogous: analogous
anatomical: anatomical
anchor: anchor,anchored
ancient: ancient
anderson: anderson
anger: anger
angry: angry
anguished: anguished
animal: animal,animals
animals: animals
anna: anna
anne: anne
annie: annie
annoyance: annoyance
annoyed: annoyed
annoying: annoying
annual: annual,annuals
annually: annually
answer: answer,answered,answering,answers
answerable: answerable
answering: answering
antagonistic: antagonistic
anticipation: anticipations
antiquarian: antiquarian
antique: antique
antithesis: antithesis
antony: antony
anvil: anvil
anxiety: anxiety
anxious: anxious
anxiously: anxiously
ap: ap
apathetically: apathetically
aphasic: aphasic
apology: apologies,apology
apotheosis: apotheosis
appalling: appalling
apparatus: apparatus
apparent: apparent
appeal: appeal
appearance: appearance,appearances
appendix: appendix
appetite: appetite
apple: apple,apples
appliance: appliance,appliances
applicable: applicable
application: application,applications
apply: applied,apply
appoint: appoint,appointed
appointment: appointment
appreciation: appreciation,appreciations
apprehension: apprehension
apprentice: apprentice
apprenticeship: apprenticeship
approach: approach,approached,approaches
approval: approval
approve: approve,approved,approves
approximation: approximation
april: april
apt: apt
aptitude: aptitude
aptly: aptly
aquarium: aquarium
arab: arab,arabs
arbor: arbor
arcadia: arcadia
arch: arch
archaic: archaic
archbishop: archbishop
arched: arched
archer: archer
archibald: archibald
archipelago: archipelago
architect: architect,architects
architectural: architectural
architecture: architecture
archive: archive
ardent: ardent
ardour: ardour
argue: argue
argument: argument,arguments
arid: arid
arithmetic: arithmetic
arm: arm,armed,arms
armchair: armchair
armed: armed
armistice: armistice
armour: armour
armstrong: armstrong
army: army
aromatic: aromatic
arrange: arrange,arranged
arrangement: arrangement,arrangements
arrant: arrant
array: array
arrest: arrest
arrival: arrival
arrive: arrive,arrived
arrow: arrow
art: art,arts
artery: arteries
article: article,articles
articulate: articulate
artifice: artifice
artificial: artificial
artillery: artillery
artisan: artisan
artist: artist,artists
artistic: artistic
artless: artless
arts: arts
ascent: ascent
ascertain: ascertain,ascertaining
ascetic: ascetic
ascii: ascii
ashamed: ashamed
ashore: ashore
askance: askance
asleep: asleep
aspect: aspect
aspiration: aspirations
aspire: aspire
assist: assist,assisted,assisting,assists
assistance: assistance
assistant: assistant
association: association,associations
associations: associations
assortment: assortment
assume: assume
assure: assure,assured,assuring
astern: astern
astonish: astonished
astonishment: astonishment
astray: astray
astute: astute
atheist: atheist
atheistic: atheistic
atlantic: atlantic
atlas: atlas
atmosphere: atmosphere
atom: atoms
attach: attached
attack: attack
attain: attained
attainable: attainable
attainment: attainment
attempt: attempt,attempted
attend: attend,attended,attending
attendance: attendance
attention: attention
attentive: attentive
attest: attest
attitude: attitude
attorney: attorney
attract: attracted,attracting
attraction: attraction,attractions
attractive: attractive
audience: audience
aught: aught
aunt: aunt
auspices: auspices
austin: austin
author: author,authors
authority: authorities,authority
autumn: autumn
aux: aux
avenue: avenue
average: averages
avion: avions
avoid: avoid,avoided
avoir: avoir
avow: avowed
await: await,awaited
awake: awoke
award: awarded
aware: aware
awe: awe
awful: awful
awkward: awkward
awning: awning,awnings
axle: axle
ay: ay
azure: azure
baby: baby
background: background
bad: bad,worse,worst
badger: badger
badly: badly
badness: badness
bag: bag
baggage: baggage
baggy: baggy
bailiwick: bailiwick
baked: baked
bale: baling
ball: ball
ballad: ballads
ballot: ballot
baltic: baltic
band: band,bands
banded: banded
bang: bangs
bank: bank,banks
bankruptcy: bankruptcy
banquet: banquet
banter: banter,bantered
bar: bar
barbadoes: barbadoes
barbarian: barbarian,barbarians
barbaric: barbaric
barbarity: barbarity
bare: bare
bared: bared
barely: barely
barn: barn
baron: baron
baronetcy: baronetcy
barque: barque
barracks: barracks
barrel: barrel
barren: barren
barricade: barricade,barricaded,barricades
barrier: barrier
bas: bas
base: base,based
bashibazouk: bashibazouk
basis: basis
basket: baskets
bass: bass
bastard: bastard
bastille: bastille
bastion: bastions
bat: bat
bath: bath,bathed
battalion: battalions
batter: battering
battery: batteries
battle: battle
battlements: battlements
baxter: baxter
bay: bay
bazaar: bazaar
bea: bea
beach: beach
bear: bear,bearing,bears,bore,born,borne
bearded: bearded
bearer: bearer
bearing: bearing
beat: beat,beating
beau: beau
beaucoup: beaucoup
beautiful: beautiful
beauty: beauty
beaux: beaux
bed: bed,beds
bede: bede
bedford: bedford
beef: beef
beer: beer
befall: befell
beg: beg,begged
beggary: beggary
beguile: beguiled
behave: behave,behaved
behaviour: behaviour
behold: beheld,behold,beholding
belch: belch
belie: belied
belief: belief,beliefs
belittle: belittle
bell: bell,bells
belle: belle
belong: belong,belonged,belonging
beloved: beloved
belt: belt,belts
bend: bend,bent
beneath: beneath
benefactor: benefactor
benefit: benefit,benefiting
bent: bent
bernard: bernard
bernie: bernie
berth: berth,berths
bestial: bestial
bethlehem: bethlehem
betray: betrayed
betroth: betrothed
betrothal: betrothal
bewilder: bewildered,bewildering
bible: bible,bibles
bibliography: bibliography
bid: bid
bien: bien
billy: billy
binary: binary
bind: bind,bound
biographer: biographer
biography: biographies,biography
bird: birds
birkenhead: birkenhead
birth: birth
birthday: birthday
bishop: bishop,bishops
bishops: bishops
bit: bit,bits
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black
blacker: blacker
blackguard: blackguard
blackness: blackness
blair: blair
blame: blame,blamed,blaming
blameless: blameless
blank: blank
blaze: blazed
blend: blended
bless: bless,blessed
blessed: blessed
blind: blind
blindly: blindly
blindness: blindness
bliss: bliss
blister: blisters
block: block,blocked,blocks
blockade: blockade
blood: blood
bloodless: bloodless
bloodshed: bloodshed
bloody: bloody
bloom: blooming
blouse: blouse
blow: blew,blow,blowing,blown,blows
blue: blue
bluff: bluff
blunder: blundering
blunderer: blunderer
board: board
boarding: boarding
boast: boast
boat: boat,boating,boats
bob: bobbing,bobs
bobadil: bobadil
boccaccio: boccaccio
body: body
boiler: boiler,boilers
bold: bold
bolivar: bolivar
bolt: bolted
bombardment: bombardment
bon: bon
bona: bona
bond: bond,bonded,bonds
bone: bone,bones
bonne: bonne
bonnie: bonnie
book: book,books
border: border
bore: bore
borecole: borecole
borough: borough
borrow: borrow,borrowed
bosom: bosom
boulevard: boulevard
boulevards: boulevards
bound: bounding
boundary: boundaries
boundless: boundless
bouquet: bouquet,bouquets
bout: bouts
bow: bow,bowed,bows
bowsprit: bowsprit
box: box,boxed,boxes
boy: boy,boys
boyish: boyish
boyishly: boyishly
boyishness: boyishness
brace: braces,bracing
bracket: brackets
bradford: bradford
brain: brain
brained: brained
brake: brake
branch: branch,branches
brandish: brandishing
brass: brass
brave: brave,braves
bravely: bravely
bravery: bravery
breach: breach
bread: bread
break: break,breaking,breaks,broke,broken
breakage: breakages
breakfast: breakfast
breathe: breathed,breathes,breathing
breathing: breathing
breech: breeched
breeched: breeched
breeches: breeches
breed: bred,breeding
breeze: breeze,breezes
brest: brest
briars: briars
bribe: bribing
bricklaying: bricklaying
bride: bride
bridegroom: bridegroom
bridge: bridge
bridges: bridges
brig: brigs
brigantine: brigantine
bright: bright,brighter
brighten: brightened
brightly: brightly
brightness: brightness
brilliance: brilliance
brilliant: brilliant
brilliantly: brilliantly
bring: bring,bringing,brings,brought
brisk: brisk
bristle: bristled
britannica: britannica
british: british
broach: broach,broached
broad: broad,broadest
broil: broiling
broken: broken
bronze: bronze
brook: brook
broom: broom
brother: brother,brothers
brown: brown
browse: browse
brunswick: brunswick
brush: brushed
brushwood: brushwood
brutal: brutal
brutality: brutality
brute: brute
bubble: bubble,bubbles
bud: budded
buff: buff
build: build,building,built
builder: builder,builders
building: building,buildings
bulb: bulb
bulge: bulged
bulk: bulk
bullet: bullet
bully: bullying
bump: bump
bumptious: bumptious
bunker: bunkers
bunyan: bunyan
buoy: buoy,buoyed,buoying,buoys
buoyant: buoyant
burdon: burdon
burgh: burgh
burglar: burglar
burke: burke
burly: burly
burn: burn,burning,burns
burnish: burnished
burnt: burnt
burrow: burrow
burst: burst,bursting
burthen: burthened
bury: buried
bush: bushes
business: business
bust: bust
bustle: bustle,bustles
busy: busied,busy
butter: butter
butterfly: butterflies
button: button
buzz: buzzed
bye: bye
byron: byron
cab: cab
cabbage: cabbage
cabin: cabin
cable: cable,cables
cage: cage
cajole: cajoling
calamity: calamities
calculate: calculate,calculated
calculation: calculation,calculations
californian: californian
calm: calm,calmer
cambrian: cambrian
cambridge: cambridge
camilla: camilla
campaign: campaign
campbell: campbell
candid: candid
candle: candle,candles
candour: candour
cane: canes
cannon: cannon,cannons
cannonade: cannonade,cannonades
canoe: canoe
cantor: cantor
canvass: canvass,canvassed,canvassing
cap: cap,capped,capping,caps
capacity: capacity
cape: cape,capes
capital: capital
capitally: capitally
capite: capite
capitol: capitol
capitulation: capitulation
capo: capo
captain: captain
captiousness: captiousness
captive: captive
capture: captured
car: car
card: card
cardigan: cardigan
cardinal: cardinal
care: care,cared
career: career
careful: careful
carefully: carefully
careless: careless
careworn: careworn
cargo: cargo
caricatured: caricatured
caroline: caroline
carpenter: carpenter
carpentry: carpentry
carriage: carriage,carriages
carrot: carrots
carry: carried,carries,carry,carrying
cart: cart
carter: carter
cartoon: cartoons
cartridge: cartridges
cast: cast,casts
castaway: castaways
castigator: castigator
castle: castle,castles
castor: castor
cat: cat
catch: catching,caught
catholics: catholics
cattle: cattle
cauldron: cauldron
causa: causa
cavalier: cavalier
cavalry: cavalry
cave: cave,caves
ce: ce
cease: cease,ceased
cecil: cecil
celebration: celebration
censure: censure
cent: cent
central: central
centre: centre
century: centuries,century
certainty: certainty
certificate: certificate,certificates
chafe: chafed,chafing
chaff: chaff
chain: chain
chair: chair
chalk: chalk
chamber: chamber
chamoix: chamois
champagne: champagne
chance: chance,chanced,chances
chancel: chancel
chancery: chancery
change: change,changed
changed: changed
channel: channel
chant: chanting
chap: chap,chaps
chapeau: chapeau
chapter: chapter
character: character,characters
characteristic: characteristic
characteristically: characteristically
charade: charades
charge: charge,charged,charges
charitable: charitable
charity: charities,charity
charles: charles
charm: charm,charms
charming: charming
chart: chart
chase: chase
chatter: chattering
chaucer: chaucer
cheap: cheap,cheaper
cheaply: cheaply
check: check,checking,checks
cheer: cheer,cheers
cheerful: cheerful
cheerfulness: cheerfulness
cheery: cheery
cheltenham: cheltenham
chemin: chemin
cheque: cheque
chequered: chequered
cherish: cherish,cherished
chest: chest
chestnut: chestnuts
chez: chez
chia: chia
chick: chicks
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childish: childish
chill: chill,chilling
chiltern: chiltern
chimerical: chimerical
chip: chip
chirurgical: chirurgical
chisel: chisel
chivalrous: chivalrous
chivalry: chivalry
choice: choice
choke: choked
cholera: cholera
choose: choose,chooses,chose,chosen
choosing: choosing
chose: chose,choses
choses: choses
christ: christ
christendom: christendom
christian: christian,christians
christine: christine
christmas: christmas
chronicle: chronicle
chronicler: chronicler
church: church,churches
cicero: cicero
cigar: cigars
circle: circle,circled
circumstance: circumstance,circumstances
cistern: cisterns
cistus: cistus
citadel: citadel
citizen: citizen,citizens
city: cities,city
civil: civil
civilisation: civilisation
civilly: civilly
claim: claim,claimed,claiming
clamber: clamber,clambering
clara: clara
clarionet: clarionet
clark: clark
clasp: clasp
class: class,classes
classic: classics
classmate: classmate
clay: clay
clean: clean
cleanliness: cleanliness
clearness: clearness
cleopatra: cleopatra
clergy: clergy
clerk: clerk,clerks
clever: clever
client: clients
cliff: cliffs
climate: climate
cling: cling
clique: clique
clog: clogs
close: close,closed
closely: closely
cloth: cloth
clothe: clothed
clothes: clothes
cloths: cloths
cloud: clouds
cloudy: cloudy
club: club
clump: clumps
clumsily: clumsily
clumsy: clumsy
clutch: clutch
coach: coach,coaches
coal: coal,coaled,coaling,coals
coarse: coarse
coast: coast,coasting
coastguard: coastguard
coastline: coastline
coat: coat,coats
coating: coating
cob: cob
cock: cock,cocking,cocks
cocky: cocky
cocoa: cocoa
code: code,codes
coffee: coffee
coil: coil,coiled,coils
coin: coins
