abandon: abandon,abandoned
abandonment: abandonment
abdicate: abdicated
abettor: abettors
abide: abide
ability: abilities,ability
ablest: ablest
ably: ably
abolish: abolished,abolishing
abolition: abolition
aboriginal: aboriginal
abound: abound,abounds
abridge: abridge,abridged
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbed
absurd: absurd
abundance: abundance
abundant: abundant
abuse: abuse,abused,abuses
abused: abused
academic: academic
academies: academies
academy: academy
acapulco: acapulco
accelerate: accelerated
accept: accept,accepted,accepting
acceptance: acceptance
access: access,accessed
accessible: accessible
accessory: accessories
acclaim: acclaim
accommodate: accommodated
accompany: accompanied,accompany,accompanying
accomplish: accomplish,accomplished
account: account,accounts
accounts: accounts
accumulate: accumulated
accumulation: accumulation
accuracy: accuracy
accurate: accurate
accurately: accurately
accuse: accused
accustom: accustomed
achieve: achieved,achieving
achievement: achievement,achievements
acknowledge: acknowledge,acknowledged
acknowledgment: acknowledgment
acquaint: acquaint,acquainted
acquaintance: acquaintance
acquire: acquired,acquires,acquiring
acquisition: acquisition
acta: acta
action: action,actions
active: active
actively: actively
activity: activities,activity
actual: actual
adapt: adapted
add: add,adds
addition: addition,additions
additional: additional
address: address,addressed,addresses
adelantado: adelantado
aden: aden
adequate: adequate
adhere: adhered,adheres,adhering
adjacent: adjacent
adjoin: adjoining
administer: administer,administered
administration: administration,administrations
administrative: administrative
administrator: administrator,administrators
admirable: admirable
admirably: admirably
admiral: admiral
admiration: admiration
admission: admission
admit: admit,admitted
adopt: adopt
adoption: adoption
adoration: adoration
adriatic: adriatic
adult: adults
advance: advance,advanced,advances,advancing
advanced: advanced
advancement: advancement
advantage: advantage,advantages
advantageous: advantageous
adventure: adventure,adventures
adventurer: adventurer,adventurers
adventurous: adventurous
adviser: advisers
advocate: advocate,advocates
afar: afar
affair: affair,affairs
affairs: affairs
affection: affection
afflict: afflicted
afford: afford,afforded,affords
afresh: afresh
africa: africa
african: african,africans
age: age,ages
aged: aged
agency: agencies
agent: agent,agents
ages: ages
aggression: aggression
aggressive: aggressive
agitate: agitated,agitating
agitated: agitated
agitation: agitation
agitator: agitators
agree: agree,agreed
agreement: agreement
agricultural: agricultural
agriculture: agriculture
agriculturist: agriculturists
aguinaldo: aguinaldo
aid: aid,aided
aim: aim,aimed,aims
ak: ak
alarm: alarm,alarmed
alaska: alaska
albany: albany
albuquerque: albuquerque
alcalde: alcalde,alcaldes
alcazar: alcazar
alcedo: alcedo
alexander: alexander
alien: aliens
alienate: alienate
alike: alike
alive: alive
allegiance: allegiance
alleviate: alleviate
alliance: alliance,alliances
allot: allotted
allowance: allowance
alluring: alluring
ally: allied,allies,ally
almighty: almighty
alonso: alonso
alonzo: alonzo
alphabet: alphabet,alphabets
alps: alps
alteration: alteration
alternate: alternate
alternative: alternative
amass: amassing
amaze: amaze
amazement: amazement
amazing: amazing
amazon: amazon
ambassador: ambassador,ambassadors
amber: amber
ambition: ambition,ambitions
ambitious: ambitious
amboina: amboina
amboyna: amboyna
ambrosian: ambrosian
amend: amend
america: america
american: american,americans
americas: americas
amigo: amigo
amigos: amigos
ammunition: ammunition
amnesty: amnesty
amoretti: amoretti
amoy: amoy
amsterdam: amsterdam
anarchy: anarchy
ancestor: ancestor,ancestors
ancestry: ancestry
anchor: anchor,anchored,anchors
anchoring: anchoring
ancient: ancient
anda: anda
andaman: andaman
andrew: andrew
anew: anew
anger: anger,angered
angles: angles
animal: animal,animals
animated: animated
anitos: anitos
anna: anna
annex: annexed,annexing
annexation: annexation
annoying: annoying
annual: annual
annually: annually
annul: annulled,annulling
answer: answer,answered
antagonism: antagonism
antagonist: antagonist
antagonize: antagonized
antilles: antilles
anton: anton
antonia: antonia
antonio: antonio
antwerp: antwerp
anxiety: anxieties,anxiety
anxious: anxious
anxiously: anxiously
apiece: apiece
apostle: apostles
apothecary: apothecaries
appal: appalled
appalachians: appalachians
apparent: apparent
apparition: apparition
appeal: appeal,appeals
appearance: appearance
appease: appeased
appellative: appellative
appendix: appendix
applicable: applicable
application: application
apply: applied,apply,applying
appoint: appoint,appointed
appointment: appointment
apportionment: apportionment
appreciation: appreciation
apprehension: apprehension
approach: approach,approached,approaches,approaching
april: april
aquinas: aquinas
arab: arab,arabs
arabia: arabia
arabian: arabian
arabic: arabic
arch: arches
archbishop: archbishop
archduke: archduke
archeology: archeology
archipelago: archipelago,archipelagoes
architecture: architecture
archive: archive,archives
archives: archives
ardent: ardent
ardor: ardor
argue: argued,argues,arguing
