abandon: abandon,abandoned
argument: arguments
arias: arias
aristocracy: aristocracy
aristocratic: aristocratic
arithmetic: arithmetic,arithmetics
arithmetical: arithmetical
arithmetics: arithmetics
arizona: arizona
arm: arm,armed,arms
armada: armada
armament: armament,armaments
armed: armed
armor: armor
armored: armored
army: armies,army
arouse: arouse,aroused,arousing
arquebus: arquebus,arquebuses
arrange: arranged,arranging
arrangement: arrangement
array: array
arrest: arrest,arrested,arrests
arrival: arrival,arrivals
arrive: arrive,arrived,arriving
arrogant: arrogant
arrow: arrow,arrows
arsenal: arsenal,arsenals
art: art,arts
arte: arte
arthur: arthur
article: articles
artificial: artificial
artillerist: artillerist,artillerists
artillery: artillery
artisan: artisans
artist: artist
artistically: artistically
ascendancy: ascendancy
ascendency: ascendency
ascii: ascii
ascribe: ascribe
ash: ashes
ashore: ashore
asia: asia
asian: asian
asiatic: asiatic
aspiration: aspirations
aspire: aspired,aspiring
assail: assailed
assailant: assailant
assassin: assassins
assassinate: assassinated
assassination: assassination
assault: assault,assaulted,assaults
assemble: assembled,assembling
assembling: assembling
assembly: assembly
assert: asserted
assessor: assessor
assign: assigned
assignment: assignment
assisi: assisi
assist: assist,assisted
assistance: assistance
assistant: assistants
associate: associates
association: association
assume: assume,assumed
assurance: assurance,assurances
assure: assure,assured
astonished: astonished
astonishing: astonishing
astrolabe: astrolabe
astronomic: astronomic
asylum: asylum
atlantic: atlantic
atoll: atolls
attach: attached,attaching
attachment: attachment
attack: attack,attacked,attacks
attain: attained
attainment: attainments
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending
attendance: attendance
attention: attention
attire: attired
attitude: attitude
attract: attracted
attraction: attraction,attractions
attractive: attractive
attribute: attributed
audacity: audacity
audiencia: audiencia
auditor: auditor
augment: augmented
august: august
augustin: augustin
augustinian: augustinian
australia: australia
austria: austria
author: author
authoritative: authoritative
authority: authorities,authority
authorization: authorization
authorize: authorized
autocratic: autocratic
aux: aux
availability: availability
avarice: avarice
avenge: avenge
avenue: avenues
average: average
averse: averse
avoid: avoid,avoided
avowed: avowed
await: await,awaited
awake: awoke
awaken: awaken
award: awards
awful: awful
ax: ax
axe: axe
axis: axes
ayuntamiento: ayuntamiento
azores: azores
bachelor: bachelor
bacteriological: bacteriological
bad: bad,worse,worst
badly: badly
bagdad: bagdad
baja: baja
bajan: bajan
bajau: bajau
balance: balance
balboa: balboa
baldwin: baldwin
bali: bali
ball: ball
baltic: baltic
bamboo: bamboo
ban: ban
banana: bananas
banca: banca
band: band,banded,bands
banish: banished
banishment: banishment
bank: bank,banks
banner: banners
bantam: bantam
baptism: baptism
baptize: baptize,baptized,baptizing
bar: barring
barangay: barangay
barba: barba
barbarian: barbarians
barbarism: barbarism
barbarous: barbarous
barber: barbers
barcelona: barcelona
barefooted: barefooted
bark: bark
baron: baron
barong: barong
barracks: barracks
barracoon: barracoon
barren: barren
barrier: barriers
barrio: barrio,barrios
barrows: barrows
barter: barter,bartered
bartholomew: bartholomew
base: base,based
basin: basin
basis: basis
bastion: bastions
bataan: bataan
bathala: bathala
battalion: battalion
batter: battered
battery: batteries
battle: battle,battles
battleship: battleship
bay: bay,bays
bayonet: bayoneted
beach: beach
bead: beads
bean: beans
bear: bear,bearing,bore,born,borne
beard: beard
bearer: bearer,bearers
beast: beasts
beat: beat,beaten,beating
beautiful: beautiful
beautifully: beautifully
beauty: beauty
bed: bed
befriend: befriended
beg: begged
behead: beheading
beheading: beheading
behold: behold
belgium: belgium
belief: belief
belittle: belittled
bell: bell,bells
bello: bello
bells: bells
belong: belong,belonged,belonging
belt: belt
beneath: beneath
beneficent: beneficent
beneficial: beneficial
benefit: benefit,benefits
bengal: bengal
bent: bent
benzoin: benzoin
beri: beri
bernard: bernard
beset: beset
bestow: bestow,bestowed
betel: betel
betterment: betterment
bias: bias
biblical: biblical
bibliographical: bibliographical
bibliography: bibliographies,bibliography
bigot: bigot
binary: binary
bind: bound
binding: bindings
biographer: biographer
bird: bird,birds
birth: birth
birthplace: birthplace
bisayan: bisayan
bishop: bishop,bishops
bishopric: bishopric
bit: bit
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black,blacks
blackboard: blackboard
blacken: blackened
blackmail: blackmail
blair: blair
blame: blame
blanco: blanco
blanket: blankets
blaze: blazed
bleak: bleak
blessing: blessing
block: block,blocked
blockhouse: blockhouses
blood: blood
bloodless: bloodless
bloodshed: bloodshed
bloody: bloodiest,bloody
blow: blow,blown,blows
blue: blue
boar: boar
board: board,boarded
boast: boasted
boasting: boasting
boat: boat,boats
body: bodies,body
bogota: bogota
bohemia: bohemia
bokhara: bokhara
bold: bold
boldly: boldly
bombard: bombarded
bond: bond,bonds
bondage: bondage
bone: bone,bones
book: book,books
booth: booths
booty: booty
border: bordering
borneo: borneo
borrow: borrowed
botanist: botanist
botany: botany
bound: bounded,bounds
boundary: boundaries
boundless: boundless
bounteously: bounteously
bourbon: bourbon
bow: bow
bowl: bowl
bowman: bowmen
box: box
boy: boy,boys
brahmin: brahmin
brahminism: brahminism
branch: branch,branches
brand: brands
brass: brass
brave: brave,bravest
bravery: bravery
bravo: bravo
brazil: brazil
brazilian: brazilian
breach: breach
breadfruit: breadfruit
break: breaking,broke,broken
breast: breast
breathe: breathes
breeder: breeders
breeding: breeding
brethren: brethren
brick: brick
bridge: bridge,bridges
bridle: bridle
brigade: brigade
brigadier: brigadier
bright: bright
brighten: brighten
brilliant: brilliant
brilliantly: brilliantly
bring: bring,bringing,brings,brought
brisk: brisk
britain: britain
british: british
broad: broad,broader
brocade: brocades
bronze: bronze
brooke: brooke
brother: brother
brotherhood: brotherhood
brown: brown
brunt: brunt
brush: brush
brutality: brutality
bu: bu
buddha: buddha
buddhism: buddhism
buddhist: buddhist
buffalo: buffalo
build: build,building,built
building: building,buildings
bulk: bulk
bull: bull
bullet: bullet
bullion: bullion
burden: burden,burdened,burdens
burdensome: burdensome
bureau: bureau,bureaus
burgundy: burgundy
burial: burial
burma: burma
burn: burned,burning,burnt
burning: burning
burst: burst
busily: busily
business: business
busy: busy
butchery: butchery
buttress: buttresses
cabildo: cabildo
cabinet: cabinet
cabot: cabot,cabots
cabots: cabots
cacao: cacao
cacique: caciques
cagayan: cagayan
cage: cages
calculate: calculate,calculated,calculating
calculation: calculations
calcutta: calcutta
caldera: caldera
calf: calf
calicut: calicut
california: california
calling: callings
calm: calm,calms
calmly: calmly
calvin: calvin
cambodia: cambodia
cambridge: cambridge
camel: camels
camote: camote
camp: camp,camped
campa: campa
campaign: campaign,campaigning
campaigner: campaigners
campaigns: campaigns
camphor: camphor
campo: campo
canal: canal
canaries: canaries
canary: canaries
cancel: cancel
candle: candle
candlestick: candlesticks
cane: cane,canes
cannibal: cannibals
cannibalism: cannibalism
cannon: cannon
cannonading: cannonading
canoe: canoe,canoes
canon: canons
canonization: canonization
cantar: cantar
canter: canter
canton: canton
capable: capable
capacity: capacities,capacity
caparison: caparisoned
cape: cape
capes: capes
capital: capital,capitals
capitan: capitan
capitulate: capitulated
capon: capons
captain: captain,captains
captive: captive,captives
capture: capture,captured,captures,capturing
carabao: carabaos
caravan: caravan
card: card
care: care,cared
career: career
careful: careful
carefully: carefully
cargador: cargador
cargo: cargo,cargoes
cargoes: cargoes
carlos: carlos
caroline: caroline,carolines
carolines: carolines
carry: carried,carry,carrying
casa: casa,casas
casas: casas
caspian: caspian
cast: cast,casting
castaway: castaways
caste: castes
castile: castile
castilla: castilla
castillo: castillo
casting: casting
castle: castle
cat: cats
catalog: catalog
catalogue: catalogue
catastrophe: catastrophe
catch: catch
catechise: catechised
catechism: catechisms
catechist: catechists
cathay: cathay
cathedral: cathedral
catholic: catholic
catholicism: catholicism
cattle: cattle
caution: caution
cautiously: cautiously
cavalry: cavalry
cavendish: cavendish
cease: cease,ceased
cede: cede,ceded
cedula: cedula,cedulas
cedulas: cedulas
celebes: celebes
celebrate: celebrated
celebrated: celebrated
cement: cemented
censorship: censorship
census: census
cent: cent,cents
center: center,centered,centers
centimeter: centimeters
central: central
century: centuries,century
cereal: cereal
ceremonial: ceremonial,ceremonials
ceremony: ceremonies,ceremony
cessation: cessation
cession: cession,cessions
ceylon: ceylon
chagrin: chagrin
chain: chains
chalice: chalices
challenge: challenged
champion: champion,champions
chan: chan
change: change,changed,changing
changing: changing
channel: channel,channels
chant: chanted
chao: chao
chap: chap
chapel: chapel
chapter: chapter,chapters
character: character,characters
characteristic: characteristic,characteristics
characterize: characterize,characterized
charge: charge,charged,charges
charitable: charitable
charity: charities,charity
charles: charles
chart: chart,charted,charting,charts
chase: chase
chattel: chattels
chaucer: chaucer
cheap: cheap
check: check,checked,checks
chemical: chemical
chest: chest
chewing: chewing
chicago: chicago
chicken: chicken,chickens
chief: chief,chiefs
chiefly: chiefly
chieftain: chieftain,chieftains
child: child,children
chili: chili
chin: chin
china: china
chine: chine
chinese: chinese
chinos: chinos
chirino: chirino
choice: choice
cholera: cholera
choose: choose,chose,chosen
christ: christ
christendom: christendom
christian: christian,christians
christianity: christianity
christianize: christianize,christianized,christianizing
christianized: christianized
christmas: christmas
christopher: christopher
chronicle: chronicles
church: church,churches
churchill: churchill
churchman: churchmen
churchmen: churchmen
cid: cid
cincinnati: cincinnati
cinnamon: cinnamon
cipango: cipango
circle: circle
circuit: circuit
circuitous: circuitous
circular: circular
circulation: circulation
circum: circum
circumcision: circumcision
circumference: circumference
circumnavigate: circumnavigate
circumnavigation: circumnavigation
circumstance: circumstances
citadel: citadel
cite: cited,cites
cities: cities
citizen: citizens
citizenship: citizenship
citron: citron
city: cities,city
civil: civil
civilian: civilian
civilization: civilization,civilizations
civilized: civilized
civilizing: civilizing
claim: claim,claimed,claims
clamor: clamored
clara: clara
clark: clark
clash: clashes
class: class,classes
classic: classic,classics
classical: classical
claudio: claudio
clausum: clausum
clay: clay
clean: clean
cleanly: cleanly
clearing: clearings
clement: clement
clergy: clergy
clerical: clerical
climate: climate
climax: climax
cling: clung
clique: clique
clive: clive
close: close,closed,closes,closest,closing
closed: closed
closely: closely
closet: closeted
closing: closing
cloth: cloth,cloths
clothe: clad,clothe
clothes: clothes
clove: clove,cloves
clumsy: clumsy
cluster: cluster,clusters
coal: coals
coalition: coalition
coan: coan
coast: coast,coasted,coasts
coastal: coastal
coat: coat
cock: cock
cocoanut: cocoanut,cocoanuts
code: code,codes
coffee: coffee
cogon: cogon
coin: coin
coincidence: coincidence
cold: cold,colder
colin: colin
collect: collect,collected,collecting
collecting: collecting
collection: collection,collections
collectively: collectively
collector: collectors
college: college,colleges
colonels: colonels
colonial: colonial
colonies: colonies
colonist: colonist,colonists
colonization: colonization
colonize: colonize,colonized,colonizing
colonizer: colonizers
colony: colonies,colony
colophon: colophon
color: color,colored,colors
columbus: columbus
column: column
comandante: comandante
comb: combs
combat: combat
combe: combes
combes: combes
combine: combined,combining
comer: comers
comestible: comestibles
comfort: comforts
coming: coming
command: command,commanded,commanding,commands
commander: commander,commanders
commemorate: commemorated
commence: commence,commenced
commencement: commencement
commerce: commerce
commercial: commercial
commercialism: commercialism
commission: commission,commissioned,commissions
commissioner: commissioner,commissioners
commit: committed
commodity: commodities
commodore: commodore
common: common
commonly: commonly
commons: commons
commonwealth: commonwealth,commonwealths
communicate: communicate,communicated,communicating
communication: communication
community: communities,community
commute: commuted
compact: compact
compania: compania
companion: companions
company: companies,company
comparatively: comparatively
compare: compare,compared
compass: compass
compassionate: compassionate
compatible: compatible
compel: compel,compelled,compels
compensation: compensation
competition: competition
compilation: compilation
complain: complained
complaint: complaints
complete: complete,completed
completely: completely
completion: completion,completions
compliance: compliance
compliant: compliant
complicate: complicated
complicity: complicity
comply: comply,complying
compose: composed
composition: composition
comprehensive: comprehensive
compress: compressed
comprise: comprise,comprises,comprising
compulsory: compulsory
computation: computation
compute: computed
conceal: conceal
concede: conceded
conceive: conceiving
concentrate: concentrated
concept: concept
conception: conceptions
concern: concern,concerned
conclude: concluded
conclusion: conclusion,conclusions
concur: concurred
concurrence: concurrence
condemn: condemned
condemnation: condemnation
condensed: condensed
condition: condition,conditions
conduct: conduct,conducted,conducting
confederate: confederated,confederates
confer: confer
confess: confessed
confession: confession
confidence: confidence
confine: confined
confirm: confirm,confirmed
confirmation: confirmation
confiscate: confiscated
confiscation: confiscation
conflagration: conflagration
conflict: conflict,conflicts
conform: conform
confront: confronted
confuse: confused
confusion: confusion
congress: congress
connect: connect,connected,connects
connection: connection
connivance: connivance
conquer: conquer,conquered,conquering
conqueror: conqueror,conquerors
conquest: conquest,conquests
conquests: conquests
conquistador: conquistadores
conscience: conscience
consent: consent
consequence: consequence,consequences
consequential: consequential
conservatism: conservatism
conservative: conservative
considerable: considerable
considerably: considerably
consideration: consideration
consist: consisted,consisting,consists
consonant: consonant,consonants
conspicuous: conspicuous
conspiracy: conspiracy
conspirator: conspirator,conspirators
constabulary: constabulary
constant: constant
constantine: constantine
constantinople: constantinople
constantly: constantly
constitute: constitute,constituted
constitution: constitution
constitutional: constitutional
construct: construct,constructed,constructing
construction: construction
consulate: consulate
consult: consult,consulted
consume: consume,consumed,consumes
contact: contact
contemplate: contemplate,contemplated
contemplation: contemplation
contemporary: contemporary
contemptuous: contemptuous
content: content
contents: contents
contest: contest,contests
continent: continent,continents
continental: continental
continual: continual
continually: continually
continue: continue,continued,continuing
continued: continued
continuous: continuous
continuously: continuously
contra: contra
contraband: contraband
contract: contract
contradict: contradicted
contrary: contrary
contrast: contrast
contribute: contributed
contribution: contributions
contributor: contributor
control: control,controlled,controlling
controversy: controversy
convenient: convenient
convent: convent,convents
convention: conventions
converse: converse
conversion: conversion,conversions
convert: convert,converted,converts
convey: convey
conviction: convictions
convinced: convinced
convulse: convulse,convulsing
cook: cook,cooked
cooking: cooking
cool: cool
coolie: coolies
copious: copious
copper: copper
copra: copra
copying: copying
copyright: copyright
coral: coral
cordillera: cordillera
cordon: cordon
corn: corn
cornelius: cornelius
corner: corner
cornish: cornish
coromandel: coromandel
corporation: corporation
corps: corps
corral: corrals
correct: correct
correction: correction,corrections
corrections: corrections
correctly: correctly
corregidor: corregidor,corregidors
correo: correo
correspondence: correspondence
correspondingly: correspondingly
corrupt: corrupt
corruption: corruption
corsair: corsair
cortes: cortes
corvee: corvee
cosmographer: cosmographer
cosmography: cosmography
cosmopolitan: cosmopolitan
cost: cost,costs
costly: costly
cotton: cotton
council: council,councils
councillor: councillors
councilor: councilors
counsel: counsel,counseled,counsels
count: count,counted
countenance: countenance
counting: counting
countinghouse: countinghouse
countries: countries
country: countries,country
countryman: countryman,countrymen
county: counties,county
couple: couple,coupled
courage: courage
courageous: courageous
courageously: courageously
court: court,courts
courtesy: courtesy
courts: courts
covenant: covenant
cover: cover,covered,covering
covet: coveted
coveted: coveted
cowardice: cowardice
cowardly: cowardly
craft: craft
create: create,created,creating
creation: creation
creator: creator
credible: credible
credit: credit
creditable: creditable
creese: creese
creeses: creeses
crest: crest,crests
crew: crew,crews
crime: crime,crimes
criminal: criminal
cripple: cripple
crippling: crippling
critical: critical
critically: critically
criticism: criticism
crocodile: crocodile
crop: crop,crops
cross: cross,crossed,crosses,crossing
crowd: crowded
crown: crown
crowning: crowning
crucify: crucified
cruel: cruel
cruelty: cruelty
cruise: cruised,cruising
crusade: crusades
crusader: crusaders
crusaders: crusaders
crusades: crusades
crush: crushed,crushing
cuartel: cuartel
cuba: cuba
cuban: cuban,cubans
cuesta: cuesta
culminate: culminated
culpable: culpable
culprit: culprits
cult: cult
cultivate: cultivated,cultivating
cultivation: cultivation
culture: culture,cultured
cupidity: cupidity
cura: cura
curacy: curacies,curacy
curate: curate,curates
cure: cured,cures
curious: curious
curiously: curiously
curly: curly
currency: currency
current: current,currents
curse: curse
custom: custom,customs
customary: customary
customs: customs
cut: cut,cuts,cutting
da: da
dado: dado
daily: daily
daimio: daimios
damage: damage
damaged: damaged
damages: damages
damask: damask
dampness: dampness
dance: dances
danger: danger,dangers
dangerous: dangerous
dangers: dangers
dante: dante
danube: danube
daring: daring
daringly: daringly
dark: dark
darken: darkened
darkness: darkness
dastardly: dastardly
dato: dato,datos
datos: datos
datum: data
daughter: daughter
david: david
day: day,days
dead: dead
deadly: deadly
deal: deal,dealing,deals,dealt
dealer: dealers
dealings: dealings
dean: dean,deans
death: death,deaths
debar: debarred
debate: debate,debated
debauchery: debauchery
debt: debt,debts
decade: decade,decades
decadence: decadence
decadent: decadent
decay: decay,decayed,decaying
december: december
decently: decently
decide: decide,decided
decision: decision,decisions
decisive: decisive
deck: deck,decked
declaration: declaration
declare: declared,declaring
decline: decline,declined,declining
decorator: decorators
decrease: decreased,decreasing
decree: decree,decreed,decreeing,decrees
dedit: dedit
deductible: deductible
deed: deeds
deep: deep
deepen: deepening
deeply: deeply
deer: deer
defalcation: defalcations
default: default
defaulter: defaulters
defeat: defeat,defeated
defect: defect,defects
defective: defective
defend: defend,defended,defending
defense: defense
defensive: defensive
defer: defer
defiant: defiant
defiantly: defiantly
deficient: deficient
deficit: deficits
define: defined,defining
definition: definitions
defy: defied
degenerate: degenerate
degeneration: degeneration
degrade: degrades
degree: degree,degrees
deity: deities,deity
del: del
delay: delayed,delaying
delegate: delegates
delete: deleted
deletion: deletions
delhi: delhi
deliberately: deliberately
delicate: delicate
delight: delight
delighted: delighted
deliver: delivering
delivery: delivery
delver: delver
demand: demand,demanded,demanding,demands
demarcation: demarcation
democracy: democracy
democrat: democrat
democratic: democratic
demon: demon
demonstrate: demonstrated
demoralization: demoralization
denounce: denounced
dense: densest
deny: denied,deny
department: department,departments
departure: departure
depend: depend,depended,depends
dependence: dependence
dependency: dependency
dependent: dependent,dependents
depiction: depiction
deplorable: deplorable
depopulate: depopulated
depopulation: depopulation
deportation: deportation
depose: deposed
depreciation: depreciation
depredation: depredation
depressed: depressed
depression: depression
deprive: deprive,deprived
der: der
derivation: derivation
derivative: derivative
derive: derive,derived
des: des
descend: descended
descendant: descendants
descent: descent
description: description,descriptions
descriptive: descriptive
desert: desert,deserted
deserving: deserving
design: designed,designs
designate: designate,designated,designating
desirable: desirable
desire: desire,desired,desires
desirous: desirous
desolate: desolate,desolated
despair: despair
desperate: desperate
desperately: desperately
despise: despising
despoil: despoiled,despoiling
destine: destined
destitute: destitute
destroy: destroy,destroyed,destroying
destruction: destruction
destructive: destructive
detach: detach
detachment: detachments
detailed: detailed
detect: detect
deter: deter
determination: determination
determine: determine,determined,determining
determined: determined
detestable: detestable
detriment: detriment
develop: develop,developed,develops
developed: developed
development: development
device: device
devil: devil
devise: devised
devoid: devoid
devon: devon
devote: devote,devoted,devoting
devoted: devoted
devotedly: devotedly
devotion: devotion
devotional: devotional
devout: devout
dewey: dewey
dexterous: dexterous
di: di
dialect: dialect,dialects
diary: diary
dichas: dichas
dictation: dictation
dictatorship: dictatorship
dictionaries: dictionaries
dictionary: dictionaries,dictionary
dido: dido
die: die,died
diego: diego
diet: diet
difference: differences
difficult: difficult
difficulty: difficulties,difficulty
diffuse: diffused
diffused: diffused
dig: dug
digital: digital
dignify: dignify
dignitary: dignitaries
dignity: dignities,dignity
dimension: dimensions
diminish: diminishing
diminution: diminution
din: din
diocesan: diocesan
diocese: diocese
diplomacy: diplomacy
diplomatic: diplomatic
dire: dire
direct: direct,directed,directing
direction: direction,directions
director: director
disadvantage: disadvantages
disaffection: disaffection
disappear: disappear,disappeared
disappoint: disappointed
disappointed: disappointed
disappointment: disappointment
disaster: disaster
disastrous: disastrous
disbelieve: disbelieved
discharge: discharge,discharging
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclosed
discontinue: discontinue
discord: discord
discouragement: discouragement
discouraging: discouraging
discouragingly: discouragingly
discover: discover,discovered
discoveries: discoveries
discovery: discoveries,discovery
discretion: discretion
discuss: discussed,discussing
discussion: discussion
disease: disease,diseases
diseases: diseases
disembark: disembarked
disengage: disengaged
disfavor: disfavor
disgrace: disgraced
disgust: disgust
dish: dishes
disintegration: disintegration
disinter: disinterred
disinterested: disinterested
disk: disk
dislodge: dislodge
dismay: dismayed
dismiss: dismiss,dismissed
disorder: disorder,disorders
disorganized: disorganized
dispatch: dispatch,dispatched
dispense: dispense,dispensed,dispenses
dispersal: dispersal
disperse: dispersed
dispirited: dispirited
display: display,displayed,displaying
disposal: disposal
dispose: disposed,disposing
disposed: disposed
disposition: disposition
dispossess: dispossessed
dispute: dispute,disputed,disputes
disseminate: disseminated
dissension: dissension,dissensions
dissolution: dissolution
dissolve: dissolved
distance: distance,distances
distant: distant
distinct: distinct
distinction: distinction
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishes
distinguishing: distinguishing
distress: distress
distressing: distressing
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district,districted,districts
distrust: distrust
disturb: disturb,disturbed
disturbance: disturbance,disturbances
disturbed: disturbed
disunited: disunited
ditch: ditch,ditches
divide: divide,divided,divides
divinity: divinity
division: division
diwata: diwata
dock: docks
doctor: doctor,doctors
doctrine: doctrine,doctrines
document: document,documents
documentary: documentary
dog: dogs
dollar: dollar,dollars
domain: domain
domesticated: domesticated
dominant: dominant
dominate: dominated
domination: domination
dominic: dominic
dominican: dominican,dominicans
dominion: dominion,dominions
donate: donate
donation: donation,donations
donor: donors
door: door,doors
dormant: dormant
dot: dotted
dotted: dotted
double: double,doubled
doubt: doubt,doubted,doubts
doubtless: doubtless
download: downloaded,downloading
downplay: downplayed
dowry: dowry
dozen: dozen
drafting: drafting
drag: dragged
dragon: dragon
drain: drained
drake: drake
dramatic: dramatic
draper: draper
draw: draw,drawn,drew
drawing: drawings
dread: dread,dreaded
dreaded: dreaded
dreadful: dreadful
dream: dream,dreamed
dreary: dreary
dress: dressed
drill: drill
drink: drank
drive: drive,driven,driving,drove
driving: driving
drop: drop,dropped
drum: drum
drunk: drunk
drunkenness: drunkenness
du: du
ducat: ducats
duchy: duchy
duke: duke
dull: dull
durable: durable
durably: durably
dust: dust
dutch: dutch
duty: duties,duty
dwarf: dwarfs
dwell: dwell,dwelling,dwelt
dweller: dwellers
dwelt: dwelt
dwindle: dwindled
dye: dyed
dyewood: dyewood
dynasty: dynasty
eager: eager
eagerness: eagerness
earnestly: earnestly
earnings: earnings
earring: earrings
earth: earth
earthenware: earthenware
earthquake: earthquake
ease: ease
easily: easily
east: east
eastern: eastern
eastward: eastward
easy: easy
eat: ate,eat,eating
eater: eaters
ecclesiastic: ecclesiastic,ecclesiastics
ecclesiastical: ecclesiastical
ecclesiasticism: ecclesiasticism
economic: economic
economically: economically
economy: economy
edge: edge
edict: edict,edicts
edifice: edifices
edit: edited
edition: edition,editions
editor: editor
editorship: editorship
educate: educate,educated
educated: educated
education: education
educational: educational
educator: educators
edward: edward
effective: effective
effectively: effectively
effectiveness: effectiveness
effects: effects
effectually: effectually
efficiency: efficiency
efficient: efficient
effigy: effigy
effort: effort,efforts
egbert: egbert
egg: egg
egypt: egypt
eighteen: eighteen
eighteenth: eighteenth
eighth: eighth
el: el
elaborate: elaborate
elapse: elapse,elapsed
elect: elect,elected
electricity: electricity
electrify: electrified
electronic: electronic
electronically: electronically
elegance: elegance
elegant: elegant
element: element,elements
elementary: elementary
elephant: elephants
elevate: elevate,elevated,elevating
elevated: elevated
elevation: elevation
elude: elude
email: email
embark: embarked
