abatement: abatement
abbey: abbey
abhorrence: abhorrence
abhorrent: abhorrent
abide: abide,abiding
ability: abilities,ability
ablution: ablution
abode: abode
abominable: abominable
abominably: abominably
abominate: abominate
abound: abound
abrupt: abrupt
abruptly: abruptly
abruptness: abruptness
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absurd: absurd
absurdity: absurdities,absurdity
abundant: abundant
abundantly: abundantly
abuse: abuse,abused,abusing
abusive: abusive
accede: accede,acceded,acceding
accent: accent,accents
accept: accept,accepted,accepting
acceptable: acceptable
acceptance: acceptance
accident: accident
accidental: accidental
accidentally: accidentally
accompany: accompanied,accompany,accompanying
accomplish: accomplished
accomplished: accomplished
accomplishment: accomplishment,accomplishments
accost: accosted
account: account,accounted,accounting,accounts
accounting: accounting
accuracy: accuracy
accurate: accurate
accusation: accusation,accusations
accuse: accuse,accused,accusing
accustom: accustomed
accustomed: accustomed
ache: ached
achieve: achieve,achieving
acknowledge: acknowledge,acknowledged,acknowledging
acknowledgment: acknowledgment,acknowledgments
acquaint: acquaint,acquainted,acquainting
acquaintance: acquaintance,acquaintances
acquainted: acquainted
acquiesce: acquiesce
acquiescence: acquiescence
acquire: acquire,acquired
acquisition: acquisition
acquit: acquit
acrimony: acrimony
action: action,actions
active: active
activity: activity
actual: actual
actuate: actuated
acute: acute,acutest
acutely: acutely
adapt: adapted
add: add,adding,adds
addison: addison
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adept: adept
adequate: adequate
adhere: adhered,adhering
adieu: adieu
adieus: adieus
adjust: adjusted,adjusting
admirable: admirable
admiration: admiration
admire: admire,admired,admires,admiring
admired: admired
admirer: admirer,admirers
admission: admission
admit: admit,admitted,admitting
admittance: admittance
admittedly: admittedly
adopt: adopt
adoration: adoration
adorn: adorned
advance: advance,advanced,advances
advanced: advanced
advancement: advancement
advantage: advantage,advantages
advantageous: advantageous
advantageously: advantageously
advent: advent
adventure: adventure
advertise: advertised
advice: advice
advisable: advisable
advise: advise,advised,advising
affability: affability
affable: affable
affair: affair,affairs
affect: affect
affectation: affectation
affection: affection,affections
affectionate: affectionate
affectionately: affectionately
affinity: affinity
affirmative: affirmative
afflict: afflicting
affliction: affliction
afford: afford,afforded,affording,affords
affront: affront,affronted
afraid: afraid
afresh: afresh
afternoon: afternoon
age: age,ages
aggravate: aggravate
agitate: agitating
agitated: agitated
agitation: agitation,agitations
agony: agonies,agony
agree: agree,agreed,agreeing
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aid: aid
aim: aimed
air: air,airs
airing: airing
alacrity: alacrity
alarm: alarm,alarmed,alarming,alarms
alarmed: alarmed
alarming: alarming
alas: alas
alienated: alienated
alight: alighted
alike: alike
alive: alive
allay: allayed
allegro: allegro
allen: allen
alleviate: alleviate,alleviated
alliance: alliance
allowable: allowable
allowance: allowance,allowances
allude: allude,alluded,alluding
allurement: allurements
allusion: allusion,allusions
aloof: aloof
aloud: aloud
altar: altar
alter: alter,altered
alteration: alteration,alterations
altered: altered
alternate: alternate
alternative: alternative
altogether: altogether
amaze: amaze,amazes
amazed: amazed
amazement: amazement
amazing: amazing
ambition: ambition
amend: amends
amendment: amendment
amiable: amiable
amiss: amiss
ample: ample
amply: amply
amuse: amuse,amused,amusing
amused: amused
amusement: amusement,amusements
amusing: amusing
ancient: ancient
ancle: ancle
anecdote: anecdote,anecdotes
anew: anew
angel: angel
angelic: angelic
anger: anger
angrily: angrily
angry: angry
anguish: anguish
animal: animal
animate: animated,animating
animated: animated
animation: animation
anne: anne
annex: annexed
annoyed: annoyed
annual: annual
annum: annum
answer: answer,answered,answering,answers
answerable: answerable
antagonist: antagonist
antechamber: antechamber
anticipate: anticipate,anticipated,anticipating
anticipation: anticipation
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apace: apace
apartment: apartment,apartments
apologize: apologize,apologized,apologizing
apology: apologies,apology
apothecary: apothecary
apparel: apparel
apparent: apparent
appeal: appeal,appeals
appearance: appearance,appearances
appease: appease,appeased
appendix: appendices
appertain: appertain
appetite: appetite
application: application
apply: applied,applies,apply,applying
appoint: appointed
appointment: appointment
appreciably: appreciably
apprehend: apprehend,apprehended,apprehending
apprehension: apprehension,apprehensions
apprehensive: apprehensive
approach: approach,approached,approaching
approbation: approbation
approve: approve,approved
april: april
apt: apt
arch: arch
archbishop: archbishop,archbishops
archly: archly
archness: archness
ardent: ardent
