abandon: abandon,abandoned,abandoning
abandonment: abandonment
abate: abate,abated
ablution: ablution
ablutions: ablutions
abode: abode
abominable: abominable
abound: abound,abounded
abrupt: abrupt
absence: absence,absences
absent: absent,absenting
absolute: absolute
absolutely: absolutely
absorb: absorbed
absurd: absurd
abundance: abundance
abundant: abundant
abusive: abusive
accede: acceded
accelerate: accelerate
accent: accents
accept: accept,accepted,accepting
acceptable: acceptable
access: access
accession: accession
accessory: accessory
accident: accident
accidental: accidental
accidentally: accidentally
accidently: accidently
accommodate: accommodate,accommodated,accommodating
accommodation: accommodation
accompaniment: accompaniments
accompany: accompanied,accompany,accompanying
accomplish: accomplish,accomplished
accomplished: accomplished
accomplishment: accomplishment
accord: accord
accoucheuse: accoucheuse
account: account,accounted,accounts
accrue: accrue
accusation: accusation
accuse: accused
accustom: accustom,accustomed
accustomed: accustomed
ache: aching
achieve: achieved
acknowledge: acknowledged,acknowledging
acknowledgment: acknowledgment
acme: acme
acquaint: acquainted
acquaintance: acquaintance
acquire: acquired
acquirement: acquirements
acrid: acrid
action: action,actions
active: active
actively: actively
activity: activity
actor: actor,actors
actual: actual
acute: acute
adam: adam
adamantine: adamantine
adapt: adapt,adapted,adapting
add: add,adding,adds
addenda: addenda
addict: addicted
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adept: adept,adepts
adhere: adhere,adhered,adheres,adhering
adieu: adieu
adieux: adieux
adjacent: adjacent
adjoin: adjoining
adjoining: adjoining
adjourn: adjourned,adjourning
adjust: adjusted
administer: administer,administered,administering
admirable: admirable
admirably: admirably
admiration: admiration
admire: admire,admired,admires,admiring
admirer: admirers
admiringly: admiringly
admit: admit,admits,admitted
ado: ado
adonis: adonis
adopt: adopt,adopting
adorable: adorable
adoration: adoration
adore: adore,adored,adores
adored: adored
adorn: adorn,adorned,adorning
adulterous: adulterous
adultery: adultery
advance: advance,advanced,advancing
advanced: advanced
advantage: advantage,advantages
advantageous: advantageous
advent: advent
adventure: adventures
adverse: adverse
advertise: advertised
advertisement: advertisement
advertising: advertising
advice: advice
advisable: advisable
advise: advise,advised,advising
affair: affair,affairs
affect: affect
affection: affection
affectionate: affectionate
affectionately: affectionately
affirm: affirmed
affirmative: affirmative
afford: afford,afforded
affront: affront
afield: afield
afraid: afraid
afresh: afresh
afternoon: afternoon
age: age,ages
agile: agile
agility: agility
agitate: agitated
agitated: agitated
agitation: agitation,agitations
agnes: agnes
agonise: agonised
agonising: agonising
agonized: agonized
agony: agonies,agony
agree: agree,agreed,agreeing
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aid: aid,aided,aiding,aids
aide: aide
ail: ailed
