abandon: abandon
conquest: conquest
conscience: conscience,consciences
conscious: conscious
consciousness: consciousness
consecrate: consecrated
consecration: consecration
consent: consent,consented
consequence: consequences
consequent: consequent
consequential: consequential
considerable: considerable
considerate: considerate
consideration: consideration,considerations
consign: consign
consolation: consolations
console: console
constant: constant
constantinople: constantinople
constantly: constantly
constitute: constitute,constitutes
constrain: constrained
constructive: constructive
consult: consult
consume: consume,consumed,consumes,consuming
contact: contact
contagious: contagious
contend: contending
content: content
contention: contention
contentious: contentious
contents: contents
continent: continent
contingent: contingent
continually: continually
continuance: continuance
continue: continue,continued,continues,continuing
continued: continued
continuous: continuous
contract: contract
contradiction: contradictions
contrary: contrary
contribution: contributions
control: control,controlled,controlling
controversy: controversy
convent: convents
conversation: conversation
conversion: conversion
convert: convert,converted,converts
converted: converted
convey: conveys
convict: convict,convicted,convicting,convicts
conviction: conviction,convictions
convince: convince,convinced,convinces,convincing
convinced: convinced
cony: conies
cool: cooling
copying: copying
copyright: copyright
cor: cor
corinthian: corinthians
corn: corn
cornelius: cornelius
cornfield: cornfield
corporation: corporation
corps: corps
corpse: corpse
correct: correct,corrected,corrects
correction: correction
corrective: corrective
corroborate: corroborate
corrupt: corrupt,corrupts
corruptible: corruptible
corruption: corruption
cost: cost,costs
council: council,councils
counsel: counsel
count: count,counted,counting,counts
countenance: countenance
counterfeit: counterfeit
countless: countless
country: countries,country
courage: courage
courageous: courageous
court: court,courts
courteous: courteous
courts: courts
covenant: covenant
cover: covered
covetous: covetous
covetousness: covetousness
cow: cow
cower: cowering
cowper: cowper
create: create,created,creating
creation: creation
creator: creator
creature: creature,creatures
credit: credit
creed: creed
creep: creeping
crew: crew
crib: crib
crime: crime
cringe: cringe
crisis: crisis
critical: critical
criticise: criticise,criticising
criticism: criticism,criticisms
croak: croaking
cross: cross
crowd: crowd,crowds
crowded: crowded
crown: crown,crowned
crowning: crowning
crucifixion: crucifixion
crucify: crucified
cruel: cruel
cruelly: cruelly
crush: crushed
cultivate: cultivating
cultivation: cultivation
cup: cup
curb: curbed
cure: cure,cured
current: current,currents
curse: cursed
curtain: curtains
curtis: curtis
custom: custom
cut: cut,cuts,cutting
cymbal: cymbals
cyrus: cyrus
daily: daily
dainty: dainty
daisy: daisies
damage: damage
damaged: damaged
damages: damages
damn: damn
damnation: damnation
damp: damp
dan: dan
dance: dances
danger: danger,dangers
dangerous: dangerous
daniel: daniel
dark: dark,darkest
darken: darkened
darkness: darkness
darts: darts
dastardly: dastardly
datum: data
daughter: daughter,daughters
david: david
dawn: dawn,dawned,dawns
day: day,days
dead: dead
deadly: deadly
deadness: deadness
deaf: deaf
deal: deal,dealing,deals,dealt
dealing: dealing
death: death
debauchery: debauchery
debt: debt
decay: decay
deceit: deceit
deceitfully: deceitfully
deceitfulness: deceitfulness
deceive: deceive,deceived
decide: decided
decision: decisions
declamation: declamation
declare: declare,declared,declares
deductible: deductible
deed: deed,deeds
deep: deep,deeper,deepest
deepen: deepened,deepening,deepens
deeply: deeply
defame: defamed
defect: defect,defects
defective: defective
defence: defence
defenceless: defenceless
defend: defend,defended
defer: deferred
defiance: defiance
defiant: defiant
defile: defiles
definite: definite
deflect: deflect,deflected
deform: deformed
degradation: degradation
degrade: degrades
degraded: degraded
delay: delay
deletion: deletions
delicacy: delicacy
delight: delight
deliver: deliver,delivered
deliverance: deliverance
delude: deluded
demand: demand,demands
den: den
denial: denial
denounce: denounce,denounced
dense: dense
denunciation: denunciations
deny: denied,deny
depart: depart,departed
departure: departure
depend: depend,depends
dependence: dependence
dependent: dependent
depress: depressed
depression: depression
depths: depths
derivative: derivative
derive: derive,derived
descend: descend
descent: descent
desert: desert
desirable: desirable
desire: desire,desires
desirous: desirous
desolate: desolate
despairing: despairing
desperate: desperate
despise: despise,despised,despising
destitute: destitute
destroy: destroy,destroyed,destroying,destroys
destruction: destruction
destructive: destructive
detach: detach
determine: determine,determined
determinedly: determinedly
develop: develop
development: development
devil: devil,devils
devoid: devoid
devote: devote,devoting
devoted: devoted
devotion: devotion
devour: devour
devout: devout
devoutly: devoutly
dew: dew
di: dis
dictation: dictation
dictatorial: dictatorial
die: die,died,dying
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
dig: digged
diligence: diligence
diligently: diligently
dim: dim,dimmed
dimness: dimness
dinner: dinner
direct: direct,directed,directing,directs
direction: direction
director: director
dirt: dirt
disappointed: disappointed
disappointment: disappointment,disappointments
disaster: disaster,disasters
disastrous: disastrous
discern: discern,discerned,discerning
discernment: discernment
discharge: discharge,discharged
disciple: disciples
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discontented: discontented
discontinue: discontinue
discourage: discourage
discouragement: discouragement
discourteous: discourteous
discover: discover,discovered
discredit: discredit
discuss: discussed,discusses
disease: disease,diseases
diseased: diseased
dish: dish
disk: disk
dislike: dislike
dismay: dismayed
disobedient: disobedient
disparagement: disparagement
dispensation: dispensation
display: display,displayed,displaying
displease: displease,displeased,displeasing
displeasure: displeasure
disposition: disposition,dispositions
dispute: dispute,disputed,disputes,disputing
disputer: disputer
disquiet: disquieted
dissatisfied: dissatisfied
distinct: distinct
distinction: distinction
distinctly: distinctly
distinguish: distinguishes
distinguished: distinguished
distortion: distortions
distract: distract
distracted: distracted
distress: distress,distresses
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
distrust: distrust
divide: divide,divided,dividing
divine: divine
divinely: divinely
divinity: divinity
divorce: divorce
doctor: doctor,doctors
doctrinal: doctrinal
doctrine: doctrine,doctrines
doer: doer
doest: doest
doeth: doeth
doings: doings
doleful: doleful
doll: doll
dollar: dollars
domain: domain
dominion: dominion
donate: donate
donation: donation,donations
donor: donors
doom: doom
door: door,doors
doorway: doorway
dost: dost
doth: doth
double: double
doubt: doubt,doubted,doubting,doubts
doubtless: doubtless
dove: dove
download: downloading
downward: downward
draught: draught
draw: draw,drawn,draws,drew
dread: dread
dreadful: dreadful
dream: dreamed
dress: dress
drift: drift
drink: drink
drive: driven
droop: droop,drooped
drop: dropped
dross: dross
drown: drown
drunkard: drunkard
drunkenness: drunkenness
dry: dry
dryness: dryness
dull: dull,dulled
dullness: dullness
dumb: dumb
dungeon: dungeon
dusky: dusky
dust: dust
dutiful: dutiful
duty: duties,duty
dwell: dwell,dwelling,dwells
dwelling: dwelling
dynamite: dynamite
eager: eager
eagerly: eagerly
ear: ear,ears
earn: earning
earnest: earnest
earnestly: earnestly
earnestness: earnestness
earth: earth
earthly: earthly
earthquake: earthquake
ease: ease
easily: easily
easy: easy
eat: eat,eaten
ebony: ebony
echo: echo
ecstasy: ecstasies,ecstasy
ecstatic: ecstatic
eden: eden
edged: edged
edify: edifying
edifying: edifying
edit: edited
edition: edition,editions
education: education
educational: educational
edwards: edwards
effective: effective
effectively: effectively
effectually: effectually
efficacy: efficacy
effort: effort,efforts
egypt: egypt
egyptian: egyptian,egyptians
elbow: elbow,elbowing
elder: elder
elect: elect
electric: electric
electricity: electricity
electronic: electronic
electronically: electronically
element: element
elevator: elevator
elijah: elijah
eloquent: eloquent
email: email
embolden: emboldened
embrace: embrace,embraced,embracing
eminent: eminent
emotion: emotion
emphasis: emphasis
emphasise: emphasise
empire: empire
employee: employee,employees
employment: employment,employments
empower: empowered,empowering
enable: enable,enabled,enables,enabling
encode: encoding
encompass: encompassed
encourage: encourage,encouraged,encourages,encouraging
encouragement: encouragement
encumbrance: encumbrance
endanger: endangered
endless: endless
endue: enduing
endurance: endurance
endure: endure,endured,enduring
enemy: enemies,enemy
energy: energy
enforce: enforced
engagement: engagement
engender: engenders
english: english
enjoy: enjoy,enjoyed,enjoying
enkindle: enkindles
enlarge: enlarged
enlighten: enlighten,enlightened,enlightens
enrage: enraging
enraged: enraged
enrol: enrolled
enslave: enslaved,enslaves
enslavement: enslavement
ensure: ensuring
enter: enter,entered,enters
enterprise: enterprise,enterprises
entertaining: entertaining
enthrone: enthrone,enthroned
entire: entire
entitle: entitled
entity: entity
entrance: entrance
entreat: entreated,entreats
entreaty: entreaties
entrust: entrusted
enumerate: enumerating
envy: envy
ephesian: ephesian
ephesians: ephesians
epistle: epistle,epistles
epochal: epochal
equal: equal
equally: equally
equip: equip,equipped
equipment: equipment
err: err
erroneously: erroneously
error: error,errors
escape: escape,escaped
espouse: espoused
essay: essay
essential: essential,essentials
establish: establish,established
estate: estate
esteem: esteem,esteemed,esteeming,esteems
estrange: estrange
estrangement: estrangement
eternal: eternal
eternally: eternally
eternity: eternity
evangelisation: evangelisation
evangelist: evangelist,evangelists
evening: evening,evenings
eventful: eventful
everlasting: everlasting
everyday: everyday
evidence: evidence,evidences
evidently: evidently
evil: evil
exacting: exacting
exalt: exalted
examination: examination
examine: examine
exceed: exceeded,exceeding,exceeds
exceedingly: exceedingly
excellent: excellent
excess: excesses
exchange: exchanged
excitement: excitement
exclaim: exclaim
exclusion: exclusion
exclusive: exclusive
exclusively: exclusively
exclusiveness: exclusiveness
excuse: excuse,excuses
execute: execute
execution: execution
executive: executive
exemplify: exemplified
exempt: exempt
exercise: exercise,exercised
exhaustless: exhaustless
exhort: exhorted,exhorts
exhortation: exhortation
exist: exist,existing,exists
existence: existence
exodus: exodus
expand: expanding
expect: expect,expected
expectant: expectant
expectation: expectation
expedient: expedient
expel: expelled
expend: expend
expense: expense,expenses
experience: experience,experiences
experienced: experienced
experimental: experimental
explain: explain,explained
explanation: explanation,explanations
explosive: explosive
export: exporting
expound: expound
expounder: expounders
express: express,expressed,expresses
expression: expression
extent: extent
external: external
extinguish: extinguished
extract: extracts
extreme: extreme
exultingly: exultingly
eye: eye,eyes
ezekiel: ezekiel
fabled: fabled
facility: facility
factor: factors
faculty: faculties,faculty
fade: fading
fail: fail,failing,fails
failure: failure,failures
fain: fain
faint: faint,faintest,fainting
fair: fair
fairbanks: fairbanks
faith: faith
faithful: faithful
faithfully: faithfully
faithfulness: faithfulness
fall: fall,fallen,falling,falls,fell
false: false
falsehood: falsehoods
fame: fame
familiar: familiar
family: families,family
fanaticism: fanaticism
fancy: fancies,fancy
farmer: farmer,farmers
fashion: fashion,fashioned,fashioning
fashionable: fashionable
fast: fast,fasted
fasting: fasting
fat: fat
fatal: fatal
fate: fate
father: father,fathers
fatten: fattened
fault: fault
faulty: faulty
favour: favour,favouring
fawn: fawn,fawning
fear: fear,feared,fearing,fears
fearful: fearful
fearfulness: fearfulness
fearless: fearless
fearlessly: fearlessly
feast: feast
feather: feather
federal: federal
fee: fee,fees
feeble: feeble,feeblest
feebly: feebly
feed: fed,feed,feeding
feel: feel,feels
feeling: feeling,feelings
feign: feigned
fellow: fellow,fellows
fellowman: fellowmen
fellowship: fellowship
fence: fence,fences
fervently: fervently
fervour: fervour
fever: fever
field: field,fields
fierce: fierce,fiercest
fiery: fiery
fifteenth: fifteenth
fiftieth: fiftieth
fight: fight,fighting,fights,fought
fighter: fighter
fighting: fighting
figure: figures
file: file,files
filial: filial
filling: filling
filthiness: filthiness
filthy: filthy
final: final
finally: finally
financial: financial
finding: finding,findings
finish: finish,finished
fir: fir
firm: firm,firmest
firmly: firmly
fish: fish,fishes
fishing: fishing
fist: fist
fit: fit,fits,fitted,fitting
fitly: fitly
fitness: fitness
flame: flame,flames,flaming
flash: flash,flashes
flatly: flatly
flattering: flattering
flattery: flattery
flee: fled,flee
fleece: fleece
fleeting: fleeting
flesh: flesh
fleshly: fleshly
fletcher: fletcher
flight: flight
flinty: flinty
float: float
flock: flocks
flood: flood,flooded,floods
floor: floor
flourish: flourish
flourishing: flourishing
flow: flowing,flows
fluid: fluid
fly: flew,fly
foal: foal
foam: foam
foe: foe,foes
fog: fog
folk: folks
follow: follow
follower: followers
folly: folly
food: food
foolish: foolish
foolishness: foolishness
foot: feet
footstep: footsteps
forbearance: forbearance
forbearing: forbearing
forbid: forbid,forbidden,forbidding
force: force,forced,forces
forefront: forefront
foreign: foreign
foreigner: foreigners
forerunner: forerunner
foresee: foresee
forest: forest
foretell: foretold
foreword: foreword
forget: forget,forgets,forgetting,forgot,forgotten
forgetful: forgetful
forgive: forgive,forgiven,forgiving
forgiveness: forgiveness
forgo: forgo
form: form,formed,forms
formalism: formalism
format: format,formats
forsake: forsake,forsaken,forsook
fortify: fortified
fortitude: fortitude
foul: foul
foundation: foundation
fount: fount
fountain: fountain,fountains
fourteen: fourteen
fourteenth: fourteenth
fourth: fourth
fox: fox,foxes
frail: frail
frank: frank
franks: franks
fraught: fraught
freedom: freedom
freely: freely
frequent: frequent
frequently: frequently
fresh: fresh
friction: friction
friend: friend,friends
friendship: friendship
frivolity: frivolity
frown: frown
fruit: fruit
fruitful: fruitful
fulfil: fulfil,fulfilled,fulfilling
fullness: fullness
fundamental: fundamental
funeral: funeral
furnace: furnace
furnish: furnish,furnishes
furniture: furniture
furrow: furrowed
fury: fury
future: future
gain: gain
gal: gal
gall: gall
garden: garden
garment: garment,garments
garrison: garrison
gate: gate
gather: gather,gathered
generation: generation,generations
generosity: generosity
generous: generous
generously: generously
genesis: genesis
gentile: gentile
gentiles: gentiles
gentle: gentle
gentleman: gentleman
gentleness: gentleness
gently: gently
genuflection: genuflections
genuine: genuine
german: german
gethsemane: gethsemane
ghost: ghost
giant: giant,giants
gideon: gideon
gift: gift,gifts
girdle: girdle,girdled
glad: glad
gladden: gladdening,gladdens
gladdest: gladdest
gladly: gladly
gladness: gladness
glance: glances,glancing
glass: glass
glimpse: glimpse,glimpses
glitter: glittering
globe: globe
gloom: gloom
glorify: glorified,glorify
glorious: glorious
gloriously: gloriously
glory: glories,glory
glow: glow,glows
goal: goal,goals
god: god
godhead: godhead
godless: godless
godly: godly
gold: gold
goliath: goliath
goodness: goodness
goodwill: goodwill
goose: goose
gospel: gospel
gospels: gospels
gossamer: gossamer
gossip: gossip
govern: govern,governing
government: government
governor: governor
grace: grace,graces
graceful: graceful
gracious: gracious
gradually: gradually
grain: grain
granary: granaries
grant: grant,granted
grasp: grasp,grasped
grass: grass
gratefully: gratefully
gratification: gratification
gratify: gratify
grave: grave
gravestone: gravestone
greatly: greatly
grecian: grecian
greed: greed
greek: greek
gregory: gregory
grey: grey
grief: grief
grieve: grieve,grieved,grieving
grieving: grieving
grievous: grievous
grim: grim
groove: groove,grooves
gross: gross
ground: ground
grow: grew,grow
grown: grown
growth: growth
grudge: grudges
grumble: grumbling
guarantee: guaranteeing
guard: guard,guarded
guardian: guardians
guidance: guidance
guide: guide,guided,guides
guile: guile
guilt: guilt
guilty: guilty
guise: guise
gun: gun
gush: gush,gushing
habit: habit
hair: hairs
hall: hall
hallelujah: hallelujah
hand: hand,handed,hands
hang: hang,hangs,hung
happiness: happiness
happy: happiest,happy
harass: harassed
harbour: harbour
hard: hard,hardest
harden: harden,hardened
hardness: hardness
hardship: hardship
harmless: harmless
harmonise: harmonise,harmonised
harmony: harmonies,harmony
harp: harp
harsh: harsh
hart: hart
harvest: harvest,harvests
hast: hast
haste: haste
hastily: hastily
hate: hate,hated
hated: hated
hateful: hateful
hath: hath
haunch: haunches
haunt: haunted
havoc: havoc
head: head,heads
headlong: headlong
headquarters: headquarters
heal: heal,healed,healing
healing: healing
health: health
healthfully: healthfully
healthy: healthy
heap: heaped
hear: hear,heard,hears
hearer: hearers
hearing: hearing
heart: heart,hearts
hearted: hearted
heartedness: heartedness
hearty: hearty
heat: heat,heated
heathen: heathen
heaven: heaven,heavens
heavenly: heavenly
heavens: heavens
heavy: heavier,heavy
hebrews: hebrews
hedge: hedge,hedged
heed: heed,heeded,heeding,heeds
heel: heels
height: heights
helper: helper
helpful: helpful
helpfully: helpfully
helpless: helpless
henceforth: henceforth
henry: henry
hercules: hercules
herd: herds
heretofore: heretofore
herewith: herewith
heritage: heritage
hero: hero,heroes
heroic: heroic
hesitate: hesitating
hidden: hidden
hide: hidden,hide,hides
hideousness: hideousness
highly: highly
highway: highway,highways
highwayman: highwayman
hilariously: hilariously
hill: hill,hills
hinder: hinder,hindered,hinders
hindrance: hindrance
historical: historical
history: history
hoar: hoar
hoary: hoary
hold: held,hold,holds
holder: holder
hole: hole
holiness: holiness
holy: holies,holy
homelessness: homelessness
honest: honest
honesty: honesty
honey: honey
honour: honour,honoured
hope: hope,hoped,hopes
hopeful: hopeful
horace: horace
horrible: horrible
horror: horrors
horse: horse
hospital: hospitals
host: host,hosts
hosts: hosts
hot: hot,hotter
hour: hour,hours
house: house,houses
household: household
hudson: hudson
huge: huge
hugh: hugh
human: human
humanise: humanised
humble: humble,humbled,humbling
humbleness: humbleness
humbly: humbly
humility: humility
hunger: hunger,hungered
hungry: hungry
hunt: hunting
hurl: hurled,hurling
hurricane: hurricane
hurry: hurry
hurt: hurt
hurtful: hurtful
husband: husband
huss: huss
hymn: hymn,hymns
hypnotise: hypnotising
hypothesis: hypothesis
idea: idea,ideas
ideal: ideal
identification: identification
identify: identify
idle: idle
idleness: idleness
idol: idols
idolise: idolised
ignominiously: ignominiously
ignorance: ignorance
ignorant: ignorant
iii: iii
illness: illness
illuminate: illuminate,illuminated,illuminates
illumination: illumination
illuminations: illuminations
illustrate: illustrated,illustrates
illustration: illustrations
imagination: imagination
imagine: imagined
immeasurable: immeasurable
immeasurably: immeasurably
immense: immense
immortalise: immortalised
impaired: impaired
impart: imparted
impatience: impatience
impenetrable: impenetrable
impenitence: impenitence
imperative: imperative
imperceptibly: imperceptibly
imperfect: imperfect
imperil: imperils
impersonal: impersonal
impetuous: impetuous
imply: implied,imply
impolite: impolite
impose: imposed
impossible: impossible
impostor: impostor
impracticable: impracticable
impress: impress
impression: impression
imprison: imprison,imprisoned
imprisonment: imprisonment,imprisonments
impure: impure
inaccurate: inaccurate
inattention: inattention
inaugural: inaugural
inbreathe: inbreathe
inbred: inbred
incapable: incapable
incense: incensed
incidental: incidental
inclined: inclined
include: include,included,includes,including
including: including
incoming: incoming
incomplete: incomplete
