abandon: abandon,abandoned
courtroom: courtroom,courtrooms
cover: cover,covered,covering,covers
covered: covered
covering: covering
coward: coward
cower: cowered
crack: crack
crash: crashing
crate: crate
crawl: crawl,crawled
crayon: crayon,crayons
crease: creases
creased: creased
create: create,created,creating
creation: creation
creature: creatures
credit: credit
creep: creep,crept
crime: crime
criminal: criminal
critical: critical
criticise: criticise,criticised
crony: cronies
crooked: crooked
cross: cross,crossed,crosses
crossly: crossly
crouch: crouching
crowd: crowd,crowded,crowds
crucial: crucial
crude: crude
crumb: crumb
crush: crush,crushed,crushing
cultural: cultural
cum: cum
cup: cup
cupboard: cupboard,cupboards
curiosity: curiosity
curious: curious
curiously: curiously
current: current
curse: curse,cursed,curses,cursing
curt: curt
curtain: curtains
curtly: curtly
curtsey: curtsey
curved: curved
cushion: cushion
custody: custody
cut: cut
damage: damage,damaging
damaged: damaged
damages: damages
damned: damned
damp: damp
dance: dance
danger: danger,dangers
dangerous: dangerous
dangle: dangled
daresay: daresay
dark: dark,darker
darkness: darkness
dashed: dashed
datum: data
daughter: daughter
david: david
day: day,days
daydreaming: daydreaming
daytime: daytime
dazzle: dazzled
deal: deal,dealing,dealt
death: death
decay: decay
deceit: deceit
deceive: deceive,deceived,deceiving
decent: decent
decide: decide,decided,decides,deciding
decision: decision,decisions
decisive: decisive
decisively: decisively
declare: declared
decorate: decorated
decoration: decoration
deductible: deductible
deem: deemed,deems
deep: deep,deeper,deepest
deeply: deeply
defect: defect,defects
defective: defective
defence: defence
defend: defend,defended,defending
defendant: defendant,defendants
deference: deference
deferentially: deferentially
deferment: deferment
defiance: defiance
deficiency: deficiency
definable: definable
definite: definite
deflect: deflect
degeneracy: degeneracy
degenerate: degenerate
degree: degrees
delay: delay,delayed,delaying,delays
delegate: delegate
deletion: deletions
deliberate: deliberate
deliberately: deliberately
delighted: delighted
delivery: delivery
delude: deluded
demand: demand
demeanour: demeanour
demented: demented
demur: demurred
densely: densely
deny: denied,deny,denying
department: department,departments
depend: depend,depends
dependent: dependent
depict: depict,depicted,depicting
depiction: depiction
depraved: depraved
depravity: depravity
depressing: depressing
depression: depression
deprive: depriving
depths: depths
deputy: deputy
derivative: derivative
derive: derive,derived
description: description
deserve: deserve
desire: desire
desk: desk,desks
despair: despair
desperately: desperately
despise: despised
destination: destination
destroy: destroy,destroyed,destroying
detach: detach
detailed: detailed
detain: detained
determine: determine,determined,determining
develop: develop,developed,developing
development: development
device: device
devoid: devoid
devote: devote
devotion: devotion
dialect: dialect
dialogue: dialogue
dictionary: dictionary
die: died,dies
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
dignified: dignified
dignity: dignity
dim: dim
diminish: diminish
dining: dining
dinner: dinner
dip: dipping
direct: direct,directed,directing
direction: direction,directions
directive: directives
director: director
dirt: dirt
dirty: dirty
disadvantage: disadvantage,disadvantages
disagree: disagree
disappear: disappear,disappeared,disappears
disappoint: disappointed
disappointed: disappointed
disappointment: disappointment
disapprovingly: disapprovingly
disarray: disarray
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discomfort: discomfort
disconcerted: disconcerted
discontinue: discontinue
discourteous: discourteous
discover: discover,discovered
discovery: discovery
discuss: discuss,discussed
discussion: discussion,discussions
disengage: disengage
disentangle: disentangle
disfavoured: disfavoured
disgrace: disgrace
disgraced: disgraced
disgracefully: disgracefully
disgust: disgusted
disgusting: disgusting
dish: dish,dishes
disheartening: disheartening
dishevelled: dishevelled
dishonest: dishonest
dishonourable: dishonourable
disinterested: disinterested
disk: disk
dislike: dislike
dismal: dismal
dismiss: dismissed,dismissing
dismissal: dismissal
disorder: disorder
dispatch: dispatch
dispensable: dispensable
dispirited: dispirited
display: display,displayed,displaying
disposal: disposal
disposed: disposed
disposition: disposition
disprove: disprove,disproved
dispute: dispute
disrupt: disrupted
disruption: disruptions
dissatisfied: dissatisfied
dissuade: dissuade,dissuaded
distance: distance
distinction: distinction
distinctly: distinctly
distinguish: distinguish,distinguished
distract: distract,distracted
distracted: distracted
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
disturb: disturb,disturbed,disturbing
disturbance: disturbance
disturbing: disturbing
disturbingly: disturbingly
diverse: diverse
divert: diverted
divide: divided
division: division
dizzy: dizzy
doctor: doctor
document: document,documents
dog: dog
domain: domain
dominate: dominated
donate: donate
donation: donation,donations
donor: donors
door: door,doors
doorkeeper: doorkeeper
doorman: doormen
doorstep: doorstep
doorway: doorway,doorways
double: double
doubt: doubt,doubts
download: downloading
downright: downright
downstairs: downstairs
drag: dragged,dragging
draught: draught,draughts
draw: draw,drawing,drawn,draws,drew
drawer: drawer,drawers
dreadful: dreadful
dream: dream,dreaming
dress: dress,dressed,dressing
dressed: dressed
dressing: dressing
drink: drank,drink,drinking
drinking: drinking
drip: dripped
drive: driven,driving,drove
driver: driver
droop: drooped
drop: drop,dropped
drown: drowning
drum: drummed
drunken: drunken
dry: dry
dull: dull,dulled
dumb: dumb
dust: dust
duty: duty
ear: ear
earn: earn
earnestly: earnestly
ease: ease,eased
easel: easel
easily: easily
easy: easier,easiest,easy
eat: ate,eat,eaten,eating,eats
ecstatic: ecstatic
edge: edge,edged,edges
edition: edition,editions
educational: educational
effective: effective
efficient: efficient
effort: effort,efforts
egg: eggs
eighteen: eighteen
elbow: elbow,elbows
elderly: elderly
elect: elect
electric: electric
electronic: electronic
electronically: electronically
elegance: elegance
elegant: elegant
elegantly: elegantly
elicit: elicit
elsa: elsa
email: email
embarrass: embarrassed
embarrassed: embarrassed
embarrassing: embarrassing
embarrassment: embarrassment
embittered: embittered
embrace: embrace,embracing
employ: employ,employs
employee: employee,employees
employment: employment
enchant: enchanted
encode: encoding
encompass: encompass
encounter: encountered
encourage: encourage,encouraged
encouragement: encouragement
encouraging: encouraging
endless: endless
endure: endure
enemy: enemy
energy: energy
engage: engaged
english: english
engross: engrossed
engrossed: engrossed
engrossing: engrossing
enjoy: enjoy,enjoyed,enjoying
enormous: enormous
enquiry: enquiry
enrage: enraged
ensure: ensuring
entail: entails
enter: enter,entered,entering
entertain: entertain,entertains
enthusiasm: enthusiasm
enthusiastically: enthusiastically
entire: entire
entity: entity
entrance: entrance,entrances
entrap: entrap
entry: entry
envy: envied
equal: equal
equally: equally
equip: equipped
equipment: equipment
erase: erased
erect: erect
error: error,errors
escape: escape,escaped
escort: escorted
essence: essence
essential: essential
establish: establish,established
esteem: esteem
estimate: estimated
eternal: eternal
evade: evade
evasively: evasively
evening: evening,evenings
evenness: evenness
event: event,events
eventually: eventually
evidence: evidence
exact: exact
exactitude: exactitude
exaggerate: exaggerate,exaggerated,exaggerating
exaggerated: exaggerated
exaggeration: exaggeration
examination: examination,examinations
examine: examine,examined,examining
exceedingly: exceedingly
exception: exception,exceptions
exceptional: exceptional
exceptionally: exceptionally
excessive: excessive
exchange: exchange,exchanged,exchanging
excited: excited
excitement: excitement
exclaim: exclaimed
exclamation: exclamations
exclude: excluded
exclusion: exclusion
exclusive: exclusive
excuse: excuse,excused,excuses,excusing
executioner: executioners
exempt: exempt
exercise: exercise
exertion: exertion,exertions
exhaust: exhausted
exhausted: exhausted
exhort: exhorting
exist: exists
existence: existence
exit: exit
expect: expect,expected,expecting,expects
expectation: expectation
expend: expend,expended
expense: expense,expenses
experience: experience,experienced,experiences
experienced: experienced
expertise: expertise
explain: explain,explained,explaining,explains
explanation: explanation,explanations
explicit: explicit
exploit: exploit,exploited,exploiting
export: exporting
expose: expose,exposed
express: express,expressed
expression: expression,expressions
extend: extended,extending
extent: extent
external: external
extinguish: extinguished
extract: extract,extracted
extraordinarily: extraordinarily
extraordinary: extraordinary
extremely: extremely
eye: eye,eyes
eyebrow: eyebrows
eyesight: eyesight
fabric: fabric
faced: faced
facility: facility
faction: faction,factions
factor: factor
fade: faded
fail: fail,failed
faith: faith
faithful: faithful
fall: fall,fallen,falling,falls,fell
false: false
familiar: familiar
family: families,family
farewell: farewell
farth: farthest
fashioned: fashioned
fast: fast,faster
fasten: fasten,fastened
fastidiously: fastidiously
fat: fat
fate: fate
father: father
fault: fault
favour: favour
favourable: favourable
favourably: favourably
favourite: favourite
fear: fear,feared,fears
fearful: fearful
feature: features
febrile: febrile
federal: federal
fee: fee,fees
feed: feed
feel: feel,feeling,feels
feeling: feeling,feelings
fellow: fellow
fend: fending
fetch: fetch,fetched
field: fields
fight: fight
figure: figure,figures
file: file,files
final: final
finally: finally
financial: financial
finding: finding
fine: fine
finger: finger,fingers
finish: finish,finished
finished: finished
firm: firm,firmer
firmly: firmly
firstly: firstly
fist: fist,fists
fit: fit,fits,fitted
fitness: fitness
fitting: fitting,fittings
fixture: fixtures
flagstone: flagstones
flake: flakes
flame: flame
flap: flap,flapped,flapping
flat: flat,flats
flattery: flattery
flea: fleas
flee: fled
fleshy: fleshy
flick: flicked
flicker: flicker,flickered,flickering
flight: flight
fling: flung
flog: flog,flogged,flogging
floor: floor
flow: flowed,flowing
flower: flower,flowers
fly: flies,flying
flypaper: flypaper
foe: foe
fog: fog
foible: foible
fold: folded,folds
foliage: foliage
follow: follow
fond: fond
foodstuff: foodstuffs
fool: fool,fooling
foot: feet,foot
footed: footed
footstep: footsteps
forbid: forbid,forbidden,forbidding
force: force,forced,forces,forcing
forced: forced
forcefully: forcefully
forcibly: forcibly
forefinger: forefinger
forego: forewent
forehead: forehead
foreign: foreign
foresee: foreseen
foretaste: foretaste
forget: forget,forgets,forgetting,forgot,forgotten
forgetful: forgetful
forgetfulness: forgetfulness
forgivable: forgivable
forgive: forgive,forgiven,forgiving
forgiveness: forgiveness
forgo: forgo
form: form,formed,forming,forms
formal: formal
formality: formalities
formally: formally
format: format,formats
formulate: formulated,formulating
forthcoming: forthcoming
fortunately: fortunately
forwards: forwards
foul: foul
foundation: foundation
fours: fours
fourth: fourth
fragment: fragments
frame: frame
framework: frameworks
frankly: frankly
franz: franz
fraud: fraud
freak: freak
freedom: freedom
freely: freely
french: french
frequent: frequent
frequently: frequently
fresh: fresh,fresher
freshness: freshness
friend: friend,friends
friendliness: friendliness
friendly: friendlier,friendly
friendship: friendship
frighten: frighten,frightened
frightening: frightening
fro: fro
frock: frock
frosted: frosted
frown: frown
fuggy: fuggy
fulfil: fulfil,fulfilled,fulfilling
fun: fun
function: function,functions
functionary: functionaries
fur: fur
furious: furious
furniture: furniture
fuss: fuss
futility: futility
future: future
gain: gain,gaining
gallery: gallery
gangway: gangway
gap: gap,gaps
gas: gas
gate: gate
gateway: gateway
gather: gather,gathered,gathering
gathering: gathering
gaze: gaze
generalise: generalise
generation: generations
gentle: gentle
gentleman: gentleman,gentlemen
gently: gently
genuflect: genuflected
german: german
gesture: gesture,gestured,gestures,gesturing
ghost: ghost
gift: gift,gifts
gilded: gilded
girl: girl,girls
giver: giver
glad: glad
gladly: gladly
glance: glance,glanced,glances,glancing
glass: glass,glasses
glassful: glassful
glaze: glazed
glee: glee
glimmer: glimmer
glimpse: glimpse,glimpsed
glitter: glitter,glittered
gloomy: gloomy
glove: gloves
glower: glowered
goal: goals
goatee: goatee
god: god
goddess: goddess
gold: gold
golden: golden
goodbye: goodbye
gout: gout
govern: govern,governing
gown: gown
grab: grab,grabbed
grade: grades
gradually: gradually
grammar: grammar
gramophone: gramophone
grand: grand
grant: grant,granted
grasp: grasp,grasped
grass: grass
grate: grating
grateful: grateful
gratefully: gratefully
gratitude: gratitude
gravel: gravel
greatly: greatly
greedily: greedily
green: green
greet: greet,greeted,greeting
greeting: greeting
grete: grete
grey: grey
grin: grin,grinned
grip: grip,gripping
groan: groaning
grope: groped
gross: gross
grossly: grossly
ground: ground
grounds: grounds
grow: grew,grow,grown
grumble: grumbled,grumbles
guarantee: guarantee,guaranteed
guard: guard,guarding
guardian: guardian
guess: guess,guessed
guest: guest,guests
guidance: guidance
guide: guide,guided
guilt: guilt
guilty: guilty
gulp: gulp
gush: gush,gushed
habit: habit,habits
haggle: haggled
hair: hair
haired: haired
hairline: hairline
hall: hall
hallway: hallway
halt: halt
hammer: hammers
hand: hand,handed,hands
handbag: handbag
handcart: handcarts
handkerchief: handkerchief,handkerchiefs
handle: handle,handled
handrail: handrail
handshake: handshake
hang: hang,hanging,hung
hangman: hangman
hans: hans
happen: happen,happened,happening
happiness: happiness
happy: happy
harass: harassing
hard: hard,harder,hardest
harden: hardened
harm: harm,harmed
harmless: harmless
harsh: harsher
hart: hart
hat: hat,hats
hatch: hatch
haul: hauled
haunt: haunted
haze: haze
head: head,heads
headache: headache,headaches
health: health
heap: heaped
hear: hear,heard,hearing
hearing: hearing,hearings
heart: heart
hearted: hearted
hearty: hearty
heat: heat
heavily: heavily
heavy: heavier,heavy
heed: heed
heel: heels
hefty: hefty
height: height,heights
helpful: helpful
helpless: helpless
helplessness: helplessness
heroic: heroic
hesitantly: hesitantly
hesitate: hesitate,hesitated
hesitatingly: hesitatingly
hesitation: hesitation
hide: hidden,hide,hiding
hideous: hideous
hiding: hiding
hierarchy: hierarchies
highly: highly
hinder: hindered
hinge: hinges
hint: hint,hinted,hints
hip: hip,hips
hiss: hiss
history: history
hit: hit,hitting
hold: held,hold,holding
holder: holder
hole: hole
holiday: holiday
honest: honest
honesty: honesty
honeypot: honeypot
honour: honour
hook: hook,hooks
hooked: hooked
hope: hope,hoped,hopes,hoping
hopeless: hopeless
horrible: horrible
horse: horse
hot: hot
hour: hour,hours
house: house,houses
huddle: huddled
human: human
humaneness: humaneness
humble: humble,humbling
humbly: humbly
humiliate: humiliate,humiliated,humiliating
humiliating: humiliating
humiliation: humiliation
hunch: hunched
hunchback: hunchback
hunchbacked: hunchbacked
hungry: hungry
hunt: hunt
hurriedly: hurriedly
hurry: hurried,hurry,hurrying
hurt: hurt,hurting
husband: husband
idea: idea,ideas
identifiable: identifiable
identification: identification
identify: identify
identity: identity
ignorant: ignorant
ignore: ignore,ignoring
illness: illness
illuminate: illuminate,illuminated
illusion: illusion
illustration: illustration
imagine: imagine,imagined,imagining
imitate: imitated
immaculate: immaculate
immensely: immensely
immerse: immersed
immobile: immobile
impartial: impartial
impartiality: impartiality
impatience: impatience
impatient: impatient
impatiently: impatiently
impede: impeding
impediment: impediment,impediments
imperfection: imperfections
implore: imploring
imploringly: imploringly
imply: implied,imply
impolite: impolite
importantly: importantly
importunate: importunate
impose: impose,imposed
impossible: impossible
impress: impress
impressed: impressed
impression: impression
impressive: impressive
improper: improper
improve: improve,improved,improving
improvement: improvements
inaccessible: inaccessible
inaccurate: inaccurate
inadequate: inadequate
inappropriate: inappropriate
inattentive: inattentive
incalculable: incalculable
incapable: incapable
incessant: incessant
incident: incident,incidents
incidental: incidental
incidentally: incidentally
incline: inclined,inclining
inclined: inclined
include: include,included,includes,including
including: including
income: income
incomparably: incomparably
incompatible: incompatible
incomplete: incomplete
incomprehensible: incomprehensible
inconsistency: inconsistencies
inconvenient: inconvenient
incorrectly: incorrectly
increase: increased,increasing
indecent: indecent
indecisively: indecisively
indemnify: indemnify
indemnity: indemnity
independent: independent
independently: independently
indict: indicted
indictment: indictment
indifference: indifference
indifferent: indifferent
indirect: indirect
indirectly: indirectly
indisputable: indisputable
indistinct: indistinct
individual: individual,individuals
induce: induce,induced
industrious: industrious
industry: industry
inept: inept
inexplicable: inexplicable
inextinguishable: inextinguishable
infer: infer
inferior: inferior
inflated: inflated
influence: influence,influenced
influential: influential
inform: inform,informed
infrequent: infrequent
infringement: infringement
ing: ing
ingenuously: ingenuously
inherit: inherited
inhumane: inhumane
initial: initial
initiate: initiate
injunction: injunctions
injustice: injustice
ink: ink
inkling: inkling
innocence: innocence
innocent: innocent
inquisitively: inquisitively
inquisitiveness: inquisitiveness
insatiable: insatiable
insight: insight
insinuate: insinuate
insist: insist,insisted,insists
insistent: insistent
inspection: inspection
instance: instance
instant: instant
instantly: instantly
instruct: instructed
instruction: instructions
instrument: instrument
insult: insult,insulting,insults
insulting: insulting
intact: intact
intellectual: intellectual
intend: intend,intended,intending
intent: intent
intention: intention,intentions
intercede: intercede
intercom: intercom
interfere: interfere,interfered,interfering
interment: interment
intermingle: intermingle
internal: internal
international: international
interpret: interpret,interpreted
interpretation: interpretation
interrogation: interrogations
interrupt: interrupt,interrupted,interrupting
interruption: interruption
interval: intervals
intervention: intervention
interview: interview
interwoven: interwoven
intimate: intimate
intimately: intimately
intonation: intonation
introduce: introduce,introduced
introduction: introductions
intrude: intrude
intrusive: intrusive
invalid: invalid
invalidity: invalidity
invent: invented
investigate: investigate,investigating
investigation: investigations
invigorate: invigorating
invisible: invisible
invitation: invitation
invite: invite,invited,invites,inviting
involuntarily: involuntarily
involuntary: involuntary
involve: involve,involved,involves
involved: involved
irksome: irksome
iron: iron
irrefutable: irrefutable
irrelevant: irrelevant
irrevocable: irrevocable
irritated: irritated
irritating: irritating
irritation: irritation
irs: irs
island: island
isolate: isolated
issue: issue,issuing
italian: italian
italy: italy
item: item,items
jabbed: jabbed
jacket: jacket
january: january
jealous: jealous
jest: jest
job: job,jobs
joiner: joiner
joint: joint
