abandon: abandon,abandoned
abate: abated
abduction: abduction
abide: abide
ability: abilities,ability
abrupt: abrupt
abruptly: abruptly
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbed
abundance: abundance
abuse: abuse
accept: accept,accepted,accepting,accepts
acceptable: acceptable
access: access,accessed
accessible: accessible
accommodate: accommodated
accompany: accompanied,accompany
accost: accost
account: account
accumulate: accumulated,accumulating
accusation: accusation,accusations
accuse: accused
ach: ach
ache: aching
achieve: achieve,achieved
achievement: achievement
acknowledge: acknowledge,acknowledged,acknowledging
acknowledgement: acknowledgement
acquaintance: acquaintance,acquaintances
acquire: acquire,acquired
acquisitive: acquisitive
acquit: acquit,acquitted
acquittal: acquittal,acquittals
action: action,actions
active: active
activity: activities,activity
actor: actors
actual: actual
acumen: acumen
add: add,adding
addition: addition,additions
additional: additional
address: address,addresses
adjoining: adjoining
adjust: adjusting
admiration: admiration
admit: admit,admits,admitted
ado: ado
adopt: adopt
adroit: adroit
advance: advance
advantage: advantage,advantages
advantageous: advantageous
adverse: adverse
adversely: adversely
advice: advice
advise: advise,advised
adviser: adviser
advisor: advisor
advocate: advocates
afar: afar
affair: affair,affairs
affect: affect
affection: affection
affirmation: affirmation
afford: afford
afraid: afraid
afternoon: afternoon
age: age
aged: aged
agenda: agenda
agent: agent
aghast: aghast
agitated: agitated
agitation: agitation
agree: agree,agreed
agreement: agreement
aimlessly: aimlessly
air: air
aisle: aisle
alarm: alarm
alarming: alarming
albeit: albeit
albert: albert
album: album
alert: alert
alive: alive
allocate: allocated,allocates
allure: allure
alright: alright
altar: altar,altars
alter: alter,altered
alteration: alteration
alternate: alternate
altogether: altogether
aluminium: aluminium
amazed: amazed
amazement: amazement
ambush: ambush
amend: amends
amiss: amiss
amuse: amused
anaemic: anaemic
ancient: ancient
angel: angels
anger: anger
angle: angle
angry: angry
anguish: anguish
angular: angular
animal: animal
animatedly: animatedly
anna: anna
annoyed: annoyed
answer: answer,answered,answering,answers
anticipate: anticipate
anticipation: anticipation
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apathetic: apathetic
apologetic: apologetic
apologise: apologise,apologised,apologising
apology: apology
apparent: apparent
appeal: appeals
appearance: appearance,appearances
applaud: applaud,applauded
applause: applause
apple: apple
applicable: applicable
applicant: applicant
application: applications
apply: applied,applies,apply
appointment: appointment
apprentice: apprentice
approach: approach,approached,approaches,approaching
apron: apron,aprons
archive: archive
argue: argue
argument: argument
arithmetic: arithmetic
arm: arm,arms
armchair: armchair,armchairs
armour: armour
armpit: armpit
armrest: armrest,armrests
army: army
arouse: arouse
arrange: arrange
arrangement: arrangements
array: array
arrest: arrest,arrested,arresting
arrival: arrival
arrive: arrive,arrived
arrogance: arrogance
arrogant: arrogant
art: art
artificially: artificially
artistic: artistic
artistically: artistically
ascertain: ascertain
ascii: ascii
ashamed: ashamed
asleep: asleep
aspect: aspect
assemble: assemble,assembled
assembly: assembly
assert: asserting
assertion: assertion,assertions
assessment: assessment
assist: assisted
assistance: assistance
assistant: assistant,assistants
assume: assumed,assuming
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounded: astounded
astute: astute
atmosphere: atmosphere
attach: attach,attached,attaches
attack: attack,attacked,attacks
attain: attain,attained
attempt: attempt,attempted,attempting,attempts
attend: attend
attendant: attendant
attention: attention
attentive: attentive
attentively: attentively
attic: attic
attorney: attorney
attract: attract,attracted
attractive: attractive
audience: audience
augment: augment,augmented
aunt: aunt
author: author
authority: authorities,authority
automatically: automatically
autumn: autumn
average: average
avoid: avoid,avoided,avoiding
awake: awake
aware: aware
awareness: awareness
awful: awful
awkward: awkward
babble: babble
baby: babies
background: background
backrest: backrest
bad: bad,worse,worst
badge: badge,badges
badly: badly
balance: balanced,balancing
bald: bald
ball: ball,balled
balustrade: balustrade
ban: ban
bank: bank
banknote: banknotes
bar: bar,bars
bare: bare
barely: barely
bark: bark
barrack: barrack
barrister: barrister
base: base,based
basic: basic
basically: basically
basis: basis
bastard: bastard
bath: bath
battered: battered
beam: beam
bear: bear,bearing,bore
beard: beard,beards
bearer: bearer
bearing: bearing,bearings
beat: beat,beaten,beating
beating: beating
beautiful: beautiful
beckon: beckon,beckoned,beckons
bed: bed,beds
bedclothes: bedclothes
bedding: bedding
bedpost: bedpost
bedroom: bedroom
bedside: bedside
bedspread: bedspread
beg: beg,begged,begging
beggar: beggar,beggars
behalf: behalf
behave: behave,behaved,behaves,behaving
behaviour: behaviour
belief: belief,beliefs
bell: bell
belly: belly
belong: belong,belonged,belonging,belongs
beloved: beloved
belt: belt
bench: bench,benches
bend: bend,bends,bent
beneath: beneath
benefit: benefit
bent: bent
berthold: berthold
bet: bet
betray: betray,betrayed
bicycle: bicycle
binary: binary
bind: binding,bound
birth: birth
birthday: birthday
bit: bit
bite: bit,bite,biting
bitter: bitter
black: black
blade: blades
blame: blame
bland: bland
blanket: blanket
blankly: blankly
blatantly: blatantly
blindfold: blindfold
blink: blink,blinked
block: block,blocks
bloke: bloke
blonde: blonde
blood: blood
bloody: bloody
bloom: bloom
blot: blotted
blouse: blouse
blow: blew,blow,blown,blows
blubber: blubbered
blue: blue
board: board
boat: boat
bodily: bodily
body: bodies,body
bold: bold
bony: bony
boo: boo
booing: booing
book: book,books
bookshelf: bookshelves
boring: boring
borrow: borrowed
bother: bother,bothered
bottle: bottle,bottles
boundary: boundary
bow: bow,bowed,bows
box: box
boy: boy
brace: braces
branch: branch
brat: brats
bravo: bravo
brazenly: brazenly
breach: breach
bread: bread
breadth: breadth
break: break,breaking,broke,broken
breakfast: breakfast
breast: breast
breath: breath
breathe: breathe,breathed,breathing
bribe: bribe,bribed,bribes
bride: bride
bridge: bridge,bridges
briefcase: briefcase
bright: brighter
brighten: brightened
brightness: brightness
bring: bring,bringing,brings,brought
briskly: briskly
broad: broad
brow: brow,brows
brown: brown
brush: brushed
bucket: bucket
buckle: buckles
build: built
building: building
bulb: bulb
bulge: bulging
bunch: bunch,bunched,bunching
bundle: bundle
burden: burden
burn: burned,burning,burns
bury: buried
bush: bushes
bushy: bushy
business: business
businessman: businessman,businessmen
bustle: bustle
busy: busy
butcher: butcher
butter: buttered
button: button,buttoned,buttons
cab: cab
calculate: calculate,calculated
calculation: calculations
calm: calm,calmed,calmer
calmly: calmly
calmness: calmness
canal: canal
candle: candle,candles
cane: cane
canvas: canvas
capable: capable
captain: captain
captivate: captivated
car: car
card: card,cards
care: care
career: career,careers
careful: careful
carefully: carefully
carelessly: carelessly
carer: carer
caricature: caricature
carpet: carpet
carry: carried,carry,carrying
cart: cart
carve: carved
cassock: cassock
cast: casting
casually: casually
catch: catch,catching,caught
cathedral: cathedral
caution: caution
cautious: cautious
cautiously: cautiously
cease: cease
ceiling: ceiling
celebrate: celebrating
central: central
centre: centre
cereal: cereals
certainty: certainty
certificate: certificate
chain: chains
chair: chair,chairs
chance: chance
change: change,changed,changing
chaos: chaos
chapel: chapel
chaplain: chaplain
chapter: chapter
character: character
characterless: characterless
charge: charge,charges
charitable: charitable
charity: charities,charity
charming: charming
chase: chased,chases,chasing
chaser: chasers
chat: chat,chatted,chatting
chatter: chattering
cheap: cheap
cheaply: cheaply
cheat: cheat,cheated,cheating,cheats
check: check,checked,checking,checks
cheek: cheek,cheeks
cheerfully: cheerfully
chest: chest
chief: chief
child: child,children
childish: childish
childishness: childishness
chill: chill
chilly: chilly
chimney: chimney
chin: chin,chins
chit: chit
chocolate: chocolate,chocolates
choice: choice
choir: choir
choke: choking
choose: choose,chose,chosen
christ: christ
christian: christian
chronic: chronic
church: church
cigar: cigar
circle: circle,circles,circling
circumstance: circumstances
cite: cite
city: city
civil: civil
civilian: civilian
claim: claim
clamber: clambered
clap: clap,clapped
clasped: clasped
class: classes
claw: claw,clawing,claws
clean: clean,cleaned,cleaning
cleanliness: cleanliness
clearing: clearing
clench: clenched
clerk: clerk
clever: clever
client: client,clients
climb: climb,climbed,climbs
clock: clock
close: close,closed,closer,closing
closed: closed
closely: closely
cloth: cloth
clothes: clothes
clothing: clothing
clumsy: clumsy
coach: coach
coarse: coarse
coat: coat,coats
code: codes
coffee: coffee
coincidence: coincidence
cold: cold
collapse: collapse
collar: collar,collars
colleague: colleagues
collect: collect,collected
collection: collection
coloration: coloration
colour: colours
coloured: coloured
column: column
comb: combed
combat: combat
combination: combination
comfort: comfort
comfortable: comfortable
comfortably: comfortably
command: command,commands
commendable: commendable
comment: comment,commenting,comments
commentator: commentators
commercial: commercial
commit: committed
committed: committed
committee: committee
common: common
communicate: communicating
companion: companions
company: companies,company
comparatively: comparatively
compare: compared,compares,comparing
compassionate: compassionate
competent: competent
compilation: compilation
compile: compiled
complacency: complacency
complain: complain,complained
complaint: complaint,complaints
complete: complete,completed
completely: completely
completeness: completeness
complexity: complexity
compliance: compliance
complicated: complicated
compliment: compliment,compliments
comply: comply,complying
compose: composing
compress: compressed
compunction: compunction
comradeship: comradeship
conceal: conceal,concealed
concede: concede,conceded
conceited: conceited
conceivable: conceivable
concentrate: concentrate
concentrated: concentrated
concept: concept
concern: concern,concerned,concerns
concerned: concerned
conclude: concluded
conclusion: conclusion,conclusions
conclusive: conclusive
condescension: condescension
condition: condition,conditions
conduct: conduct,conducted,conducting
confess: confess,confessing
confession: confession
confidence: confidence
confident: confident
confirm: confirm,confirmed,confirms
confirmation: confirmation
confuse: confuse,confused
confused: confused
confusion: confusion
congregation: congregation
connect: connected,connecting
connection: connection,connections
conscientious: conscientious
conscious: conscious
consciousness: consciousness
consequence: consequences
consequential: consequential
considerable: considerable
considerate: considerate
consideration: consideration,considerations
consist: consist,consisted,consists
console: console,consoled
conspicuous: conspicuous
conspicuously: conspicuously
constant: constant
constitute: constitute
constrain: constrained
construction: constructions
consultation: consultation
contact: contact,contacted,contacting,contacts
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
content: content
contented: contented
continually: continually
continue: continue,continued,continuing
continuous: continuous
continuously: continuously
contract: contract
contradict: contradict,contradicted,contradicting
contradiction: contradiction,contradictions
contradictory: contradictory
contrary: contrary
contrast: contrast
contribute: contributed
contribution: contributions
contrived: contrived
control: control
convenience: convenience
convenient: convenient
conversation: conversation,conversations
convert: convert
convey: conveyed
convict: convicted
conviction: conviction
convince: convince,convinced
cook: cook
cooking: cooking
cool: cool
cope: cope
copper: coppers
copying: copying
copyright: copyright
corner: corner,corners
corporation: corporation
correct: correct,corrected
correctly: correctly
corridor: corridor,corridors
corrupt: corrupt
corruptible: corruptible
cost: cost,costs
costly: costly
costume: costume
cosy: cosy
couch: couch
cough: coughing
counsel: counsel
count: count,counting,counts
counter: counter,countered
counterpart: counterpart
countless: countless
country: countries,country
countryside: countryside
couple: couple
courage: courage
court: court,courts
courtesy: courtesies,courtesy
