abandon: abandoned
abasement: abasement
abel: abel
abhor: abhorred
abide: abide,abiding
ability: ability
abominable: abominable
abundant: abundant
abundantly: abundantly
accept: accept,accepted,accepting,accepts
acceptable: acceptable
access: access,accessed
accessible: accessible
accomplish: accomplished
accord: accord
account: account
accursed: accursed
accustom: accustomed
accustomed: accustomed
acknowledge: acknowledge
acquire: acquire
active: active
actual: actual
adam: adam
addition: addition,additions
additional: additional
address: address,addresses
admonish: admonished
adultery: adultery
advice: advice
affect: affect
afflict: afflict,afflicted
affliction: affliction
afraid: afraid
aged: aged
agent: agent
agree: agree,agreed
agreement: agreement
air: air
ak: ak
alienated: alienated
allusion: allusion
altar: altar
alter: alter,altered
alteration: alteration
alternate: alternate
altogether: altogether
amazed: amazed
amen: amen
amend: amends
ancient: ancient
angel: angel,angels
angels: angels
anger: anger
angry: angry
animal: animal,animals
answer: answered
apparition: apparition,apparitions
appeal: appealed,appealing,appeals
appearance: appearance
appease: appeased
applicable: applicable
apply: apply,applying
approach: approach,approached
approve: approved
arabic: arabic
archive: archive
array: array
arrive: arrived
arson: arson
art: art,arts
ascii: ascii
ashamed: ashamed
asleep: asleep
aspire: aspired
assistance: assistance
assume: assumed
astray: astray
atomic: atomic
attach: attached
attempt: attempt,attempts
attend: attend
author: author
authority: authority
avenge: avenge,avenged
await: await,awaited
awake: awoke
awful: awful
bad: bad
badly: badly
bake: bake
bank: bank
bare: bare
base: based
bathe: bathe
bear: bear,bore,born,borne
beard: beard
beast: beasts
beasts: beasts
beat: beat
beautiful: beautiful
beautifully: beautifully
beauty: beauty
befall: befall,befallen
beg: beg,begged,begging
beguiling: beguiling
behalf: behalf
behave: behaved
beheld: beheld
behold: beheld,behold,beholding
belief: belief
belly: belly
belong: belong
bend: bent
beseech: beseech,beseeching,besought
beware: beware
bible: bible
biblical: biblical
binary: binary
bind: bound
bird: birds
birth: birth
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black
blame: blame
blaspheme: blasphemed
bleed: bled
bleeding: bleeding
blemish: blemish
bless: bless,blessed
blessing: blessing
blood: blood
blot: blot,blotted
blow: blew,blow,blows
body: bodies,body
bond: bond,bonds
bone: bone,bones
book: book
books: books
border: border,borders
bosom: bosom
bottle: bottle
bow: bowed
brain: brains
branch: branches
brass: brass
breach: breach
bread: bread
break: break,broke,broken
breast: breast,breasts
breathe: breathe,breathed
breeze: breeze
bright: bright
brighten: brightened
brightness: brightness
brilliant: brilliant
bring: bring,bringing,brings,brought
broad: broad
broth: broth
brother: brother
bruise: bruise
brutish: brutish
bucket: bucket
build: built
burden: burdened
burn: burn,burned,burning,burns,burnt
burning: burning
bury: buried
business: business
cain: cain
calculate: calculate,calculated
calm: calm
carcass: carcasses
card: card
care: care
carefully: carefully
carry: carried,carries,carry
cast: cast
catch: catch
caution: caution
cautious: cautious
cave: cave
cavern: cavern
cease: cease,ceased,ceasing
century: centuries,century
cereal: cereal
change: change,changed
chapter: chapter
character: character
charge: charge,charges
charitable: charitable
charity: charities
charming: charming
check: check,checks
cherub: cherub
cherubim: cherubim
chest: chest
chief: chief
child: child,children
choose: choose,chosen
christ: christ
church: church
city: city
claim: claim
clean: clean
cleanness: cleanness
cleanse: cleansed
clearness: clearness
close: close,closer
clothe: clad,clothe,clothed
cloud: cloud
coal: coal
code: codes
cold: cold
collection: collection
color: color
combat: combat
comedy: comedy
comfort: comfort,comforted,comforting
comfortable: comfortable
coming: coming
command: command,commanded,commands
commandment: commandment,commandments
commercial: commercial
commit: commit,committed,committing
commune: commune,communed,communing
company: company
compare: compared
compilation: compilation
complete: completed
compliance: compliance
comply: comply,complying
compress: compressed
concealment: concealment
conceive: conceived
concept: concept
conclude: conclude
conclusion: conclusion
condemn: condemn,condemned
condition: condition,conditions
confirm: confirmed
confirmation: confirmation
conflict: conflict
consent: consent,consented
consequential: consequential
considerable: considerable
consolation: consolation
consort: consorted
constant: constant
construct: constructed
consult: consulting
consume: consume,consumed
contact: contact
content: content
contents: contents
continually: continually
continue: continue,continued
contract: contract
contrary: contrary
contribution: contributions
control: control
converse: conversed
convert: convert,converted
cook: cook
cool: cooled
copying: copying
copyright: copyright
corn: corn
corner: corners
corporation: corporation
corpse: corpse,corpses
corrupt: corrupt
cost: cost,costs
counsel: counsel,counselled,counsels
country: countries,country
covenant: covenant,covenanted
cover: cover,covered,covers
covering: covering
crack: crack
crafty: crafty
create: create,created,creating
creation: creation
creator: creator
creature: creature,creatures
credit: credit
creep: crept
critical: critical
cross: cross
crown: crown
crucify: crucified
cruel: cruel
cruelly: cruelly
crush: crush
crying: crying
crystal: crystal
cultivate: cultivated
current: current
curse: curse,cursed
custom: custom
cut: cut
damage: damage
damaged: damaged
damages: damages
dark: dark
darkness: darkness
datum: data
daughter: daughter
dawn: dawn,dawned
day: day,days
daylight: daylight
dead: dead
