aback: aback
abandon: abandon,abandoned,abandoning
abandonment: abandonment
abashed: abashed
abate: abate,abated
abbaye: abbaye
abed: abed
abhorrence: abhorrence
abide: abide,abided,abiding
ability: abilities,ability
abject: abject
ablaze: ablaze
abnegate: abnegating
aboard: aboard
abode: abode
abolish: abolished,abolishing
abolition: abolition
abominable: abominable
abound: abounding
abreast: abreast
abridge: abridge
abrupt: abrupt
abruptly: abruptly
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absolve: absolving
absorb: absorbed
absorption: absorption
abstractedly: abstractedly
abstraction: abstraction
absurd: absurd
abundance: abundance
abundant: abundant
abuse: abuse,abused
abyss: abyss
abyssinia: abyssinia
accent: accent,accents
accept: accept,accepted,accepting
acceptable: acceptable
acceptation: acceptation
access: access,accessed
accessible: accessible
accessory: accessories
accident: accident
accidental: accidental
accidentally: accidentally
acclamation: acclamation,acclamations
accommodation: accommodation
accompaniment: accompaniment
accompany: accompanied,accompany,accompanying
accomplice: accomplices
accomplish: accomplished,accomplishing
accomplishment: accomplishments
accord: accord,accorded
accost: accost,accosted
account: account,accounts
accumulate: accumulated,accumulating
accurate: accurate
accurately: accurately
accurse: accursed
accursed: accursed
accusation: accusation
accuse: accused
accused: accused
accustom: accustomed
accustomed: accustomed
ace: ace
achieve: achieve,achieved,achieving
achievement: achievement,achievements
acknowledge: acknowledge,acknowledged
acknowledgment: acknowledgment,acknowledgments
acoustical: acoustical
acquaint: acquainted
acquaintance: acquaintance
acquiesce: acquiesced
acquiescence: acquiescence
acquire: acquired
acquirement: acquirements
acquisition: acquisition
acquit: acquit,acquitted
acquittal: acquittal
acre: acres
action: action,actions
active: active
actively: actively
actor: actor
actual: actual
acute: acute
acuteness: acuteness
adam: adam
add: add
addition: addition,additions
additional: additional
additionally: additionally
address: address,addressed,addresses,addressing
adequately: adequately
adieu: adieu
adjacent: adjacent
adjective: adjective
adjoining: adjoining
adjourn: adjourned
adjuration: adjuration
adjure: adjure,adjured
adjust: adjusted,adjusting
administer: administered
admirable: admirable
admiration: admiration
admire: admire,admired,admiring
admirer: admirers
admission: admission
admit: admit,admitted
admittance: admittance
admonish: admonish
admonitory: admonitory
adorable: adorable
adorn: adorn,adorned
adornment: adornments
adust: adust
advance: advance,advanced,advancing
advanced: advanced
advantage: advantage,advantages
adventurous: adventurous
advice: advice
advisable: advisable
advise: advise,advised
adviser: adviser
advocate: advocate
afar: afar
affably: affably
affair: affair,affairs
affect: affect
affectingly: affectingly
affection: affection,affections
affectionate: affectionate
affectionately: affectionately
affidavit: affidavit
affirmative: affirmative
afflict: afflicted
affliction: affliction
afford: afford,afforded
affrighted: affrighted
afire: afire
afoot: afoot
afore: afore
aforesaid: aforesaid
afraid: afraid
afresh: afresh
afternoon: afternoon
age: age,ages
aged: aged
agency: agency
agent: agent
aggravate: aggravated
aggravation: aggravation
agility: agility
agin: agin
agitated: agitated
agitation: agitation
agonised: agonised
agony: agony
agree: agree,agreed
agreeable: agreeable
agreement: agreement
aha: aha
aid: aid,aids
ail: ailing
aim: aiming,aims
air: air,airs
airily: airily
airy: airy
ajar: ajar
akin: akin
alacrity: alacrity
alarm: alarm,alarmed
alarmed: alarmed
alarming: alarming
alarmingly: alarmingly
alas: alas
albeit: albeit
alcove: alcove
ale: ale
alert: alert
alienated: alienated
alight: alight,alighted,alighting
alike: alike
alive: alive
alley: alley,alleys
allowance: allowance
allusion: allusion,allusions
alluvial: alluvial
ally: allied,ally
aloft: aloft
aloud: aloud
altar: altar
alter: alter,altered
alteration: alteration,alterations
altercation: altercation
altered: altered
alternate: alternate,alternating
altitude: altitude
altogether: altogether
amazed: amazed
amazement: amazement
amazingly: amazingly
ambassador: ambassadors
ambition: ambition
ambuscade: ambuscade
amend: amends
amendment: amendment
america: america
american: americans
amiable: amiable
amiably: amiably
amicably: amicably
amiss: amiss
ammunition: ammunition
ample: ample
amuse: amused
amused: amused
analyse: analyse
anathematise: anathematised
anatomise: anatomise
ancestor: ancestors
ancestral: ancestral
anchor: anchor
anchorage: anchorage
ancient: ancient
anew: anew
angel: angel,angels
angels: angels
anger: anger,angering
angle: angle
angrily: angrily
angry: angry
anguish: anguish
animal: animal,animals
animate: animated
animated: animated
animosity: animosity
aniseed: aniseed
ankle: ankles
anna: anna
annihilate: annihilated
annihilation: annihilation
anniversary: anniversary
anno: anno
announcement: announcement
annoy: annoyed
annoyed: annoyed
anon: anon
answer: answer,answered,answering,answers
antecedent: antecedents
anticipate: anticipate,anticipating
anticipation: anticipation
antipathy: antipathies,antipathy
antiquity: antiquity
anxiety: anxieties,anxiety
anxious: anxious
