abandon: abandoned
abide: abide
abjure: abjured
absence: absence
absorb: absorbed
abstraction: abstraction
abstruse: abstruse
absurd: absurd
absurdity: absurdities
accept: accept,accepted,accepting
acceptable: acceptable
access: access,accessed
accessible: accessible
acclamation: acclamation
accommodate: accommodating
accommodation: accommodation
accompany: accompanied,accompany,accompanying
account: account
accusatory: accusatory
accuse: accuses
ace: ace
achieve: achieved
acknowledge: acknowledge,acknowledged
acquaintance: acquaintance
acre: acre
action: action
active: active
activity: activity
actual: actual
adapt: adapt,adapted
add: add,adding,adds
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adjust: adjust,adjusted,adjusting
adjustment: adjustment
administer: administering
admiration: admiration
admire: admired
admirer: admirers
admiringly: admiringly
admission: admission
admit: admitted
adorn: adorned
advance: advance,advanced,advancing
advantage: advantage
advantageous: advantageous
adversary: adversary
advertise: advertised
advise: advise,advised
affect: affect
affectation: affectation
affection: affection
affectionate: affectionate
affirmative: affirmative
afflict: afflicted
affliction: affliction
afford: afford,affording
aforesaid: aforesaid
afraid: afraid
afternoon: afternoon
age: age,ages
aged: aged
agent: agent
aggravating: aggravating
agitated: agitated
agitation: agitation
agony: agony
agree: agree,agreed
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aid: aid
air: air
ak: ak
alacrity: alacrity
alarm: alarm
alarmed: alarmed
alchemist: alchemist
alight: alighting
alike: alike
alive: alive
allowance: allowance
allude: allude
aloud: aloud
altar: altar
alter: altered
alteration: alteration
alternate: alternate
altogether: altogether
amalgamation: amalgamation
amazement: amazement
americas: americas
amiable: amiable
ample: ample
amply: amply
amuse: amused
amused: amused
ancient: ancient
angel: angel
angry: angry
anguish: anguish
animal: animal
animation: animation
ankle: ankles
annihilation: annihilation
announcement: announcements
answer: answer,answered
anticipate: anticipated
antiquity: antiquity
anxious: anxious
apartment: apartments
apologise: apologised
appalling: appalling
appeal: appeal
appealingly: appealingly
appearance: appearance
appendage: appendages
appetite: appetite
applause: applause
apple: apples
applicable: applicable
application: application
apply: apply
appoint: appointed
appointment: appointment
apprise: apprised
approach: approach,approached,approaching
approve: approving
apron: apron
arbitrary: arbitrary
archive: archive
ardour: ardour
ark: ark,arks
arks: arks
arm: arm,armed,arms
arrange: arranged
arrangement: arrangements
array: array
arrive: arrive,arrived,arriving
art: art,arts
artful: artful
artfully: artfully
article: article,articles
articulate: articulate
artifice: artifice
artist: artists
artless: artless
ascend: ascended
ascent: ascent
ascii: ascii
ashamed: ashamed
asleep: asleep
aspect: aspect
assemble: assembled
assent: assent
assert: asserted
assertion: assertion
assist: assisted
assistance: assistance
assistant: assistants
association: associations
assorted: assorted
assume: assuming
assumption: assumption
assurance: assurance
assure: assure
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astounded: astounded
astoundingly: astoundingly
asunder: asunder
attach: attached
attachment: attachment
attain: attained
attempt: attempting,attempts
attend: attended
attendant: attendant
attention: attention,attentions
attentively: attentively
attitude: attitude
attorney: attorney
attract: attract,attracted
attraction: attraction
audible: audible
augment: augmented
author: author
autograph: autographs
avenging: avenging
average: average
avocation: avocations
awake: awake,awoke
awaken: awakened
aware: aware
awe: awe
awkward: awkward
awkwardness: awkwardness
ays: ays
babby: babby
baby: babies,baby
bacchanalian: bacchanalian
bachelor: bachelor
background: background
bad: bad,worse,worst
bah: bah
bait: bait
bald: bald
ball: balls
bar: bar,bars
bare: bare
barehead: bareheaded
barge: barges
bark: bark,barking,barks
barnacle: barnacle
barrel: barrel
base: based
basket: basket,baskets
beadle: beadle
beam: beaming,beams
bear: bear,bearing,bore,born,borne
bearing: bearing
beast: beast,beasts
beasts: beasts
beat: beat,beaten,beating,beats
beautiful: beautiful
beauty: beauty
bed: bed,beds
bedclothes: bedclothes
bedlam: bedlam
bedpost: bedpost
bedstead: bedstead,bedsteads
bee: bee,bees
beer: beer
beg: beg,begged
beggar: beggar
behold: beheld,behold
belief: belief
bell: bells
bellman: bellmen
belong: belong,belonged
beloved: beloved
bend: bending,bent
beneath: beneath
benefactor: benefactor
benevolent: benevolent
benison: benison
bent: bent
berry: berry
bertha: bertha
beset: beset
bestir: bestir
bestow: bestowed
betray: betrayed
bewail: bewailing
bewailment: bewailment
bewilder: bewildered
bewildering: bewildering
bewilderment: bewilderment
binary: binary
bind: bound
bird: bird,birds
birthday: birthday
bit: bit,bits
bitterly: bitterly
black: black
blame: blame,blaming
blameless: blameless
blank: blank
blanket: blankets
blaze: blaze,blazing
bless: bless,blessed
blessed: blessed
blessing: blessing
blight: blighted
blind: blind
blindness: blindness
bliss: bliss
blithe: blithe,blithest
blithely: blithely
block: block
blood: blood
bloom: blooming
