abandon: abandon,abandoned,abandoning
abashed: abashed
abduction: abduction
aberration: aberration
ablutions: ablutions
aboard: aboard
abode: abode
abolish: abolishing
abominable: abominable
abominably: abominably
abraham: abraham
abridged: abridged
abrupt: abrupt
abruptly: abruptly
absence: absence
absent: absented
absolute: absolute
absolutely: absolutely
absorb: absorbed,absorbing
absurd: absurd
absurdly: absurdly
abundantly: abundantly
abuse: abuse
acacia: acacias
accept: accept,accepted
acceptation: acceptation
access: access
accident: accident,accidents
accidental: accidental
accidentally: accidentally
accommodation: accommodation
accompany: accompanied,accompany
accomplice: accomplice
accomplish: accomplish,accomplished,accomplishing
accomplished: accomplished
accost: accosted
account: account,accounted,accounts
accumulation: accumulation
accusation: accusations
accuse: accuse,accused,accusing
accustom: accustomed
accustomed: accustomed
acknowledge: acknowledged
acquaint: acquainted
acquaintance: acquaintance
acquire: acquired
acquit: acquitted
acrobat: acrobats
acrobatic: acrobatic
action: action
active: active
actively: actively
activity: activity
actual: actual
add: add,adding
additional: additional
address: address,addressed
aden: aden
adept: adept
adequate: adequate
adieu: adieu
adjoining: adjoining
administer: administered
admirable: admirable
admirably: admirably
admiration: admiration
admiringly: admiringly
admission: admission
admit: admit,admitted,admitting
ado: ado
adopt: adopt
adorn: adorn,adorned
adroit: adroit
adroitness: adroitness
advance: advance,advanced,advancing
advanced: advanced
advantage: advantage
adventure: adventure,adventures
adversary: adversaries,adversary
adversity: adversity
advice: advice
advise: advise
advocate: advocate,advocates
affair: affair,affairs
affect: affect
affix: affixed
afflict: afflict
afford: afforded,affords
afoot: afoot
afraid: afraid
africa: africa
african: african
aft: aft
afternoon: afternoon
age: age
agency: agency
agent: agent,agents
ages: ages
agile: agile
agility: agility
agitate: agitated
agitated: agitated
agitation: agitation
agony: agonies
agra: agra
agree: agree,agreed
agreeable: agreeable
agreement: agreement
aha: aha
aid: aid,aided,aiding
aids: aids
aimlessly: aimlessly
air: air
airily: airily
aisle: aisle,aisles
akin: akin
alabama: alabama
alacrity: alacrity
alarm: alarm
alarmed: alarmed
alarming: alarming
alas: alas
ale: ale
alike: alike
alive: alive
alligator: alligators
allowance: allowance
alluring: alluring
allusion: allusions
ally: allies,ally
almanac: almanac
alms: alms
aloud: aloud
alter: alter
altogether: altogether
amateur: amateur
amaze: amazed
amazed: amazed
amazement: amazement
amazing: amazing
ambassador: ambassadors
ambuscade: ambuscade
america: america
american: american,americans
amiable: amiable
amphion: amphion
ample: ample
amply: amply
amuse: amusing
amusement: amusement
analyse: analyse
anam: anam
anchor: anchor,anchored
ancient: ancient
andaman: andaman
andrew: andrew
anew: anew
angelica: angelica
anger: anger
angle: angles
anglo: anglo
angrily: angrily
angry: angry
anguish: anguish
animal: animal,animals
animate: animated
animated: animated
annals: annals
annex: annexed
announcement: announcement
annoy: annoyed
annoyance: annoyance
annoyed: annoyed
annoying: annoying
anon: anon
anonymously: anonymously
answer: answer,answered,answers
antagonist: antagonists
antipode: antipodes
antipodes: antipodes
antique: antique
anxiety: anxieties,anxiety
anxious: anxious
anxiously: anxiously
apartment: apartment
aperture: aperture
apex: apex
apiece: apiece
apologise: apologise
apoplectic: apoplectic
apparel: apparel
apparent: apparent
appearance: appearance,appearances
appease: appeased
appendage: appendages
appetite: appetite
applause: applause
apple: apple,apples
application: application
apply: applied,apply,applying
appoint: appoint,appointed
apprehension: apprehension,apprehensions
apprise: apprise,apprised
approach: approach,approached,approaching
aptness: aptness
arab: arabs
arabic: arabic
arc: arc
architecture: architecture
argue: argue,argued
arkansas: arkansas
arm: arm,armed,arms
armchair: armchair
armed: armed
armenian: armenian
armenians: armenians
army: army
arouse: aroused
arrange: arrange,arranged,arranging
arrangement: arrangements
array: arrayed
arrest: arrest,arrested,arresting
arrival: arrival,arrivals
arrive: arrive,arrived,arrives,arriving
arrow: arrows
arsenal: arsenal
art: art
artery: artery
article: article,articles
artisan: artisan,artisans
artist: artist,artists
artistic: artistic
arts: arts
ascend: ascended,ascends
ascertain: ascertain,ascertained
ashore: ashore
asia: asia
asian: asian
asleep: asleep
aspect: aspect
asphaltite: asphaltite
ass: ass
assassin: assassins
assassinate: assassinated
assassination: assassination
assemblage: assemblage
assemble: assembled
assent: assented
assert: assert,asserted
assiduously: assiduously
assist: assisted
assistance: assistance
association: association
assume: assumed
assure: assure,assured,assures
astonish: astonish,astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astound: astounds
astounded: astounded
astride: astride
astrologer: astrologers
astronomer: astronomers
astronomical: astronomical
athens: athens
atlantic: atlantic
atmosphere: atmosphere
attach: attached
attack: attack,attacked,attacks
attain: attain,attained
attempt: attempt,attempted,attempts
attend: attend,attended
attention: attention
attentively: attentively
attire: attired
attract: attract,attracted,attracting
attraction: attraction,attractions
auburn: auburn
audacity: audacity
audible: audible
audience: audience
auditor: auditor
austere: austere
authority: authorities,authority
automatic: automatic
automaton: automaton
autumn: autumn
avail: avail
avarice: avarice
avaricious: avaricious
avenge: avenge
avenue: avenues
average: average
avoid: avoid,avoided,avoiding
avowed: avowed
await: await,awaited,awaiting,awaits
awake: awoke
awaken: awakened
awakening: awakening
award: awarded
aware: aware
awhile: awhile
awkward: awkward
awkwardly: awkwardly
bab: bab
backer: backers
background: background
bad: bad,worse,worst
badly: badly
bag: bag
baggage: baggage
bah: bah
bail: bail,bails
balance: balance,balanced
balcony: balcony
ball: ball,balls
ballast: ballast
balloon: balloon
bamboo: bamboo,bamboos
banana: bananas
band: band,bands
banditti: banditti
bank: bank,banks
banker: banker,bankers
banknote: banknotes
banknotes: banknotes
bankruptcy: bankruptcy
banner: banners
banter: bantering
banyans: banyans
bar: bar,barred
barbarous: barbarous
barber: barber
bargain: bargain
baring: baring
barley: barley
barometer: barometer
baronet: baronet
barrel: barrelled,barrels
barricade: barricaded
barrier: barriers
barrow: barrows
basalt: basalt
base: base
basin: basin
basis: bases
bass: bass
bath: bathed,bathing
battery: battery
battle: battle
battledore: battledores
battlefield: battlefield
bay: bay
bazaar: bazaar,bazaars
beam: beam,beams
bear: bear,bearing,bears,bore,borne
beard: beard
bearded: bearded
bearer: bearer
beast: beast,beasts
beat: beat,beaten,beating
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
bed: bed
bedchamber: bedchamber
bedroom: bedroom
bedstead: bedsteads
bedtime: bedtime
beef: beef
beer: beer
beg: beg,begged,begging
beggar: beggar
behave: behaved
behaviour: behaviour
behold: beheld,behold
belated: belated
bell: bell,bells
belong: belong,belonged,belonging,belongs
bench: bench,benches
bend: bend,bending,bent
beneath: beneath
benevolent: benevolent
bengal: bengal
bequeath: bequeathed
berth: berth,berths
bespeak: bespoken
bestow: bestowed
bestride: bestride
bet: bet,bets,betting
betel: betel
betray: betray,betrayed,betraying,betrays
betrayal: betrayal
beverage: beverage,beverages
biblical: biblical
bid: bade,bid,bidding
billow: billows
bind: bound
bird: bird,birds
birmingham: birmingham
biscuit: biscuits
bit: bit,bits
bite: biting,bitten
bitter: bitter,bitterest
bitterly: bitterly
black: black
blacken: blackened
blame: blame,blamed,blaming
blank: blank
blanket: blanket
blind: blind
block: blocked,blocking,blocks
blood: blood
blossom: blossoms
blow: blew,blow,blowing,blows
blue: blue
bluffs: bluffs
blunder: blundering
blush: blush
blusterer: blusterers
boar: boar
board: board
boast: boasted
boat: boat,boats
bodily: bodily
body: body
boil: boiled
boiler: boiler,boilers
boisterous: boisterous
bold: bold,bolder
boldly: boldly
bolster: bolstering
bomb: bomb
bombay: bombay
bond: bond,bonds
bone: bones
bonnet: bonnet,bonnets
booby: booby
book: book,books
booming: booming
boot: boots
bordeaux: bordeaux
border: border,bordered,borders
bore: bore
borrow: borrowed
bosom: bosom
bottle: bottles
boulevard: boulevard
bounce: bounced,bouncing
bound: bound,bounded
boundary: boundary
bow: bow,bowed,bowing,bows
bowie: bowie
box: box,boxes
bracelet: bracelets
bradshaw: bradshaw
brahma: brahma
brahmin: brahmin,brahmins
brain: brain,brains
brake: brakes
branch: branch,branches
brand: brand
brandy: brandy
brass: brass
brave: brave,braved
bravely: bravely
brawny: brawny
brazil: brazil
bread: bread
breadth: breadth
break: break,breaks,broke,broken
breakage: breakage
breakfast: breakfast,breakfasted
breast: breast
breath: breath
breathe: breathe,breathed
breathless: breathless
breathlessly: breathlessly
breeze: breeze
brewer: brewer
bribe: bribed,bribes
bribery: bribery
brick: brick,bricks
bride: bride
bridge: bridge,bridges
bridger: bridger
brigade: brigade
brigadier: brigadier,brigadiers
brigantine: brigantine
bright: bright
brighten: brightened
brilliancy: brilliancy
brilliant: brilliant
brindisi: brindisi
bring: bring,bringing,brought
brisk: brisk
briskly: briskly
bristle: bristling
british: british
broad: broad
broadway: broadway
broil: broiled
broken: broken
broker: broker,brokers
brother: brother,brothers
brow: brows
brown: brown
bruise: bruise
brush: brush
bud: bud
buddhism: buddhism
buddhist: buddhist
budge: budge
buffalo: buffalo,buffaloes
build: built
bulge: bulged
bull: bull
bullet: bullets
bulletin: bulletin
bungalow: bungalow,bungalows
bunk: bunks
buoyancy: buoyancy
burden: burden
burglar: burglars
burlington: burlington
burn: burn,burned,burning
burner: burner
burst: burst,bursting
busby: busby
bush: bushes
business: business
bust: busts
bustle: bustled
bustling: bustling
busy: busied,busy
butcher: butcher,butchers
butter: butter
butterfly: butterflies
buttery: buttery
buzzing: buzzing
bye: bye
byron: byron
byronic: byronic
cab: cab
cabin: cabin,cabins
cable: cable
cabman: cabman
cadaverous: cadaverous
calais: calais
calculate: calculate,calculated,calculating
calcutta: calcutta
california: california
californian: californian
calm: calm,calmer
calmly: calmly
calmness: calmness
camellia: camellias
camp: camp
campaign: campaign
canal: canal
cancer: cancer
candidate: candidate
candle: candles
cane: canes
cannibal: cannibals
cannon: cannon
canton: canton
canvas: canvas
cap: caps
capable: capable
capacity: capacity
caparison: caparisoned
cape: cape
caper: capering
capital: capital
caprice: caprice
capricious: capricious
capriciously: capriciously
captain: captain
captor: captors
capture: captured
car: car,cars
card: card,cards
care: care,cared
careful: careful
carefully: carefully
careless: careless
caress: caressed,caressing
cargo: cargo
carnival: carnival
carpet: carpet
carriage: carriage,carriages
carry: carried,carry,carrying
carson: carson
cascade: cascade,cascades
cashier: cashier
cashmere: cashmere
cast: cast,casting
castle: castle
cat: cats
catch: catch,caught
catcher: catcher
cathedral: cathedral
cattle: cattle
cautiously: cautiously
cease: cease,ceased,ceasing
cedar: cedar,cedars
ceiling: ceiling
celebrate: celebrated,celebrates,celebrating
celebrated: celebrated
celestial: celestial
cellar: cellar
cent: cent
central: central
centre: centre,centred
century: centuries,century
cereal: cereals
ceremony: ceremonies,ceremony
ceylon: ceylon
ceylonese: ceylonese
chaff: chaff,chaffing
chagrin: chagrin
chain: chain,chains
chair: chair
chaise: chaise
chamber: chambers
champion: champions
champs: champs
chance: chance,chances
chancery: chancery
change: change,changed,changing
channel: channels
chapter: chapter
character: character,characters
characteristic: characteristic
charge: charge,charged,charges
charing: charing
charity: charities
charm: charm,charmed,charms
charming: charming
charter: charter
chary: chary
chat: chatted,chatting
cheap: cheap
check: checked,checking
checker: checker
checkered: checkered
cheek: cheeks
cheeked: cheeked
cheer: cheered,cheers
cheerless: cheerless
cheese: cheese
cheque: cheque,cheques
cherish: cherish,cherished
cherry: cherry
cheshire: cheshire
chest: chests
chicago: chicago
chief: chief,chiefs
child: child,children
chili: chili
chilled: chilled
chilly: chilly
