abandon: abandon,abandoned
abandonment: abandonment
abase: abase,abased,abasing
abbey: abbey
abbot: abbots
abet: abetted
abhor: abhorring
abide: abide,abiding
abject: abject
abjection: abjection
ablative: ablative
ablaze: ablaze
abode: abode
abominable: abominable
abrupt: abrupt
abruptly: abruptly
absence: absence
absent: absent
absently: absently
absolutely: absolutely
absolution: absolution
absolve: absolve,absolved
absurdity: absurdity
abyss: abyss
accent: accent,accents
accept: accept,accepted,accepting
acceptable: acceptable
acceptance: acceptance
access: access,accessed
accessible: accessible
accident: accident,accidents
accompany: accompanying
accomplice: accomplices
accomplish: accomplished,accomplishing
account: account
accrue: accruing
accustomed: accustomed
ace: ace
ache: ache,ached,aching
achieve: achieve,achieving
acknowledgement: acknowledgement
acolyte: acolyte
acquaint: acquainted
acquiesce: acquiesced
acquiescence: acquiescence
acquire: acquired
acquisition: acquisition
acre: acre
action: action
active: active
activity: activity
actor: actor,actors
actual: actual
adam: adam
add: add
addison: addison
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adelphi: adelphi
adieu: adieu
admiration: admiration
admire: admire,admired
admirer: admirer
admit: admit
admixture: admixtures
admonition: admonition
adolescence: adolescence
adoration: adoration
adorn: adorned
adrift: adrift
adulterer: adulterer
adulterous: adulterous
advance: advance,advanced,advancing
advent: advent
adventure: adventure,adventures
adventurer: adventurers
advice: advice
afar: afar
affair: affair,affairs
affection: affection,affections
afflict: afflict,afflicted
aflame: aflame
afraid: afraid
africa: africa
afterglow: afterglow
afternoon: afternoon
age: age,ages
aged: aged
ageing: ageing
agelong: agelong
agent: agent,agents
agile: agile
agitation: agitation
aglow: aglow
agonising: agonising
agony: agony
agree: agree,agreed
agreement: agreement
aid: aid,aided,aiding
aim: aim,aimed
air: air,airs
airy: airy
aisle: aisle
ajar: ajar
akin: akin
alarm: alarm,alarmed
alas: alas
ale: ale
alec: alec
alert: alert
alien: alien,aliens
alight: alighting
alike: alike
allay: allayed,allaying
allen: allen
alley: alley
allude: allude
allure: allured
alluring: alluring
allusion: allusion,allusions
ally: ally
almighty: almighty
almond: almonds
alms: alms
aloft: aloft
aloof: aloof
aloud: aloud
aloysius: aloysius
altar: altar
alteration: alteration
alternate: alternate
alternation: alternation
altruism: altruism
amass: amass
amateur: amateur
ambition: ambition,ambitions
amble: ambling
amen: amen
amend: amend,amended
amendment: amendment
america: america
american: american
amiably: amiably
amuse: amuses
amusing: amusing
analyse: analysed
analysis: analysis
anatomy: anatomy
ancestor: ancestors
anchor: anchored
ancient: ancient
anew: anew
angel: angel,angels
angelic: angelic
angelical: angelical
angels: angels
anger: anger
angle: angles
angrily: angrily
angry: angry
anguish: anguish
anguished: anguished
animal: animal,animals
annoy: annoyed
annoyed: annoyed
annual: annual
anoint: anoint,anointed
anselm: anselm
answer: answer,answered,answering,answers
antagonism: antagonism
antelope: antelopes
anthony: anthony
anticipation: anticipation
antisocial: antisocial
antlike: antlike
anxious: anxious
ape: ape
apelike: apelike
apologise: apologise,apologised
apostle: apostle
apostleship: apostleship
apparatus: apparatus
apparel: apparel
appeal: appeal,appealed,appealing
appearance: appearance
appease: appease,appeased
appetite: appetite
applause: applause
apple: apple,apples
applicable: applicable
apply: applied,apply
appoint: appointed
apprehend: apprehend,apprehended
apprehension: apprehension,apprehensions
approach: approach,approached,approaching
approve: approve
april: april
apron: apron
aquinas: aquinas
arab: arabs
arbitration: arbitration
arbour: arbour
arcade: arcade
arch: arch,arches
archangel: archangel,archangels
archangelical: archangelical
archive: archive
ardent: ardent
ardour: ardour
argue: argue,arguing
arid: arid
aristotle: aristotle
ark: ark
arm: arm,armed,arms
armchair: armchair
armed: armed
armour: armour
armpit: armpit,armpits
armrest: armrest
army: army
aromatic: aromatic
arrange: arrange,arranged
arras: arras
array: array,arrayed
arrest: arrest,arrested,arrests
arrival: arrival
arrive: arrive,arrived
arrow: arrow
arse: arse
art: art,arts
article: articles
artificer: artificer
artillery: artillery
artist: artist
artistic: artistic
ascend: ascend,ascended,ascending
ascent: ascent
ascertain: ascertain
ascii: ascii
ash: ashes
ashamed: ashamed
ashplant: ashplant
asiatic: asiatic
askance: askance
asleep: asleep
aspiration: aspirations
assail: assailed,assailing
assemble: assembled
assert: asserted
assiduous: assiduous
assign: assign
assistance: assistance
associate: associate
association: associations
assume: assumed,assumes
assuredly: assuredly
astir: astir
astonished: astonished
astonishment: astonishment
astray: astray
asunder: asunder
atheist: atheist,atheists
athlete: athlete
athletic: athletic
athletics: athletics
athwart: athwart
atom: atoms
atone: atoned
atonement: atonement
atrocity: atrocity
attach: attached
attack: attacked,attacks
attain: attain
attempt: attempt
attend: attend,attended,attending,attends
attendant: attendants
attention: attention
attitude: attitude
attract: attract,attracted
attraction: attraction
attribute: attribute,attributes
aubrey: aubrey
auburn: auburn
auction: auction
audible: audible
audience: audience
aught: aught
augur: augur
augury: augury
august: august
augustine: augustine
aunt: aunt
author: author
authority: authority
autumn: autumn
autumnal: autumnal
avail: avail,availed
avenger: avenger
avenue: avenue,avenues
avert: averted
avid: avid
avoid: avoid
await: awaited,awaiting
awake: awake,awoke
awaken: awaken,awakened,awakens
aware: aware
awe: awe
awful: awful
awhile: awhile
awkwardly: awkwardly
awry: awry
axis: axes
ay: ay
azure: azure
baaing: baaing
babble: babble
baby: baby
babylonian: babylonian
backdoor: backdoor
background: background
backhand: backhand
backless: backless
