abandon: abandon,abandoned
backside: backside
bacon: bacon
baculus: baculus
bad: bad,worse,worst
badge: badge
baffle: baffled
bag: bag
bah: bah
baize: baize
bake: bake
balance: balance
balanced: balanced
balcony: balconies,balcony
bald: bald
baldhead: baldhead
baldwin: baldwin
baldy: baldy
bale: bales
balefire: balefire
balk: balked
ball: ball,balls
ballad: ballad
ballock: ballocks
bally: bally
balmy: balmy
balsamum: balsamum
band: band,bands
bang: bang,banged
banish: banish
bank: bank,banked
bankrupt: bankrupt
banter: banter
baptise: baptised,baptising
baptism: baptism
baptist: baptists
bar: bar,barred,bars
barbed: barbed
barbell: barbells
bare: bare,bared
barefoot: barefoot
barefooted: barefooted
bareheaded: bareheaded
bark: bark
barmaid: barmaids
barman: barmen
barrack: barrack
barrel: barrels
barren: barren
barrett: barrett
barrier: barriers
barter: bartered
barton: barton
base: base,based
bashful: bashful
basin: basin,basins
basket: basket,baskets
bass: bass
bat: bats
bath: bath
batlike: batlike
batter: battered
battered: battered
battle: battle,battles,battling
battlefield: battlefield,battlefields
bawl: bawl,bawling
bay: bay
bazaar: bazaars
beach: beach
bead: beads
beak: beak,beaked,beaks
bear: bear,bearing,bears,bore,born,borne
beard: beard,beards
bearded: bearded
bearing: bearing
beast: beast,beasts
beastlike: beastlike
beat: beat,beaten,beating
beatific: beatific
beatitude: beatitude
beautiful: beautiful
beautifully: beautifully
beauty: beauty
beckon: beckoned
bed: bed,beds
bedad: bedad
bedclothes: bedclothes
bedimmed: bedimmed
bedroom: bedroom
bedside: bedside
beer: beer
beg: beg,begged
beget: begat,begetting
beggar: beggar,beggars
begotten: begotten
behave: behave,behaved
behold: beheld,behold
belfast: belfast
belgium: belgium
belief: belief
believer: believer,believers
bell: bell,bells
bellied: bellied
belly: belly
belong: belong,belonged
beloved: beloved
belt: belt
belted: belted
belvedere: belvedere
ben: ben
bench: bench,benches
bend: bend,bending,bent
beneath: beneath
benediction: benediction
benefit: benefit
benevolent: benevolent
benevolently: benevolently
bent: bent
benumb: benumbed
bergamasca: bergamasca
berretta: berretta
bertie: bertie
beseech: beseech,besought
beset: beset
besiege: besieged
besmear: besmeared
besotted: besotted
bestial: bestial
bestiality: bestiality
bestially: bestially
bestow: bestow,bestowed
bet: bet,bets
betray: betray,betrayed
betty: betty
bewail: bewail
beware: beware
bible: bible
bicycle: bicycle
bid: bade,bid,bidden,bidding
bidden: bidden
bidding: bidding
bike: bike
billiard: billiard
billiards: billiards
billy: billy
binary: binary
bind: bind,binding,bound
bird: bird,birds
birth: birth
birthday: birthday
biscuit: biscuit
bishop: bishop,bishops
bit: bit,bits
bitch: bitch,bitches
bite: bit,bitten
bitter: bitter
bitterly: bitterly
bitterness: bitterness
black: black,blackest
blacken: blackened
blackguard: blackguard
blackish: blackish
blake: blake
blame: blame
blandly: blandly
blank: blank
blanket: blanket,blankets
blankety: blankety
blarney: blarney
blasphemer: blasphemer
blasphemous: blasphemous
blasphemy: blasphemies,blasphemy
blast: blast,blasts
blaze: blaze
blazer: blazers
bleak: bleak
bleakly: bleakly
bleat: bleating
bless: bless,blessed
blessed: blessed
blessing: blessing
blind: blind,blinded,blinds
blindly: blindly
blink: blinking
bliss: bliss
blithely: blithely
blither: blithering
bloated: bloated
block: block
blood: blood
bloodless: bloodless
bloody: bloody
bloom: bloom
blossom: blossoming,blossoms
blot: blot
blow: blew,blow,blowing,blown,blows
blue: blue
bluish: bluish
blunder: blundering
blunt: blunt
bluntly: bluntly
bluntness: bluntness
blush: blush,blushed,blushing
board: board,boarded,boards
boarder: boarder
boat: boat
bob: bob,bobbing
bobbin: bobbins
bodily: bodily
body: bodies,body
bog: bogs
boghole: boghole
boil: boiling,boils
bold: boldest
boldly: boldly
bolster: bolster
bonaventure: bonaventure
bond: bond,bonds
bone: bone
bonnet: bonnet
bonum: bonum
bony: bony
boody: boody
booing: booing
book: book,booked,books
bookcase: bookcases
boorish: boorish
boot: boots
booth: booth
bore: bore
borrow: borrowed
borrower: borrowers
bosom: bosom
boss: boss
botany: botany
bother: bother
bottle: bottle,bottles
bottomless: bottomless
bough: boughs
bounce: bouncing
bound: bound,bounded,bounding
boundless: boundless
boundlessness: boundlessness
bounty: bounty
bout: bout
bovine: bovine
bow: bow,bowed,bowing
bowels: bowels
bower: bower
bowl: bowl
bowling: bowling
bowstring: bowstring
box: box,boxes
boy: boy,boys
boyhood: boyhood
boyish: boyish
brackish: brackish
brain: brain,brains
brake: brake
bran: bran
branch: branch,branches
branching: branching
brand: brand
brass: brass,brasses
bravely: bravely
bravo: bravo
bray: bray
brazen: brazen
breach: breach
bread: bread
breadbasket: breadbasket
break: break,breaking,broke,broken
breakfast: breakfast
breakneck: breakneck
breakwater: breakwater
breast: breast,breasts
breastbone: breastbone
breath: breath
breathe: breathe,breathed,breathing
breathing: breathing
breathless: breathless
breeches: breeches
breed: bred,breed
breeze: breeze
brethren: brethren
brick: brick
bride: bride
bridge: bridge,bridged
bright: bright,brighter
brightly: brightly
brightness: brightness
brigid: brigid
brilliant: brilliant
brim: brim,brimming
brimless: brimless
brimstone: brimstone
brine: brine
bring: bring,bringing,brings,brought
brisk: brisk
briskly: briskly
bristle: bristling
brittle: brittle
broad: broad
broaden: broadened
broadly: broadly
broke: broke
broken: broken
brood: brood,brooded,brooding,broods
brooding: brooding
brothel: brothels
brother: brother,brothers
brotherhood: brotherhood
brothers: brothers
brow: brow,brows
brown: brown
browsing: browsing
bruise: bruised
bruno: bruno
brush: brush,brushed,brushes
brutal: brutal
brutally: brutally
brute: brutes
brutelike: brutelike
brutish: brutish
bubble: bubble,bubbling
buck: buck
bucket: bucket
bucketful: bucketful
buddhist: buddhists
budding: budding
buff: buff
build: build,building,built
building: building
bulge: bulged
bull: bull
bum: bum
bump: bump,bumped
bunch: bunch,bunches
bunt: bunting
burden: burden
burly: burly
burn: burn,burned,burning,burns
burning: burning
bursar: bursar
burst: burst,bursting,bursts
bury: buried,bury
bush: bush,bushes
bushel: bushel
business: business
buskin: buskins
bust: bust
bustle: bustle,bustled
bustling: bustling
busy: busied,busy
butcher: butcher
butler: butler
butt: butt,butts
butter: butter,buttered
button: buttoned,buttons
buttonhole: buttonhole
bye: bye
byron: byron
bystander: bystanders
bystreet: bystreet
cabbage: cabbage,cabbages
cabin: cabin
cabinet: cabinet
cable: cables
cachou: cachou
cackle: cackling
cadence: cadence,cadences
cage: cage
cajole: cajole
cake: cake,cakes
calculate: calculate,calculated
calculation: calculations
calf: calf
calico: calico
calling: calling
calm: calm,calming
calmly: calmly
calumnious: calumnious
calvary: calvary
caman: caman
campbell: campbell
canal: canal
cancer: cancer
candle: candle,candles
candlestick: candlestick,candlesticks
cane: cane
canister: canisters
canker: canker
canon: canon
canonical: canonical,canonicals
canopy: canopy
canticle: canticles
canvas: canvas
cap: cap,caps
capable: capable
caper: caper,capered,capering
capital: capital
captain: captain
captive: captive
captivity: captivity
capture: capture
capuchin: capuchin
capuchins: capuchins
car: car,cars
caravan: caravans
carcass: carcasses
card: card,cards
cardboard: cardboard
cardiac: cardiac
cardinal: cardinal
care: care,cared,cares
career: career
careful: careful
carefully: carefully
carelessly: carelessly
carelessness: carelessness
caress: caress,caressed,caresses
caressing: caressing
carmelite: carmelite
carmine: carmine
carnal: carnal
carnival: carnival
carpenter: carpenter,carpenters
carpet: carpet
carriage: carriage
carrot: carrots
carry: carried,carries,carry,carrying
cart: carts
carver: carvers
casey: casey
cash: cash
cask: cask
cast: cast,casting,casts
castle: castle
casual: casual
cat: cat
catacombs: catacombs
catafalque: catafalque
catcall: catcalls
catch: catch,caught
catchword: catchwords
catechism: catechism,catechisms
catherine: catherine
catholic: catholic,catholics
cattle: cattle
caught: caught
cavalry: cavalry
cave: cave,caves
cavern: cavern,caverns
cease: cease,ceased
ceaseless: ceaseless
cecil: cecil
cedrus: cedrus
celebrant: celebrant
celebrate: celebrate
celery: celery
cell: cell
cemetery: cemetery
censer: censer
central: central
centre: centre,centres
century: centuries,century
cerement: cerements
ceremony: ceremony
certificate: certificate
certitude: certitude
cessation: cessation
cesspool: cesspool
chain: chain
chainless: chainless
chair: chair,chairs
chalice: chalice
chalk: chalks
challenge: challenge
chamber: chamber,chambering
chambering: chambering
champagne: champagne
chance: chances
chandelier: chandelier,chandeliers
change: change,changed,changing
channel: channel
chant: chant,chanting
chaos: chaos
chap: chap,chaps
chapel: chapel
chaplet: chaplets
chapter: chapter
character: character,characters
characterless: characterless
charcoal: charcoal
charge: charge,charged,charges,charging
charitable: charitable
charity: charities
charles: charles
charming: charming
chase: chase
chastisement: chastisement
chasuble: chasuble
chat: chatted,chatting
cheap: cheap
cheaply: cheaply
check: check,checked,checks
cheek: cheek,cheeks
cheer: cheer,cheered,cheering,cheers
cheerily: cheerily
cheerless: cheerless
cheerlessly: cheerlessly
chemical: chemical
cherubim: cherubim
chess: chess
chest: chest
chestnut: chestnut
chew: chewed,chewing
chiding: chiding
chief: chief
chiefly: chiefly
chieftain: chieftain
child: child,children
childhood: childhood
childish: childish
chill: chill
chilled: chilled
chilly: chilly
chime: chime
chin: chin
china: china
chine: chines
chinese: chinese
chink: chink
chivalry: chivalry
chocolate: chocolate
choice: choice
choir: choir,choirs
choke: choked,choking
choose: choose,choosing,chose,chosen
chord: chord,chords
christ: christ
christendom: christendom
christian: christian
christmas: christmas
christopher: christopher
christy: christy
chronicle: chronicled
church: church
churchyard: churchyard
ciborium: ciborium
cigar: cigar,cigars
cigarette: cigarette,cigarettes
cinder: cinders
cinnamomum: cinnamomum
circle: circle,circled,circles,circling
circling: circling
circumfluent: circumfluent
circumstance: circumstance,circumstances
citadel: citadel
city: cities,city
civil: civil
clack: clacking
claim: claim,claims
clamber: clambered
clamorous: clamorous
clamour: clamour,clamouring
clap: clapped
clapping: clapping
clark: clark
clash: clashes
clasp: clasp,clasping
clasped: clasped
class: class,classes
classical: classical
classmate: classmate,classmates
classroom: classroom
clatter: clatter,clattering
claude: claude
clay: clay
clean: clean
cleanse: cleanse
cleave: cleaving,clove,cloven
cleft: cleft
clench: clenched,clenching
clenched: clenched
clergy: clergy
clerical: clerical
clever: clever
cliff: cliffs
climb: climbed,climbing
cling: clinging
clip: clipped
cloak: cloak
clock: clock
clodhopper: clodhoppers
clogging: clogging
cloister: cloister,cloisters
cloistral: cloistral
close: close,closed,closer,closes,closing
closed: closed
closely: closely
closet: closet,closets
closing: closing
closure: closure
clot: clots
cloth: cloth
clothe: clad,clothed
clothes: clothes
cloud: cloud,clouds
cloudlet: cloudlets
cloudlike: cloudlike
cloudy: cloudy
clownishly: clownishly
club: club,clubs
clumsy: clumsy
cluster: clusters
coachman: coachman
coal: coal,coals
coarse: coarse,coarser
coarsely: coarsely
coat: coat,coated,coats
cobble: cobbled
cobweb: cobweb
cobwebbed: cobwebbed
cock: cock,cocks
cocked: cocked
cocoa: cocoa
cocoon: cocoon
cod: cod
code: codes
coefficient: coefficient
coexistent: coexistent
coffeehouse: coffeehouse
coffer: coffers
coffin: coffin
coherent: coherent
cohort: cohort
coil: coil,coiling,coils
coin: coin,coins
coincide: coincide
col: col
cold: cold,colder
coldly: coldly
collar: collar,collars
collect: collected
collection: collection
collectively: collectively
college: college,colleges
collins: collins
collywobbles: collywobbles
colonnade: colonnade
colour: colour,coloured,colours
coloured: coloured
colourless: colourless
column: column
combat: combat
combine: combine
combustible: combustible
comeliness: comeliness
cometh: cometh
comfort: comfort,comforts
comic: comic
comically: comically
comma: commas
command: command,commands
commandment: commandment
comment: comments
commercial: commercial
commingle: commingled
commiseration: commiseration
commission: commissions
commit: commit,committed
committed: committed
common: common,commons
commonwealth: commonwealth
commune: communed,communing
communicant: communicant
communicate: communicate
communion: communion,communions
community: community
compact: compact
companion: companion,companions
companionless: companionless
companionship: companionship
company: companies,company
compare: compared
comparison: comparison,comparisons
compass: compass
compassion: compassion
compassionate: compassionate
compatible: compatible
compilation: compilation
complacently: complacently
complain: complain,complained,complaining
complex: complex
complexity: complexity
compliance: compliance
compliment: compliments
comply: comply,complying
compose: composed
composition: composition
composure: composure
compound: compound
comprehend: comprehend
compress: compressed
comrade: comrades
comradeship: comradeship
conceive: conceive,conceived
concept: concept
conception: conception
concern: concerned
concertina: concertina
conclusively: conclusively
condemn: condemned
condemnation: condemnation
condense: condensed
condition: condition,conditions
conduct: conduct
conductor: conductor
confess: confess,confessed,confessing
confession: confession,confessions
confessional: confessional,confessionals
confessor: confessor,confessors
confidence: confidence
confident: confident
confine: confine
confirm: confirm,confirmed
confirmation: confirmation
confiteor: confiteor
conflagration: conflagration
confound: confounded
confuse: confused
confused: confused
confusedly: confusedly
confusion: confusion
congeal: congealing
connexion: connexion
connotation: connotation
conqueror: conqueror
conscience: conscience
conscious: conscious
consciously: consciously
consciousness: consciousness
consecrate: consecrated
consent: consent
consequence: consequences
consequential: consequential
considerable: considerable
consist: consists
constabulary: constabulary
constant: constant
constantly: constantly
constitutional: constitutional
constrain: constrained
construe: construe
consume: consumed,consumes
consumptive: consumptive
contact: contact
contemplate: contemplating
contemplation: contemplation
contempt: contempt
content: content
contented: contented
contentedly: contentedly
contents: contents
continent: continents
continual: continual
continually: continually
continue: continue,continued
contorted: contorted
contract: contract
contrary: contraries,contrary
contribution: contributions
contrite: contrite
contrition: contrition
control: control
convent: convent
converse: conversing
conversion: conversions
convert: convert,converted
conviction: conviction
convulsion: convulsion
convulsively: convulsively
cool: cool
coolly: coolly
cope: cope
copious: copious
copper: copper
copt: copt
copybook: copybook
copying: copying
copyright: copyright
corbet: corbet
cord: cord
cordial: cordial
cordially: cordially
corduroy: corduroy
core: core
cork: cork,corks
corn: corns
cornelius: cornelius
corner: corner,corners
cornwallis: cornwallis
corolla: corolla
coronal: coronals
corporation: corporation
corpse: corpse,corpses
corpus: corpus
correct: correct,corrected,corrects
correction: corrections
correspond: correspond
correspondence: correspondence
corridor: corridor,corridors
corrugated: corrugated
corrupt: corrupt
corruption: corruption
cost: cost,costs
cottage: cottage,cottages
cotton: cotton
cough: cough,coughed,coughing,coughs
counsel: counsel,counselled,counsels
count: count
counter: counter
counteract: counteracting,counteracts
countless: countless
country: countries,country
countryman: countryman,countrymen
county: county
couple: coupling
couplet: couplet
courage: courage
court: court,courts
courteous: courteous
courtesy: courtesy
courtly: courtly
cousin: cousin,cousins
covenant: covenant
covent: covent
cover: cover,covered,covering,covers
covering: covering
coverlet: coverlet
covet: covet,coveted
covetousness: covetousness
cow: cow,cows
cowardice: cowardice
cowardly: cowardly
cower: cowered,cowering
cowhouse: cowhouse
cowl: cowl
cowled: cowled
cowyard: cowyard
crack: crack,cracked,cracking
cracker: crackers
cradle: cradle
craft: craft
cramped: cramped
crane: crane,craning
crankery: crankery
crash: crash
crashing: crashing
crave: crave,craved
craving: craving
crawl: crawled
crayon: crayons
creak: creaked,creaking
cream: cream
creamy: creamy
crease: creased
create: create,created,creating
creation: creation
creator: creator
creature: creature,creatures
credit: credit
credo: credo
creep: creep,creeping,crept
crest: crest
crevice: crevice
cricket: cricket
cricketer: cricketers
crime: crime,crimes
criminal: criminal
crimped: crimped
crimson: crimson
cripes: cripes
crisis: crises
crisp: crisping
crisply: crisply
critic: critics
critical: critical
critically: critically
criticism: criticism
crocodile: crocodile,crocodiles
crony: cronies
crook: crook
crookedly: crookedly
croon: crooned,crooning
crop: cropping
crosby: crosby
cross: cross,crossed,crossing
crouch: crouched,crouching
crowd: crowd,crowds
crowded: crowded
crown: crown,crowned
crowning: crowning
crucifix: crucifix
crucify: crucified,crucifies
crude: crude
cruel: cruel
cruelty: cruelty
crumble: crumble,crumbled
crumple: crumple,crumpled
crush: crush,crushed
crust: crusted,crusts
cue: cue
cuff: cuffs
cullen: cullen
culture: culture
cultus: cultus
cum: cum
cumbrous: cumbrous
cunning: cunning
cup: cup,cups
cupressus: cupressus
curbstone: curbstones
cure: cured
curfew: curfew
curiosity: curiosity
curious: curious
curl: curl,curled,curling,curls
curly: curly
current: current,currents
curry: curry
curse: curse,cursed,curses
curtain: curtain,curtains
curtseying: curtseying
curve: curve,curves,curving
curved: curved
curving: curving
cushion: cushioned
cusp: cusped
custom: custom
cut: cut,cuts,cutting
cycle: cycle,cycles
cyclic: cyclic
cycling: cycling
cynically: cynically
da: da
dabble: dabbling
daily: daily
dainty: dainty
dairy: dairy
dais: dais
dalmatic: dalmatic
dam: dam
damage: damage
damaged: damaged
damages: damages
damascus: damascus
damn: damn
damnation: damnation
damned: damned
damp: damp
dan: dan
dance: dance,danced,dancing
dancer: dancers
dancing: dancing
dandyish: dandyish
danes: danes
danger: danger,dangers
dangerous: dangerous
dangle: dangling
dangling: dangling
dank: dank
dante: dante
dappled: dappled
daresay: daresay
dark: dark,darker
darken: darkened,darkening
darkly: darkly
darkness: darkness
dart: darting
darting: darting
datum: data
daughter: daughter,daughters
david: david
dawn: dawn
day: day,days
daydream: daydream
daylight: daylight
deacon: deacon
dead: dead
deadly: deadly
deaf: deaf
deal: deal,dealt
dealer: dealer
dean: dean
dearly: dearly
dearness: dearness
death: death,deaths
deathbed: deathbed
debt: debts
decanter: decanter
decay: decay
decaying: decaying
deceive: deceived
december: december
decency: decency
decent: decent,decentest
decide: decide
deck: deck
declare: declare,declared
decline: decline
decollate: decollated
decollation: decollation
decompose: decomposing
decomposition: decomposition
decree: decreed
dedicate: dedicated
deductible: deductible
deed: deed,deeds
deem: deemed
deep: deep,deeper,deepest
deepen: deepen,deepened,deepening
deeply: deeply
defect: defect,defects
defective: defective
defence: defence
defend: defend
defer: deferred
deference: deference
defile: defile,defiled,defiles
define: defined
definite: definite
definition: definition,definitions
deflower: deflower
deform: deformed
deft: deft
deftly: deftly
defy: defy
degraded: degraded
degrading: degrading
degree: degree
dei: dei
dejected: dejected
dejection: dejection
delegate: delegates
deletion: deletions
deliberate: deliberate
deliberately: deliberately
delicacy: delicacies,delicacy
delicate: delicate
delicately: delicately
delight: delight,delighted
delighted: delighted
delightedly: delightedly
delightful: delightful
deliver: deliver,delivered
deliverance: deliverance
delving: delving
demand: demand,demands
demeanour: demeanour
democrat: democrat
demon: demon,demons
demure: demure
demurely: demurely
den: den
denary: denaries
denial: denial
denounce: denounce,denounced
dense: dense
deny: denied
depart: depart
departure: departure
depend: depend,depends
depress: depress,depressed
deprive: deprived
depths: depths
derivative: derivative
derive: derive,derived
descend: descend,descended,descending
descendant: descendant
description: descriptions
desecration: desecration
desert: desert,deserts
deserted: deserted
deserving: deserving
design: design,designed,designs
desire: desire,desired,desires
desirously: desirously
desist: desist,desisting
desk: desk,desks
desolate: desolate
desolating: desolating
desolation: desolation
despair: despair
despairing: despairing
despondent: despondent
destine: destined
destiny: destiny
destroy: destroy,destroys
destruction: destruction
desuetude: desuetude
detach: detach,detached,detaching
detain: detain,detained,detaining
detection: detection
determine: determine,determined
detest: detest
deucedly: deucedly
deus: deus
device: device
devil: devil,devils
devious: devious
devotedly: devotedly
devotion: devotion
devotional: devotional
devotions: devotions
devour: devoured,devours
devout: devout
dew: dew
dewlap: dewlaps
dewy: dewy
diagram: diagrams
dial: dial
diamond: diamonds
dice: dice
dictionary: dictionaries
didactic: didactic
die: die,died,dies,dying
difference: difference
difficult: difficult
difficulty: difficulty
diffident: diffident
diffuse: diffused,diffusing
dig: digged,dug
digest: digest
dignity: dignity
dilate: dilated
dim: dim,dimmed,dimmer
diminished: diminished
dimly: dimly
dimple: dimples
din: din
dine: dining
dingdong: dingdong
dinner: dinner
dint: dint
diorama: diorama
dip: dip
diplomacy: diplomacy
dire: dire
direct: direct,directed
direction: direction,directions
director: director
dirty: dirty
disappear: disappearing
disappointment: disappointment
disapprove: disapprove
disarmament: disarmament
disband: disband
disbelieve: disbelieve
discard: discarded
discern: discerning
discharging: discharging
disciple: disciple
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclosed
discontinue: discontinue
discourage: discouraging
discouraged: discouraged
discover: discover,discovered
discoverer: discoverer
discovery: discovery
discreet: discreet
discreetly: discreetly
discuss: discuss,discussing
discussion: discussion
disdain: disdain
disease: disease,diseases
diseases: diseases
disgust: disgust,disgusted
dish: dish,dishes
dishearten: disheartened
disheartening: disheartening
dishonour: dishonour
dishonourable: dishonourable
dishonoured: dishonoured
disingenuous: disingenuous
disinterred: disinterred
disjointed: disjointed
disk: disk
dislike: dislike
dislodge: dislodged
disloyalty: disloyalty
dismantle: dismantle
dismay: dismay
dismount: dismounted
disobedience: disobedience
disobey: disobey,disobeyed
disorder: disorder
dispassionate: dispassionate
dispassionately: dispassionately
display: display,displayed,displaying
displease: displease,displeased
disposition: disposition
dispossession: dispossession
dispute: disputes,disputing
disquieted: disquieted
disremember: disremember
dissatisfaction: dissatisfaction
dissenter: dissenters
dissertation: dissertations
dissipate: dissipated
dissolve: dissolved,dissolves,dissolving
dissolving: dissolving
distance: distance
distant: distant
distil: distilled
distillery: distillery
distinct: distinct
distinctly: distinctly
distinguish: distinguish,distinguished
distinguished: distinguished
distort: distorted
distorted: distorted
distractedly: distractedly
distraction: distraction
distressing: distressing
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
disturb: disturbed
ditch: ditch
diver: diver
divert: divert
divest: divested,divesting
divi: divi
divide: divided,divides
divine: divine,divined,divining
divinity: divinity
divisible: divisible
dizzily: dizzily
dock: docks
docket: dockets
doctor: doctor
doctrine: doctrine,doctrines
document: document
doddering: doddering
dodge: dodged
dog: dog,dogs
dogma: dogmas
dogmatist: dogmatists
doll: doll,dolls
domain: domain
dome: dome
domination: dominations
domini: domini
dominic: dominic
dominican: dominican
dominos: dominos
donate: donate
donation: donation,donations
donor: donors
donovan: donovan
doom: doom
doomsday: doomsday
door: door,doors
doorway: doorway,doorways
dormitory: dormitory
doth: doth
double: double,doubling
doubt: doubt,doubted,doubting,doubts
dove: dove
dovetail: dovetailed
downcast: downcast
download: downloading
downward: downward
doyle: doyle
doze: dozed
dozen: dozen
drag: dragged,dragging
drain: drain,drained
dramatic: dramatic
drape: draped
draught: draught,draughts
draw: draw,drawing,drawn,drew
drawer: drawers
drawing: drawing
drawl: drawl
drawling: drawling
dray: dray
dread: dread,dreaded,dreads
dreadful: dreadful
dreadfully: dreadfully
dream: dream,dreamed,dreams
dreamless: dreamless
dreary: drearier
dregs: dregs
drench: drenched
dress: dress,dressed,dressing
dresser: dresser
drift: drift,drifted,drifting
drily: drily
drink: drank,drink,drunk
drinker: drinker
